name	type	county	state	county_code	population	num_new	num_old
Autauga Metro Jail	Local	Autauga County	AL	01001	181	1	0
Baldwin County Jail	Local	Baldwin County	AL	01003	486	2	1
Daphne City Jail	Local	Baldwin County	AL	01003	38	3	2
Loxley Community Work Center	State	Baldwin County	AL	01003	505	4	3
Fairhope City Jail	Local	Baldwin County	AL	01003	17	5	4
Orange Beach City Jail	Local	Baldwin County	AL	01003	4	6	5
Ventress Correctional Facility	State	Barbour County	AL	01005	1626	7	6
Barbour County Jail	Local	Barbour County	AL	01005	98	8	7
Easterling Correctional Facility	State	Barbour County	AL	01005	1320	9	8
Bibb Correctional Facility	State	Bibb County	AL	01007	2007	10	9
Blount County Correctional Facility	Local	Blount County	AL	01009	129	11	10
Bullock Correctional Facility	State	Bullock County	AL	01011	1495	12	11
Bullock County Work Release Center	State	Bullock County	AL	01011	1	13	12
Bullock County Jail	Local	Bullock County	AL	01011	32	14	13
Butler County Jail	Local	Butler County	AL	01013	38	15	14
Calhoun County Jail	Local	Calhoun County	AL	01015	409	16	15
Anniston City Jail	Local	Calhoun County	AL	01015	50	17	16
Oxford City Jail	Local	Calhoun County	AL	01015	8	18	17
Piedmont City Jail	Local	Calhoun County	AL	01015	2	19	18
Chambers County Detention Facility	Local	Chambers County	AL	01017	137	20	19
Cherokee County Detention Center	Local	Cherokee County	AL	01019	80	21	20
Chilton County Jail	Local	Chilton County	AL	01021	171	22	21
Unlisted	Unlisted	Choctaw County	AL	01023	2	23	22
Choctaw County Jail	Local	Choctaw County	AL	01023	34	24	23
Clarke County Jail	Local	Clarke County	AL	01025	100	25	24
Clay County Jail	Local	Clay County	AL	01027	76	26	25
Cleburne County Jail	Local	Cleburne County	AL	01029	91	27	26
Elba Work Release Center	State	Coffee County	AL	01031	241	28	27
Colbert County Jail	Local	Colbert County	AL	01033	77	29	28
Conecuh County jail	Local	Conecuh County	AL	01035	45	30	29
Coosa County Jail	Local	Coosa County	AL	01037	80	31	30
Covington County Jail	Local	Covington County	AL	01039	172	32	31
Unlisted	Unlisted	Cullman County	AL	01043	59	33	32
Cullman County Jail	Local	Cullman County	AL	01043	228	34	33
Hanceville City Jail	Local	Cullman County	AL	01043	3	35	34
Dale County Jail	Local	Dale County	AL	01045	63	36	35
Unlisted	Unlisted	Dale County	AL	01045	9	37	36
DeKalb County Jail	Local	DeKalb County	AL	01049	198	38	37
Fort Payne City Jail	Local	DeKalb County	AL	01049	2	39	38
Unlisted	Unlisted	DeKalb County	AL	01049	4	40	39
Draper / Staton / Elmore prisons	State	Elmore County	AL	01051	1376	41	40
Draper / Staton / Elmore prisons	State	Elmore County	AL	01051	2399	42	41
Tutwiler Prison for Women	State	Elmore County	AL	01051	711	43	42
Elmore County Jail	Local	Elmore County	AL	01051	240	44	43
Frank Lee Youth Center	State	Elmore County	AL	01051	299	45	44
Escambia County Detention Center	Local	Escambia County	AL	01053	163	46	45
G.K. Fountain Corr Facility/ J.O. Davis Corr F	State	Escambia County	AL	01053	1890	47	46
Holman Prison	State	Escambia County	AL	01053	998	48	47
Etowah County Detention Center	Local	Etowah County	AL	01055	784	49	48
Unlisted	Unlisted	Fayette County	AL	01057	10	50	49
Fayette County Jail	Local	Fayette County	AL	01057	52	51	50
Unlisted	Unlisted	Franklin County	AL	01059	10	52	51
Franklin County Jail	Local	Franklin County	AL	01059	78	53	52
Geneva County Jail	Local	Geneva County	AL	01061	53	54	53
Hale County Jail	Local	Hale County	AL	01065	64	55	54
Farquhar State Cattle Ranch	State	Hale County	AL	01065	103	56	55
Henry County Jail	Local	Henry County	AL	01067	55	57	56
Dothan City Jail	Local	Houston County	AL	01069	91	58	57
Houston County Jail	Local	Houston County	AL	01069	114	59	58
Houston County Jail	Local	Houston County	AL	01069	348	60	59
Jackson County Jail	Local	Jackson County	AL	01071	130	61	60
Scottsboro City Jail	Local	Jackson County	AL	01071	20	62	61
Birmingham Work Release Center	State	Jefferson County	AL	01073	280	63	62
Jefferson County Sheriff's Office	Local	Jefferson County	AL	01073	905	64	63
Birmingham City Jail	Local	Jefferson County	AL	01073	155	65	64
Hueytown City Jail	Local	Jefferson County	AL	01073	28	66	65
Bessemer City Jail	Local	Jefferson County	AL	01073	47	67	66
Fairfield City Jail	Local	Jefferson County	AL	01073	5	68	67
Homewood City Jail	Local	Jefferson County	AL	01073	18	69	68
Mountain Brook City Jail	Local	Jefferson County	AL	01073	1	70	69
Trussville City Jail	Local	Jefferson County	AL	01073	22	71	70
Unlisted	Unlisted	Jefferson County	AL	01073	4	72	71
Adamsville City Jail	Local	Jefferson County	AL	01073	7	73	72
Donaldson Correctional Facility	State	Jefferson County	AL	01073	1534	74	73
Pleasant Grove City Jail	Local	Jefferson County	AL	01073	2	75	74
Lamar County Jail	Local	Lamar County	AL	01075	52	76	75
Lauderdale County Jail	Local	Lauderdale County	AL	01077	144	77	76
Lawrence County Jail	Local	Lawrence County	AL	01079	108	78	77
Lee County Detention Center	Local	Lee County	AL	01081	331	79	78
Limestone County Jail	Local	Limestone County	AL	01083	234	80	79
Limestone Correctional Facility	State	Limestone County	AL	01083	2342	81	80
Lowdnes County Jail	Local	Lowndes County	AL	01085	34	82	81
Macon County Law Enforcement Center	Local	Macon County	AL	01087	51	83	82
Madison County Courthouse Detention Facility	Local	Madison County	AL	01089	154	84	83
Madison County Main Detention Facility	Local	Madison County	AL	01089	858	85	84
Marengo County Detention Center	Local	Marengo County	AL	01091	69	86	85
Hamilton Work Release Center	State	Marion County	AL	01093	264	87	86
Hamilton Aged and Infirmed Center	State	Marion County	AL	01093	293	88	87
Arab City Jail	Local	Marshall County	AL	01095	14	89	88
Marshall County Jail	Local	Marshall County	AL	01095	200	90	89
Unlisted	Unlisted	Marshall County	AL	01095	14	91	90
Unlisted	Unlisted	Marshall County	AL	01095	64	92	91
Albertville City Jail	Local	Marshall County	AL	01095	30	93	92
Boaz City Jail	Local	Marshall County	AL	01095	13	94	93
Mobile County Jail	Local	Mobile County	AL	01097	988	95	94
Mobile County Jail	Local	Mobile County	AL	01097	327	96	95
Chickasaw City Jail	Local	Mobile County	AL	01097	5	97	96
Saraland City Jail	Local	Mobile County	AL	01097	8	98	97
Monroe County Jail	Local	Monroe County	AL	01099	55	99	98
Montgomery Municipal Jail	Local	Montgomery County	AL	01101	325	100	99
Montgomery County Detention Facility	Local	Montgomery County	AL	01101	509	101	100
Montgomery Federal Prison Camp	Federal	Montgomery County	AL	01101	914	102	101
Red Eagle Honor Farm	State	Montgomery County	AL	01101	324	103	102
Kilby Correctional Facility and Montgomery Work Release Center	State	Montgomery County	AL	01101	1680	104	103
Morgan County Jail and Annex	Local	Morgan County	AL	01103	364	105	104
Decatur City jail	Local	Morgan County	AL	01103	129	106	105
Decatur Work Release	State	Morgan County	AL	01103	712	107	106
Perry County Jail	Local	Perry County	AL	01105	17	108	107
Pickens County Jail	Local	Pickens County	AL	01107	170	109	108
Troy City Jail	Local	Pike County	AL	01109	2	110	109
Randolph County Jail	Local	Randolph County	AL	01111	48	111	110
Russell County Jail	Local	Russell County	AL	01113	291	112	111
St. Clair County	Local	St. Clair County	AL	01115	126	113	112
St. Clair County Jail	Local	St. Clair County	AL	01115	85	114	113
St. Clair Correctional Facility	State	St. Clair County	AL	01115	1423	115	114
Unlisted	Unlisted	Shelby County	AL	01117	32	116	115
Unlisted	Unlisted	Shelby County	AL	01117	2	117	116
Alabaster City Jail	Local	Shelby County	AL	01117	4	118	117
Shelby County Jail	Other	Shelby County	AL	01117	843	119	118
Talladega Camp	Federal	Talladega County	AL	01121	357	120	119
Talladega County Jail	Local	Talladega County	AL	01121	229	121	120
Talladega FCI	Federal	Talladega County	AL	01121	857	122	121
Childersburg Work Release Center	State	Talladega County	AL	01121	546	123	122
Tallapoosa County Jail	Local	Tallapoosa County	AL	01123	137	124	123
Tuscaloosa County Jail	Local	Tuscaloosa County	AL	01125	615	125	124
Walker County Jail	Local	Walker County	AL	01127	245	126	125
Unlisted	Local	Walker County	AL	01127	22	127	126
Jasper Police Department	Local	Walker County	AL	01127	40	128	127
Sumiton City Jail	Local	Walker County	AL	01127	2	129	128
Washington County Jail	Local	Washington County	AL	01129	67	130	129
Unlisted	Unlisted	Wilcox County	AL	01131	38	131	130
Winston County Jail	Local	Winston County	AL	01133	56	132	131
Unalaska City Jail	Local	Aleutians West Census Area	AK	02016	1	133	132
Unlisted	Unlisted	Aleutians West Census Area	AK	02016	1	134	133
Hiland Mountain Correctional Center	State	Anchorage Municipality	AK	02020	405	135	134
Anchorage C. Complex/East	State	Anchorage Municipality	AK	02020	629	136	135
Cordova Center	Halfway House	Anchorage Municipality	AK	02020	96	137	136
Glenwood Center	Halfway House	Anchorage Municipality	AK	02020	90	138	137
Parkview Center- Cornell	Private	Anchorage Municipality	AK	02020	26	139	138
Midtown Center	Halfway House	Anchorage Municipality	AK	02020	32	140	139
Unlisted	Unlisted	Anchorage Municipality	AK	02020	128	141	140
Tundra Center- Cornell	Private	Bethel Census Area	AK	02050	80	142	141
Yukon Kuskokwin Correctional Center	State	Bethel Census Area	AK	02050	81	143	142
Fairbanks Correctional Center	State	Fairbanks North Star Borough	AK	02090	299	144	143
Unlisted	Unlisted	Fairbanks North Star Borough	AK	02090	1	145	144
Northstar Center	Halfway House	Fairbanks North Star Borough	AK	02090	126	146	145
Lemon Creek Correctional Center	State	Juneau City and Borough	AK	02110	209	147	146
Glacier Manor	Halfway House	Juneau City and Borough	AK	02110	99	148	147
Wildwood Correctional Complex and Wildwood Pre-Trial Facility	State	Kenai Peninsula Borough	AK	02122	398	149	148
Spring Creek Correctional Center	State	Kenai Peninsula Borough	AK	02122	549	150	149
Ketchikan Correctional Center	State	Ketchikan Gateway Borough	AK	02130	69	151	150
Palmer Correctional Center	State	Matanuska-Susitna Borough	AK	02170	482	152	151
Point Mackenzie Rehabilitation Farm	State	Matanuska-Susitna Borough	AK	02170	126	153	152
Mat-Su Pretrial Facility	State	Matanuska-Susitna Borough	AK	02170	143	154	153
Anvil Mountain Correctional Center	State	Nome Census Area	AK	02180	91	155	154
Seaside Center- Cornell Corrections	Private	Nome Census Area	AK	02180	32	156	155
Kotzebue Regional Jail Facility	Local	Northwest Arctic Borough	AK	02188	8	157	156
Sitka City Jail	Local	Sitka City and Borough	AK	02220	3	158	157
Valdez City Jail	Local	Valdez-Cordova Census Area	AK	02261	2	159	158
ASPC - Winslow Apache Unit	State	Apache County	AZ	04001	333	160	159
Apache County Jail	Local	Apache County	AZ	04001	95	161	160
Cochise County Jail	Local	Cochise County	AZ	04003	4	162	161
ASPC- Douglas	State	Cochise County	AZ	04003	131	163	162
ASPC- Douglas	State	Cochise County	AZ	04003	2163	164	163
Unlisted	Unlisted	Cochise County	AZ	04003	276	165	164
Cochise County jail	Local	Cochise County	AZ	04003	206	166	165
Coconino County Jail	Local	Coconino County	AZ	04005	510	167	166
Coconino County Jail	Unlisted	Coconino County	AZ	04005	28	168	167
Unlisted	Unlisted	Coconino County	AZ	04005	4	169	168
Unlisted	Unlisted	Coconino County	AZ	04005	1	170	169
Unlisted	Unlisted	Gila County	AZ	04007	12	171	170
Unlisted	Unlisted	Gila County	AZ	04007	267	172	171
Gila County jail	Local	Gila County	AZ	04007	114	173	172
Graham County Jail	Local	Graham County	AZ	04009	131	174	173
"ASPC- Safford, Fort Grant Unit"	State	Graham County	AZ	04009	911	175	174
FCI Safford	Federal	Graham County	AZ	04009	1286	176	175
Arizona State Prison Complex- Safford	State	Graham County	AZ	04009	77	177	176
Arizona State Prison Complex- Safford	State	Graham County	AZ	04009	936	178	177
Greenlee County Correctional Facility	Local	Greenlee County	AZ	04011	33	179	178
La Paz County Jail	Local	La Paz County	AZ	04012	194	180	179
Unlisted	Unlisted	La Paz County	AZ	04012	38	181	180
Unlisted	Unlisted	Maricopa County	AZ	04013	83	182	181
ASPC- Perryville	State	Maricopa County	AZ	04013	2202	183	182
ASPC- Perryville	State	Maricopa County	AZ	04013	1294	184	183
Unlisted	Unlisted	Maricopa County	AZ	04013	2	185	184
Unlisted	Unlisted	Maricopa County	AZ	04013	2	186	185
Unlisted	Unlisted	Maricopa County	AZ	04013	6	187	186
Unlisted	Unlisted	Maricopa County	AZ	04013	1	188	187
Unlisted	Unlisted	Maricopa County	AZ	04013	7	189	188
Unlisted	Unlisted	Maricopa County	AZ	04013	5	190	189
ASPC Phoenix	State	Maricopa County	AZ	04013	421	191	190
Unlisted	Unlisted	Maricopa County	AZ	04013	25	192	191
"Behavorial Systems Southwest, Behavorial Systems Southwest Pregnant Offenders"	Halfway House	Maricopa County	AZ	04013	58	193	192
Maricopa County- 4th Avenue Jail	Local	Maricopa County	AZ	04013	1740	194	193
Arizona State Prison-Phoenix West	Private	Maricopa County	AZ	04013	497	195	194
