state,county,fips,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,,POP tot
Alabama,Autauga,01001,19838,7503,27770,71.44%,27.02%,98.46%,RIGHT,55869
Alabama,Baldwin,01003,83544,24578,109679,76.17%,22.41%,98.58%,RIGHT,223234
Alabama,Barbour,01005,5622,4816,10518,53.45%,45.79%,99.24%,RIGHT,24686
Alabama,Bibb,01007,7525,1986,9595,78.43%,20.70%,99.12%,RIGHT,22394
Alabama,Blount,01009,24711,2640,27588,89.57%,9.57%,99.14%,RIGHT,57826
Alabama,Bullock,01011,1146,3446,4613,24.84%,74.70%,99.54%,LEFT,10101
Alabama,Butler,01013,5458,3965,9488,57.53%,41.79%,99.31%,RIGHT,19448
Alabama,Calhoun,01015,35101,15216,50983,68.85%,29.85%,98.69%,RIGHT,113605
Alabama,Chambers,01017,8753,6365,15284,57.27%,41.64%,98.91%,RIGHT,33254
Alabama,Cherokee,01019,10583,1624,12301,86.03%,13.20%,99.24%,RIGHT,26196
Alabama,Chilton,01021,16085,3073,19310,83.30%,15.91%,99.21%,RIGHT,44428
Alabama,Choctaw,01023,4296,3127,7464,57.56%,41.89%,99.45%,RIGHT,12589
Alabama,Clarke,01025,7324,5755,13135,55.76%,43.81%,99.57%,RIGHT,23622
Alabama,Clay,01027,5601,1267,6930,80.82%,18.28%,99.11%,RIGHT,13235
Alabama,Cleburne,01029,6484,675,7227,89.72%,9.34%,99.06%,RIGHT,14910
Alabama,Coffee,01031,16899,5076,22275,75.87%,22.79%,98.65%,RIGHT,52342
Alabama,Colbert,01033,19203,8343,27886,68.86%,29.92%,98.78%,RIGHT,55241
Alabama,Conecuh,01035,3442,2966,6441,53.44%,46.05%,99.49%,RIGHT,12067
Alabama,Coosa,01037,3631,1796,5479,66.27%,32.78%,99.05%,RIGHT,10663
Alabama,Covington,01039,14586,2721,17430,83.68%,15.61%,99.29%,RIGHT,37049
Alabama,Crenshaw,01041,4864,1700,6617,73.51%,25.69%,99.20%,RIGHT,13772
Alabama,Cullman,01043,36880,4478,41851,88.12%,10.70%,98.82%,RIGHT,83768
Alabama,Dale,01045,14303,5170,19738,72.46%,26.19%,98.66%,RIGHT,49172
Alabama,Dallas,01047,5524,12230,17864,30.92%,68.46%,99.38%,LEFT,37196
Alabama,DeKalb,01049,24767,4281,29356,84.37%,14.58%,98.95%,RIGHT,71513
Alabama,Elmore,01051,30164,10367,41030,73.52%,25.27%,98.78%,RIGHT,81209
Alabama,Escambia,01053,10869,4918,15910,68.32%,30.91%,99.23%,RIGHT,36633
Alabama,Etowah,01055,35528,11567,47728,74.44%,24.24%,98.67%,RIGHT,102268
Alabama,Fayette,01057,7300,1395,8766,83.28%,15.91%,99.19%,RIGHT,16302
Alabama,Franklin,01059,10376,2086,12578,82.49%,16.58%,99.08%,RIGHT,31362
