state,county,fips,POP tot,land area (sq/mi),pop/sqmi
Alabama,Autauga,1001,55869,594.4,94
Alabama,Baldwin,1003,223234,1589.8,140.4
Alabama,Barbour,1005,24686,884.9,27.9
Alabama,Bibb,1007,22394,622.6,36
Alabama,Blount,1009,57826,644.8,89.7
Alabama,Bullock,1011,10101,622.8,16.2
Alabama,Butler,1013,19448,776.8,25
Alabama,Calhoun,1015,113605,605.9,187.5
Alabama,Chambers,1017,33254,596.5,55.7
Alabama,Cherokee,1019,26196,553.7,47.3
Alabama,Chilton,1021,44428,692.9,64.1
Alabama,Choctaw,1023,12589,913.5,13.8
Alabama,Clarke,1025,23622,1238.5,19.1
Alabama,Clay,1027,13235,604,21.9
Alabama,Cleburne,1029,14910,560.1,26.6
Alabama,Coffee,1031,52342,679,77.1
Alabama,Colbert,1033,55241,592.6,93.2
Alabama,Conecuh,1035,12067,850.2,14.2
Alabama,Coosa,1037,10663,650.9,16.4
Alabama,Covington,1039,37049,1030.5,36
Alabama,Crenshaw,1041,13772,608.8,22.6
Alabama,Cullman,1043,83768,734.8,114
Alabama,Dale,1045,49172,561.2,87.6
Alabama,Dallas,1047,37196,978.7,38
Alabama,DeKalb,1049,71513,777.1,92
Alabama,Elmore,1051,81209,618.5,131.3
Alabama,Escambia,1053,36633,945.1,38.8
Alabama,Etowah,1055,102268,535,191.2
Alabama,Fayette,1057,16302,627.7,26
Alabama,Franklin,1059,31362,633.8,49.5
Alabama,Geneva,1061,26271,574.4,45.7
Alabama,Greene,1063,8111,647.1,12.5
Alabama,Hale,1065,14651,643.9,22.8
Alabama,Henry,1067,17205,561.8,30.6
Alabama,Houston,1069,105882,579.8,182.6
Alabama,Jackson,1071,51626,1077.9,47.9
Alabama,Jefferson,1073,658573,1111.3,592.6
Alabama,Lamar,1075,13805,604.9,22.8
Alabama,Lauderdale,1077,92729,667.7,138.9
Alabama,Lawrence,1079,32924,690.7,47.7
Alabama,Lee,1081,164542,607.5,270.8
Alabama,Limestone,1083,98915,559.9,176.7
Alabama,Lowndes,1085,9726,715.9,13.6
Alabama,Macon,1087,18068,608.9,29.7
Alabama,Madison,1089,372909,801.6,465.2
Alabama,Marengo,1091,18863,976.9,19.3
Alabama,Marion,1093,29709,742.3,40
Alabama,Marshall,1095,96774,565.8,171
Alabama,Mobile,1097,413210,1229.4,336.1
Alabama,Monroe,1099,20733,1025.7,20.2
Alabama,Montgomery,1101,226486,784.3,288.8
Alabama,Morgan,1103,119679,579.3,206.6
Alabama,Perry,1105,8923,719.7,12.4
Alabama,Pickens,1107,19930,881.4,22.6
Alabama,Pike,1109,33114,672.1,49.3
Alabama,Randolph,1111,22722,580.6,39.1
Alabama,Russell,1113,57961,641.1,90.4
Alabama,St. Clair,1115,89512,631.9,141.7
Alabama,Shelby,1117,217702,784.9,277.4
Alabama,Sumter,1119,12427,903.9,13.7
Alabama,Talladega,1121,79978,736.8,108.6
Alabama,Tallapoosa,1123,40367,716.5,56.3
Alabama,Tuscaloosa,1125,209355,1321.8,158.4
Alabama,Walker,1127,63521,791.2,80.3
Alabama,Washington,1129,16326,1080.2,15.1
Alabama,Wilcox,1131,10373,888.5,11.7
Alabama,Winston,1133,23629,613,38.5
Alaska,Aleutians East Borough,2013,3337,6982,0.5
Alaska,Aleutians West Census Area,2016,5634,4394,1.3
Alaska,Anchorage,2020,280219,1707,164.2
Alaska,Bethel Census Area,2050,18386,40631,0.5
Alaska,Bristol Bay Borough,2060,836,1482,0.6
Alaska,Denali Borough,2068,2097,12637,0.2
Alaska,Dillingham Census Area,2070,4916,18334,0.3
Alaska,Fairbanks North Star Borough,2090,96849,7335,13.2
Alaska,Haines Borough,2100,2535,2345,1.1
Alaska,Hoonah-Angoon Census Area,2105,2148,6555,0.3
Alaska,Juneau City and Borough,2110,31974,2904,11
Alaska,Kenai Peninsula Borough,2122,58708,16023,3.7
Alaska,Ketchikan Gateway Borough,2130,13901,4857,2.9
Alaska,Kodiak Island Borough,2150,12998,6615,2
