state,county,fips,POP tot,0-19 tot,20-64tot,65+ tot,voting age
Alabama,Autauga,01001,55869,14252,32693,8924,41617
Alabama,Baldwin,01003,223234,52268,124136,46830,170966
Alabama,Barbour,01005,24686,5595,14230,4861,19091
Alabama,Bibb,01007,22394,4992,13669,3733,17402
Alabama,Blount,01009,57826,14522,32490,10814,43304
Alabama,Bullock,01011,10101,2315,6075,1711,7786
Alabama,Butler,01013,19448,4692,10707,4049,14756
Alabama,Calhoun,01015,113605,27548,65510,20547,86057
Alabama,Chambers,01017,33254,7592,18947,6715,25662
Alabama,Cherokee,01019,26196,5499,14533,6164,20697
Alabama,Chilton,01021,44428,11572,25256,7600,32856
Alabama,Choctaw,01023,12589,2738,6882,2969,9851
Alabama,Clarke,01025,23622,5584,13195,4843,18038
Alabama,Clay,01027,13235,2956,7494,2785,10279
Alabama,Cleburne,01029,14910,3672,8230,3008,11238
Alabama,Coffee,01031,52342,13572,29739,9031,38770
Alabama,Colbert,01033,55241,12686,31490,11065,42555
Alabama,Conecuh,01035,12067,2728,6507,2832,9339
Alabama,Coosa,01037,10663,1922,6173,2568,8741
Alabama,Covington,01039,37049,8871,20258,7920,28178
Alabama,Crenshaw,01041,13772,3426,7675,2671,10346
Alabama,Cullman,01043,83768,20604,47429,15735,63164
Alabama,Dale,01045,49172,12321,28349,8502,36851
Alabama,Dallas,01047,37196,9693,20482,7021,27503
Alabama,DeKalb,01049,71513,18843,40069,12601,52670
Alabama,Elmore,01051,81209,19990,48562,12657,61219
Alabama,Escambia,01053,36633,8989,20953,6691,27644
Alabama,Etowah,01055,102268,24105,58367,19796,78163
Alabama,Fayette,01057,16302,3767,8990,3545,12535
Alabama,Franklin,01059,31362,8488,17500,5374,22874
Alabama,Geneva,01061,26271,6332,14519,5420,19939
Alabama,Greene,01063,8111,1927,4294,1890,6184
Alabama,Hale,01065,14651,3715,8051,2885,10936
Alabama,Henry,01067,17205,3843,9331,4031,13362
Alabama,Houston,01069,105882,26620,60078,19184,79262
Alabama,Jackson,01071,51626,11775,29260,10591,39851
Alabama,Jefferson,01073,658573,166418,384826,107329,492155
Alabama,Lamar,01075,13805,3223,7522,3060,10582
Alabama,Lauderdale,01077,92729,20897,52825,19007,71832
Alabama,Lawrence,01079,32924,7783,18854,6287,25141
Alabama,Lee,01081,164542,42352,101778,20412,122190
Alabama,Limestone,01083,98915,24290,59544,15081,74625
Alabama,Lowndes,01085,9726,2355,5450,1921,7371
Alabama,Macon,01087,18068,4102,10181,3785,13966
Alabama,Madison,01089,372909,91034,224739,57136,281875
Alabama,Marengo,01091,18863,4679,10435,3749,14184
Alabama,Marion,01093,29709,6801,16519,6389,22908
Alabama,Marshall,01095,96774,26498,53526,16750,70276
