State,FIPS,total facilities
Alabama,01001,1
Alabama,01003,5
Alabama,01005,3
Alabama,01007,1
Alabama,01009,1
Alabama,01011,3
Alabama,01013,1
Alabama,01015,4
Alabama,01017,1
Alabama,01019,1
Alabama,01021,1
Alabama,01023,2
Alabama,01025,1
Alabama,01027,1
Alabama,01029,1
Alabama,01031,1
Alabama,01033,1
Alabama,01035,1
Alabama,01037,1
Alabama,01039,1
Alabama,01045,5
Alabama,01049,4
Alabama,01051,8
Alabama,01053,5
Alabama,01055,2
Alabama,01057,2
Alabama,01059,2
Alabama,01061,1
Alabama,01065,2
Alabama,01067,1
Alabama,01069,2
Alabama,01071,2
Alabama,01073,14
Alabama,01075,1
Alabama,01077,1
Alabama,01079,1
Alabama,01081,1
Alabama,01083,2
Alabama,01085,1
Alabama,01087,1
Alabama,01089,3
Alabama,01091,1
Alabama,01093,3
Alabama,01095,5
Alabama,01097,3
Alabama,01099,1
Alabama,01101,7
Alabama,01103,3
Alabama,01105,1
Alabama,01107,3
Alabama,01109,1
Alabama,01111,1
Alabama,01113,1
Alabama,01115,3
Alabama,01117,3
Alabama,01121,5
Alabama,01123,1
Alabama,01125,1
Alabama,01127,4
Alabama,01129,1
Alabama,01131,1
Alabama,01133,1
Alaska,02016,2
Alaska,02020,10
Alaska,02050,3
Alaska,02070,1
Alaska,02090,3
Alaska,02110,2
Alaska,02122,4
Alaska,02130,2
Alaska,02170,4
Alaska,02180,2
Alaska,02188,1
Alaska,02220,1
Arizona,04001,2
Arizona,04003,4
Arizona,04005,2
Arizona,04007,2
Arizona,04009,6
Arizona,04011,1
Arizona,04012,3
Arizona,04013,17
Arizona,04015,4
Arizona,04017,3
Arizona,04019,15
Arizona,04021,20
Arizona,04023,1
Arizona,04025,2
Arizona,04027,5
Arkansas,05001,1
Arkansas,05003,1
Arkansas,05005,1
Arkansas,05007,1
Arkansas,05009,1
Arkansas,05011,1
Arkansas,05013,1
Arkansas,05015,1
Arkansas,05017,2
Arkansas,05019,1
Arkansas,05021,1
Arkansas,05023,1
Arkansas,05027,1
Arkansas,05029,1
Arkansas,05031,2
Arkansas,05033,1
Arkansas,05035,1
Arkansas,05037,1
Arkansas,05039,1
Arkansas,05043,1
Arkansas,05045,3
Arkansas,05049,1
Arkansas,05051,2
Arkansas,05053,1
Arkansas,05055,1
Arkansas,05057,1
Arkansas,05059,1
Arkansas,05063,1
Arkansas,05065,2
Arkansas,05067,2
Arkansas,05069,6
Arkansas,05071,1
Arkansas,05073,1
Arkansas,05075,1
Arkansas,05077,2
Arkansas,05079,2
Arkansas,05083,2
Arkansas,05085,2
Arkansas,05089,1
Arkansas,05091,3
Arkansas,05093,2
Arkansas,05095,2
Arkansas,05097,1
Arkansas,05099,1
Arkansas,05103,1
Arkansas,05107,1
Arkansas,05109,1
Arkansas,05111,1
Arkansas,05113,1
Arkansas,05115,1
Arkansas,05117,1
Arkansas,05119,5
Arkansas,05121,1
Arkansas,05123,4
Arkansas,05125,2
Arkansas,05129,1
Arkansas,05131,1
Arkansas,05133,2
Arkansas,05135,1
Arkansas,05137,1
Arkansas,05139,1
Arkansas,05141,1
Arkansas,05143,3
Arkansas,05147,1
Arkansas,05149,1
California,06001,6
California,06005,3
California,06007,1
California,06009,2
California,06011,1
California,06013,5
California,06015,3
California,06017,3
California,06019,4
California,06021,1
California,06023,2
California,06025,5
California,06027,1
California,06029,16
California,06031,7
California,06033,4
California,06035,7
California,06037,26
California,06039,6
California,06041,4
California,06043,2
California,06045,4
California,06047,4
California,06049,2
California,06051,1
California,06053,6
California,06055,2
California,06057,2
California,06059,7
California,06061,2
California,06063,1
California,06065,11
California,06067,5
California,06071,19
California,06073,18
California,06074,2
California,06075,3
California,06077,5
California,06079,2
California,06081,2
California,06083,8
California,06085,5
California,06087,3
California,06089,3
California,06093,1
California,06095,6
California,06097,3
California,06099,4
California,06101,2
California,06103,7
California,06105,2
California,06107,5
California,06109,3
California,06111,3
California,06113,1
California,06115,1
Colorado,08001,5
Colorado,08003,2
Colorado,08005,3
Colorado,08007,1
Colorado,08009,1
Colorado,08011,2
Colorado,08013,2
Colorado,08014,1
Colorado,08015,2
Colorado,08017,1
Colorado,08019,1
Colorado,08021,1
Colorado,08025,4
Colorado,08027,1
Colorado,08029,3
Colorado,08031,6
Colorado,08035,1
Colorado,08037,1
Colorado,08039,1
Colorado,08041,4
Colorado,08043,19
Colorado,08045,3
Colorado,08047,1
Colorado,08049,1
Colorado,08051,1
Colorado,08055,1
Colorado,08057,1
Colorado,08059,7
Colorado,08063,2
Colorado,08065,1
Colorado,08067,3
Colorado,08069,2
Colorado,08071,3
Colorado,08073,2
Colorado,08075,2
Colorado,08077,3
Colorado,08081,1
Colorado,08083,1
Colorado,08085,1
Colorado,08087,2
Colorado,08093,1
Colorado,08097,1
Colorado,08099,1
Colorado,08101,8
Colorado,08103,1
Colorado,08105,1
Colorado,08107,1
Colorado,08109,1
Colorado,08113,1
Colorado,08117,1
Colorado,08119,2
Colorado,08121,1
Colorado,08123,2
Colorado,08125,2
Connecticut,09001,7
Connecticut,09003,8
Connecticut,09005,1
Connecticut,09007,1
Connecticut,09009,7
Connecticut,09011,4
Connecticut,09013,3
Connecticut,09015,2
Delaware,10001,2
Delaware,10003,6
Delaware,10005,2
District of Columbia,11001,3
Florida,12001,3
Florida,12003,5
Florida,12005,4
Florida,12007,5
Florida,12009,2
Florida,12011,10
Florida,12013,3
Florida,12015,5
Florida,12017,1
Florida,12019,1
Florida,12021,3
Florida,12023,4
