nyt id,facility name,facility type,facility city,facility county,facility county fips,facility state,latest inmate population,max inmate population 2020,total inmate cases,total inmate deaths,total officer cases,total officer deaths
F3EFE858,Alex City Work Release prison,Low-security work release,Alex City,Coosa,01037,Alabama,188,,77,0,17,0
5B910220,Alabama Therapeutic Education Facility prison,State rehabilitation center,Columbiana,Shelby,01117,Alabama,272,,11,1,2,0
02FB1675,Bibb Correctional Facility,State prison,Brent,Bibb,01007,Alabama,1725,1825,164,3,61,0
6378F6C4,Birmingham Women's Community Based Facility and Community Work Center,State prison,Birmingham,Jefferson,01073,Alabama,192,,17,0,28,0
EAABF900,Bullock Correctional Facility,State prison,Bessemer,Bullock,01011,Alabama,1477,1577,162,5,80,1
D19A2461,Camden prison,State prison,Camden,Wilcox,01131,Alabama,49,,5,0,3,0
F80A4A63,Childersburg prison,State prison,Childersburg,Talladega,01121,Alabama,322,,5,0,14,0
F119AF97,William E. Donaldson Correctional Facility,State prison,Bessemer,Jefferson,01073,Alabama,1508,1532,45,2,26,0
41B5BD10,Draper Correctional Facility,State prison,Elmore,Elmore,01051,Alabama,100,,121,0,0,0
9C1D5182,Easterling Correctional Facility,State prison,Cilo,Barbour,01005,Alabama,1181,1318,72,2,47,0
2CF2BFD4,Elba Work Release,Low-security work release,Elba,Coffee,01031,Alabama,207,,1,0,8,0
0B0C27B1,Elmore Correctional Facility,State prison,Elmore,Elmore,01051,Alabama,1114,1180,28,0,18,0
C42CE2AF,Fountain Correctional Facility,State prison,Atmore,Escambia,01053,Alabama,1149,1270,29,1,47,0
3707C471,Frank Lee prison,State prison,Deatsville,Elmore,01051,Alabama,227,,26,0,22,0
7B676BEF,Hamilton Aged and Infirmed prison,State facility,Hamilton,Marion,01093,Alabama,269,,48,14,41,0
8270BF4E,Hamilton Community Based Facility,State prison,Hamilton,Marion,01093,Alabama,212,,8,2,22,0
10228D42,Holman Correctional Facility,State prison,Atmore,Escambia,01053,Alabama,148,843,39,2,33,0
1E5109A7,Kilby Correctional Facility,State prison,Mount Meigs,Montgomery,01101,Alabama,1176,,25,2,44,0
58CDABD8,Limestone Correctional Facility,State prison,Harvest,Limestone,01083,Alabama,2190,,152,4,105,0
F285C4CD,Loxley prison,State prison,Loxley,Baldwin,01003,Alabama,128,,106,0,14,0
A7D22A15,Mobile Community Based Facility/Community Work Center,State prison,Mobile,Mobile,01097,Alabama,163,,15,0,21,0
3C976ECE,Montgomery Women's Community Based Facility and Community Work Center,State prison,Montgomery,Montgomery,01101,Alabama,187,,1,0,11,0
E373AAD4,North Alabama prison,State prison,Decatur,Morgan,01103,Alabama,479,,87,0,30,0
68C87646,Red Eagle Community Work Center prison,State prison,Montgomery,Montgomery,01101,Alabama,237,,18,0,20,0
161DFD77,Saint Clair Correctional Facility,State prison,Springville,St. Clair,01115,Alabama,1102,,106,16,58,0
D0CF8DF6,Staton Correctional Facility,State prison,Elmore,Elmore,01051,Alabama,1283,1400,59,7,61,0
DF882AD4,Tutwiler women's prison,State prison,Wetumpka,Elmore,01051,Alabama,688,964,62,1,69,2
BD344E82,Tutwiler Quarantine Intake Facility,State facility,Wetumpka,Elmore,01051,Alabama,25,,35,0,0,0
9975519,Ventress Correctional Facility,State prison,Clayton,Barbour,01005,Alabama,1093,,77,2,46,0
C69A0295,Anchorage Correctional Complex,State prison,Anchorage,Anchorage,02020,Alaska,949,,514,0,0,0
BB635EA4,Anvil Mountain Correctional Center,State prison,Nome,Nome,02180,Alaska,148,,4,0,0,0
1CADA532,Clitheroe community treatment center,State prison,Anchorage,Anchorage,02020,Alaska,11,,3,0,0,0
B46A8B95,Cordova residential center,State prison,Anchorage,Anchorage,02020,Alaska,136,,1,0,0,0
36297303,Fairbanks Correctional Center,State prison,Fairbanks,Fairbanks North Star,02090,Alaska,273,294,154,0,0,0
7120943C,Goose Creek Correctional Center,State prison,Wasilla,Matanuska-Susitna,02170,Alaska,1293,1348,1041,0,0,0
81B19B7F,Hiland Mountain Correctional Center,State prison,Eagle River,Anchorage,02020,Alaska,324,333,235,0,0,0
2F72E4F2,Ketchikan Correctional Center,State prison,Ketchikan,Ketchikan Gateway,02130,Alaska,64,64,1,0,0,0
9BD8D968,Lemon Creek Correctional Center,State prison,Juneau,Juneau,02110,Alaska,219,229,19,0,11,0
30D2AFE4,Mat-Su pretrial facility,State prison,Palmer,Matanuska-Susitna,02170,Alaska,97,,69,0,0,0
ED29F8B4,Palmer Correctional Center,State prison,Palmer,Matanuska-Susitna,02170,Alaska,,,0,0,0,0
F1A2639C,Parkview Center halfway house,State prison,Anchorage,Anchorage,02020,Alaska,112,,17,0,0,0
1DDD7616,Point Mackenzie Correctional Farm,State prison,Wasilla,Matanuska-Susitna,02170,Alaska,87,96,0,0,0,0
5E5EAB60,Spring Creek Correctional Center,State prison,Seward,Kenai Peninsula,02122,Alaska,524,537,8,0,0,0
813F9723,Tundra Center halfway house,State prison,Bethel,Bethel,02050,Alaska,40,,17,0,0,0
150DF866,Wildwood Correctional Complex,State prison,Kenai,Kenai Peninsula,02122,Alaska,287,297,1,0,0,0
713DA6B2,Wildwood Pretrial Facility,State prison,Kenai,Kenai Peninsula,02122,Alaska,124,,47,0,0,0
E0BFBFE7,Yukon Kuskokwim Correctional Center,State prison,Bethel,Bethel,02050,Alaska,203,,186,0,0,0
F334992C,McLaughlin Youth Center facility,State juvenile detention,Anchorage,Anchorage,02020,Alaska,35,,41,0,78,0
FB20EF1C,Arizona State Prison Complex – Safford,State prison,Safford,Graham,04009,Arizona,1227,1613,851,0,0,0
01C9E69B,Central Arizona Correctional Facility,State prison,Florence,Pinal,04021,Arizona,1280,1280,69,3,0,0
AA807759,Arizona State Prison Complex – Douglas,State prison,Douglas,Cochise,04003,Arizona,1848,2132,1163,0,0,0
91B22ADD,Eyman Complex prison,State prison,Florence,Pinal,04021,Arizona,5362,5471,2023,5,0,0
0CF96DB1,Arizona State Prison Complex – Yuma,State prison,San Luis,Yuma,04027,Arizona,4316,4862,2010,6,0,0
