state,POP tot,0-19 tot,20-64tot,65+ tot,voting age,total votes,missing voters
Alabama,4903185,1216438,2836910,849837,3686747,2323282,1363465
Alaska,731545,114740,506192,110613,616805,287010,329795
Arizona,7278717,1838598,4131486,1308633,5440119,3385845,2054274
Arkansas,3017804,778928,1714994,523882,2238876,1219014,1019862
California,39512223,9925397,23748711,5838115,29586826,17395590,12191236
Colorado,5758736,1407971,3508353,842412,4350765,3256633,1094132
Connecticut,3565287,829582,2105461,630244,2735705,1824317,911388
Delaware,973764,228912,555946,188906,744852,504010,240842
District of Columbia,705749,149337,469069,87343,556412,344356,212056
Florida,21477737,4714575,12265825,4497337,16763162,11067456,5695706
Georgia,10617423,2801689,6298780,1516954,7815734,4998566,2817168
Hawaii,1415786,330092,817285,268409,1085694,574469,511225
Idaho,1787065,496173,1000222,290670,1290892,868105,422787
Illinois,12671821,3145309,7483280,2043232,9526512,6019642,3506870
Indiana,6732219,1755070,3891406,1085743,4977149,3035088,1942061
Iowa,3155070,816335,1785781,552954,2338735,1688310,650425
Kansas,2913314,782091,1655736,475487,2131223,1333804,797419
Kentucky,4467673,1118934,2598175,750564,3348739,2136768,1211971
Louisiana,4648794,1203265,2704507,741022,3445529,2148062,1297467
Maine,1344212,281158,777789,285265,1063054,816428,246626
Maryland,6045680,1489721,3596563,959396,4555959,3016608,1539351
Massachusetts,6892503,1558231,4164940,1169332,5334272,3631473,1702799
Michigan,9986857,2407690,5813766,1765401,7579167,5544102,2035065
Minnesota,5639632,1445346,3273904,920382,4194286,3277170,917116
Mississippi,2976149,780487,1708969,486693,2195662,1315240,880422
Missouri,6137428,1527291,3548100,1062037,4610137,3029586,1580551
Montana,1068778,254416,607925,206437,814362,605750,208612
Nebraska,1934408,529821,1092129,312458,1404587,952271,452316
Nevada,3080156,760272,1823912,495972,2319884,1405376,914508
New Hampshire,1359711,291038,814809,253864,1068673,804430,264243
New Jersey,8882190,2151487,5255168,1475535,6730703,4565757,2164946
New Mexico,2096829,531712,1187511,377606,1565117,923965,641152
New York,19453561,4520996,11636419,3296146,14932565,7170577,7761988
North Carolina,10488084,2592437,6144553,1751094,7895647,5524813,2370834
North Dakota,762062,200777,441440,119845,561285,361819,199466
Ohio,11689100,2886873,6755907,2046320,8802227,5929361,2872866
Oklahoma,3956971,1058495,2263344,635132,2898476,1560699,1337777
Oregon,4217737,965480,2486177,766080,3252257,2385605,866652
Pennsylvania,12801989,2977542,7431085,2393362,9824447,6921699,2902748
Puerto Rico,3193694,659523,1854515,679656,2534171,1243712,1290459
Rhode Island,1059361,238543,633772,187046,820818,513627,307191
South Carolina,5148714,1247839,2963852,937023,3900875,2513329,1387546
South Dakota,884659,240567,492221,151871,6440920,2935938,3504982
Tennessee,6829174,1677566,4008215,1143393,5151608,3049514,2102094
Texas,28995881,8210585,17051067,3734229,20785296,11323985,9461311
Utah,3205958,1028611,1811475,365872,2177347,1488289,689058
Vermont,623989,134415,364535,125039,489574,367428,122146
Virgin Islands,106405.0,26515,57969,21921,79890,17561,62329
Virginia,8535519,2087426,5089187,1358906,6448093,4460524,1987569
Washington,7614893,1840306,4564864,1209723,5774587,4060294,1714293
West Virginia,1792147,402473,1022663,367011,1389674,794652,595022
Wisconsin,5822434,1422095,3383096,1017243,4400339,3297434,1102905
Wyoming,578759,148172,331408,99179,430587,276765,153822
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
