state,POP tot,0-19 tot,20-64tot,65+ tot,voting age,,,,,,,
Alabama,4903185,1216438,2836910,849837,3686747,,,,,,,
Alaska,731545,114740,506192,110613,616805,,,,,,,
Arizona,7278717,1838598,4131486,1308633,5440119,,,,,,,
Arkansas,3017804,778928,1714994,523882,2238876,,,,,,,
California,39512223,9925397,23748711,5838115,29586826,,,,,,,
Colorado,5758736,1407971,3508353,842412,4350765,,,,,,,
Connecticut,3565287,829582,2105461,630244,2735705,,,,,,,
Delaware,973764,228912,555946,188906,744852,,,,,,,
District of Columbia,705749,149337,469069,87343,556412,,,,,,,
Florida,21477737,4714575,12265825,4497337,16763162,,,,,,,
Georgia,10617423,2801689,6298780,1516954,7815734,,,,,,,
Hawaii,1415786,330092,817285,268409,1085694,,,,,,,
Idaho,1787065,496173,1000222,290670,1290892,,,,,,,
Illinois,12671821,3145309,7483280,2043232,9526512,,,,,,,
Indiana,6732219,1755070,3891406,1085743,4977149,,,,,,,
Iowa,3155070,816335,1785781,552954,2338735,,,,,,,
Kansas,2913314,782091,1655736,475487,2131223,,,,,,,
Kentucky,4467673,1118934,2598175,750564,3348739,,,,,,,
Louisiana,4648794,1203265,2704507,741022,3445529,,,,,,,
Maine,1344212,281158,777789,285265,1063054,,,,,,,
Maryland,6045680,1489721,3596563,959396,4555959,,,,,,,
Massachusetts,6892503,1558231,4164940,1169332,5334272,,,,,,,
Michigan,9986857,2407690,5813766,1765401,7579167,,,,,,,
Minnesota,5639632,1445346,3273904,920382,4194286,,,,,,,
Mississippi,2976149,780487,1708969,486693,2195662,,,,,,,
Missouri,6137428,1527291,3548100,1062037,4610137,,,,,,,
Montana,1068778,254416,607925,206437,814362,,,,,,,
Nebraska,1934408,529821,1092129,312458,1404587,,,,,,,
Nevada,3080156,760272,1823912,495972,2319884,,,,,,,
New Hampshire,1359711,291038,814809,253864,1068673,,,,,,,
New Jersey,8882190,2151487,5255168,1475535,6730703,,,,,,,
New Mexico,2096829,531712,1187511,377606,1565117,,,,,,,
New York,19453561,4520996,11636419,3296146,14932565,,,,,,,
North Carolina,10488084,2592437,6144553,1751094,7895647,,,,,,,
North Dakota,762062,200777,441440,119845,561285,,,,,,,
Ohio,11689100,2886873,6755907,2046320,8802227,,,,,,,
Oklahoma,3956971,1058495,2263344,635132,2898476,,,,,,,
Oregon,4217737,965480,2486177,766080,3252257,,,,,,,
Pennsylvania,12801989,2977542,7431085,2393362,9824447,,,,,,,
Rhode Island,1059361,238543,633772,187046,820818,,,,,,,
South Carolina,5148714,1247839,2963852,937023,3900875,,,,,,,
South Dakota,884659,240567,492221,151871,644092,,,,,,,
Tennessee,6829174,1677566,4008215,1143393,5151608,,,,,,,
Texas,28995881,8210585,17051067,3734229,20785296,,,,,,,
Utah,3205958,1028611,1811475,365872,2177347,,,,,,,
Vermont,623989,134415,364535,125039,489574,,,,,,,
Virginia,8535519,2087426,5089187,1358906,6448093,,,,,,,
Washington,7614893,1840306,4564864,1209723,5774587,,,,,,,
West Virginia,1792147,402473,1022663,367011,1389674,,,,,,,
Wisconsin,5822434,1422095,3383096,1017243,4400339,,,,,,,
Wyoming,578759,148172,331408,99179,430587,,,,,,,
Puerto Rico,3193694,659523,1854515,679656,2534171,,,,,,,
Virgin Islands,106405.0,26515,57969,21921,79890,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
