state,county,fips,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,,POP tot
California,Alameda,06001,136238,617486,769617,17.70%,80.23%,97.93%,LEFT,1671329
California,Alpine,06003,238,473,736,32.34%,64.27%,96.60%,LEFT,1129
California,Amador,06005,13585,8153,22302,60.91%,36.56%,97.47%,RIGHT,39752
California,Butte,06007,48723,50416,102024,47.76%,49.42%,97.17%,LEFT,219186
California,Calaveras,06009,16287,9845,26717,60.96%,36.85%,97.81%,RIGHT,45905
California,Colusa,06011,4539,3218,7919,57.32%,40.64%,97.95%,RIGHT,21547
California,Contra Costa,06013,152497,415573,579996,26.29%,71.65%,97.94%,LEFT,1153526
California,Del Norte,06015,6444,4659,11416,56.45%,40.81%,97.26%,RIGHT,27812
California,El Dorado,06017,61820,51606,116101,53.25%,44.45%,97.70%,RIGHT,192843
California,Fresno,06019,163880,192118,363271,45.11%,52.89%,98.00%,LEFT,999101
California,Glenn,06021,7000,3939,11170,62.67%,35.26%,97.93%,RIGHT,28393
California,Humboldt,06023,21069,43633,66914,31.49%,65.21%,96.69%,LEFT,135558
California,Imperial,06025,20040,33636,54819,36.56%,61.36%,97.91%,LEFT,181215
California,Inyo,06027,4611,4623,9460,48.74%,48.87%,97.61%,LEFT,18039
California,Kern,06029,159980,129074,296176,54.02%,43.58%,97.60%,RIGHT,900202
California,Kings,06031,23792,18409,43273,54.98%,42.54%,97.52%,RIGHT,152940
California,Lake,06033,3955,6874,11038,35.83%,62.28%,98.11%,LEFT,64386
California,Lassen,06035,8814,2775,11800,74.69%,23.52%,98.21%,RIGHT,30573
California,Los Angeles,06037,1143687,3024321,4256867,26.87%,71.05%,97.91%,LEFT,10039107
California,Madera,06039,29361,23154,53690,54.69%,43.13%,97.81%,RIGHT,157327
California,Marin,06041,24610,128262,155771,15.80%,82.34%,98.14%,LEFT,258826
California,Mariposa,06043,5950,4088,10280,57.88%,39.77%,97.65%,RIGHT,17203
California,Mendocino,06045,13267,28781,43335,30.61%,66.42%,97.03%,LEFT,86749
California,Merced,06047,39397,48991,90541,43.51%,54.11%,97.62%,LEFT,277680
California,Modoc,06049,3109,1150,4338,71.67%,26.51%,98.18%,RIGHT,8841
California,Mono,06051,2513,4013,6737,37.30%,59.57%,96.87%,LEFT,14444
California,Monterey,06053,46299,113953,163883,28.25%,69.53%,97.78%,LEFT,434061
California,Napa,06055,19388,46962,67847,28.58%,69.22%,97.79%,LEFT,137744
California,Nevada,06057,26779,36359,64738,41.37%,56.16%,97.53%,LEFT,99755
California,Orange,06059,676496,814005,1521719,44.46%,53.49%,97.95%,LEFT,3175692
California,Placer,06061,119013,104134,228616,52.06%,45.55%,97.61%,RIGHT,398329
California,Plumas,06063,6445,4561,11256,57.26%,40.52%,97.78%,RIGHT,18807
California,Riverside,06065,448281,527475,995249,45.04%,53.00%,98.04%,LEFT,2470546
California,Sacramento,06067,259394,440790,718260,36.11%,61.37%,97.48%,LEFT,1552058
California,San Benito,06069,10412,17315,28317,36.77%,61.15%,97.92%,LEFT,62808
California,San Bernardino,06071,364325,453380,836393,43.56%,54.21%,97.77%,LEFT,2180085
California,San Diego,06073,599539,963797,1600272,37.46%,60.23%,97.69%,LEFT,3338330
California,San Francisco,06075,56329,377772,442969,12.72%,85.28%,98.00%,LEFT,881549
California,San Joaquin,06077,115378,154460,275706,41.85%,56.02%,97.87%,LEFT,762148
California,San Luis Obispo,06079,66661,87491,158035,42.18%,55.36%,97.54%,LEFT,283111
California,San Mateo,06081,75505,291215,373800,20.20%,77.91%,98.11%,LEFT,766573
California,Santa Barbara,06083,63583,126419,194378,32.71%,65.04%,97.75%,LEFT,446499
California,Santa Clara,06085,214538,617824,850297,25.23%,72.66%,97.89%,LEFT,1927852
California,Santa Cruz,06087,26821,113874,144295,18.59%,78.92%,97.51%,LEFT,273213
California,Shasta,06089,60372,29874,92326,65.39%,32.36%,97.75%,RIGHT,180080
California,Sierra,06091,1142,730,1930,59.17%,37.82%,96.99%,RIGHT,3005
California,Siskiyou,06093,13288,9591,23446,56.67%,40.91%,97.58%,RIGHT,43539
California,Solano,06095,69306,131639,205831,33.67%,63.95%,97.63%,LEFT,447643
California,Sonoma,06097,61825,199938,268252,23.05%,74.53%,97.58%,LEFT,494336
California,Stanislaus,06099,104145,105841,214876,48.47%,49.26%,97.72%,LEFT,550660
California,Sutter,06101,24372,17364,42634,57.17%,40.73%,97.89%,RIGHT,96971
California,Tehama,06103,18865,8802,28319,66.62%,31.08%,97.70%,RIGHT,65084
California,Trinity,06105,3188,2851,6258,50.94%,45.56%,96.50%,RIGHT,12285
California,Tulare,06107,77413,65944,146487,52.85%,45.02%,97.86%,RIGHT,466195
California,Tuolumne,06109,17689,11978,30401,58.19%,39.40%,97.59%,RIGHT,54478
California,Ventura,06111,162146,251298,422539,38.37%,59.47%,97.85%,LEFT,846006
California,Yolo,06113,22422,58328,82624,27.14%,70.59%,97.73%,LEFT,220500
California,Yuba,06115,16210,10343,27329,59.31%,37.85%,97.16%,RIGHT,78668
