state,county,fips,POP tot,0-19 tot,20-64tot,65+ tot,voting age
Florida,Alachua,12001,269043,62293,167478,39272,206750
Florida,Baker,12003,29210,7604,17489,4117,21606
Florida,Bay,12005,174705,39407,102763,32535,135298
Florida,Bradford,12007,28201,5985,17152,5064,22216
Florida,Brevard,12009,601942,121123,335067,145752,480819
Florida,Broward,12011,1952778,451640,1166542,334596,1501138
Florida,Calhoun,12013,14105,3078,8357,2670,11027
Florida,Charlotte,12015,188910,24806,87032,77072,164104
Florida,Citrus,12017,149657,24156,70563,54938,125501
Florida,Clay,12019,219252,55475,127933,35844,163777
Florida,Collier,12021,384902,71559,186636,126707,313343
Florida,Columbia,12023,71686,17084,40793,13809,54602
Florida,DeSoto,12027,38001,8001,21442,8558,30000
Florida,Dixie,12029,16826,3368,9474,3984,13458
Florida,Duval,12031,957755,237262,581899,138594,720493
Florida,Escambia,12033,318316,77205,186540,54571,241111
Florida,Flagler,12035,115081,21238,57947,35896,93843
Florida,Franklin,12037,12125,2032,7167,2926,10093
Florida,Gadsden,12039,45660,10870,26250,8540,34790
Florida,Gilchrist,12041,18582,4352,10392,3838,14230
Florida,Glades,12043,13811,2242,7761,3808,11569
Florida,Gulf,12045,13639,2728,7297,3614,10911
Florida,Hamilton,12047,14428,3069,8695,2664,11359
Florida,Hardee,12049,26937,7634,14608,4695,19303
Florida,Hendry,12051,42022,12324,23919,5779,29698
Florida,Hernando,12053,193920,38944,101628,53348,154976
Florida,Highlands,12055,106221,19671,48261,38289,86550
Florida,Hillsborough,12057,1471968,362142,895791,214035,1109826
Florida,Holmes,12059,19617,4334,11362,3921,15283
Florida,Indian River,12061,159923,27893,77897,54133,132030
Florida,Jackson,12063,46414,9797,27047,9570,36617
Florida,Jefferson,12065,14246,2606,8129,3511,11640
Florida,Lafayette,12067,8422,1899,5068,1455,6523
Florida,Lake,12069,367118,76141,191591,99386,290977
Florida,Lee,12071,770577,148490,397455,224632,622087
Florida,Leon,12073,293582,71273,181523,40786,222309
Florida,Levy,12075,41503,8841,22226,10436,32662
Florida,Liberty,12077,8354,1607,5491,1256,6747
Florida,Madison,12079,18493,3755,10836,3902,14738
Florida,Manatee,12081,403253,79654,210442,113157,323599
Florida,Marion,12083,365579,74190,184714,106675,291389
Florida,Martin,12085,161000,28758,81482,50760,132242
Florida,Miami-Dade,12086,2716940,612328,1652005,452607,2104612
Florida,Monroe,12087,74228,12387,44213,17628,61841
Florida,Nassau,12089,88625,19117,49277,20231,69508
Florida,Okaloosa,12091,210738,51127,125235,34376,159611
Florida,Okeechobee,12093,42168,9881,23805,8482,32287
Florida,Orange,12095,1393452,345144,876751,171557,1048308
Florida,Osceola,12097,375751,100548,224422,50781,275203
Florida,Palm Beach,12099,1496770,316016,816210,364544,1180754
Florida,Pasco,12101,553947,123431,305065,125451,430516
Florida,Pinellas,12103,974996,171663,555703,247630,803333
Florida,Polk,12105,724777,176873,399736,148168,547904
Florida,Putnam,12107,74521,17217,39629,17675,57304
Florida,St. Johns,12109,264672,63377,146641,54654,201295
Florida,St. Lucie,12111,328297,70760,176609,80928,257537
Florida,Santa Rosa,12113,184313,43998,110194,30121,140315
Florida,Sarasota,12115,433742,67979,203815,161948,365763
Florida,Seminole,12117,471826,108311,288114,75401,363515
Florida,Sumter,12119,132420,10274,45112,77034,122146
Florida,Suwannee,12121,44417,10268,24499,9650,34149
Florida,Taylor,12123,21569,4637,12407,4525,16932
Florida,Union,12125,15237,3332,9588,2317,11905
Florida,Volusia,12127,553284,109813,305660,137811,443471
Florida,Wakulla,12129,33739,7643,20730,5366,26096
Florida,Walton,12131,74071,16329,42765,14977,57742
Florida,Washington,12133,25473,5592,15501,4380,19881
