State,FIPS,total facilities
Montana,30001,1
Montana,30003,1
Montana,30005,1
Montana,30007,1
Montana,30013,3
Montana,30015,1
Montana,30017,3
Montana,30021,2
Montana,30023,6
Montana,30025,1
Montana,30027,3
Montana,30029,2
Montana,30031,1
Montana,30035,2
Montana,30039,1
Montana,30041,1
Montana,30043,4
Montana,30047,3
Montana,30049,2
Montana,30053,1
Montana,30061,1
Montana,30063,2
Montana,30065,1
Montana,30067,1
Montana,30073,1
Montana,30077,3
Montana,30081,3
Montana,30085,2
Montana,30087,2
Montana,30089,1
Montana,30091,1
Montana,30093,3
Montana,30101,3
Montana,30105,1
Montana,30111,5
