state,county,fips,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,majority,POP tot
West Virginia,Barbour,54001,5116,1457,6677,76.62%,21.82%,98.44%,RIGHT,16441
West Virginia,Berkeley,54003,33279,17186,51535,64.58%,33.35%,97.92%,RIGHT,119171
West Virginia,Boone,54005,6816,2041,9012,75.63%,22.65%,98.28%,RIGHT,21457
West Virginia,Braxton,54007,4120,1457,5664,72.74%,25.72%,98.46%,RIGHT,13957
West Virginia,Brooke,54009,7545,2947,10656,70.81%,27.66%,98.46%,RIGHT,21939
West Virginia,Cabell,54011,21721,14994,37360,58.14%,40.13%,98.27%,RIGHT,91945
West Virginia,Calhoun,54013,2364,568,2971,79.57%,19.12%,98.69%,RIGHT,7109
West Virginia,Clay,54015,2679,641,3365,79.61%,19.05%,98.66%,RIGHT,8508
West Virginia,Doddridge,54017,2619,435,3101,84.46%,14.03%,98.48%,RIGHT,8448
West Virginia,Fayette,54019,11580,5063,16862,68.68%,30.03%,98.70%,RIGHT,42406
West Virginia,Gilmer,54021,2012,599,2662,75.58%,22.50%,98.08%,RIGHT,7823
West Virginia,Grant,54023,4871,607,5509,88.42%,11.02%,99.44%,RIGHT,11568
West Virginia,Greenbrier,54025,10925,4655,15850,68.93%,29.37%,98.30%,RIGHT,34662
West Virginia,Hampshire,54027,8033,1939,10086,79.65%,19.22%,98.87%,RIGHT,23175
West Virginia,Hancock,54029,9806,3790,13800,71.06%,27.46%,98.52%,RIGHT,28810
West Virginia,Hardy,54031,4859,1381,6331,76.75%,21.81%,98.56%,RIGHT,13776
West Virginia,Harrison,54033,20683,9215,30465,67.89%,30.25%,98.14%,RIGHT,67256
West Virginia,Jackson,54035,10093,3207,13508,74.72%,23.74%,98.46%,RIGHT,28576
West Virginia,Jefferson,54037,15033,12127,27703,54.26%,43.78%,98.04%,RIGHT,57146
West Virginia,Kanawha,54039,46398,34344,82244,56.42%,41.76%,98.17%,RIGHT,178124
West Virginia,Lewis,54041,5782,1538,7457,77.54%,20.62%,98.16%,RIGHT,15907
West Virginia,Lincoln,54043,6012,1711,7830,76.78%,21.85%,98.63%,RIGHT,20409
West Virginia,Logan,54045,10534,2333,13026,80.87%,17.91%,98.78%,RIGHT,32019
West Virginia,McDowell,54047,5148,1333,6527,78.87%,20.42%,99.30%,RIGHT,17624
West Virginia,Marion,54049,16300,8901,25794,63.19%,34.51%,97.70%,RIGHT,56072
West Virginia,Marshall,54051,10435,3455,14080,74.11%,24.54%,98.65%,RIGHT,30531
West Virginia,Mason,54053,8491,2526,11203,75.79%,22.55%,98.34%,RIGHT,26516
West Virginia,Mercer,54055,19237,5556,25134,76.54%,22.11%,98.64%,RIGHT,58758
West Virginia,Mineral,54057,10040,2660,12872,78.00%,20.67%,98.66%,RIGHT,26868
West Virginia,Mingo,54059,8544,1397,10022,85.25%,13.94%,99.19%,RIGHT,23424
West Virginia,Monongalia,54061,20803,20282,42072,49.45%,48.21%,97.65%,RIGHT,105612
West Virginia,Monroe,54063,5068,1345,6490,78.09%,20.72%,98.81%,RIGHT,13275
West Virginia,Morgan,54065,6537,1998,8695,75.18%,22.98%,98.16%,RIGHT,17884
West Virginia,Nicholas,54067,8279,2226,10630,77.88%,20.94%,98.82%,RIGHT,24496
West Virginia,Ohio,54069,12354,7223,19898,62.09%,36.30%,98.39%,RIGHT,41411
West Virginia,Pendleton,54071,2782,820,3659,76.03%,22.41%,98.44%,RIGHT,6969
West Virginia,Pleasants,54073,2742,699,3491,78.54%,20.02%,98.57%,RIGHT,7460
West Virginia,Pocahontas,54075,2895,1047,4008,72.23%,26.12%,98.35%,RIGHT,8247
West Virginia,Preston,54077,11190,3163,14572,76.79%,21.71%,98.50%,RIGHT,33432
West Virginia,Putnam,54079,20034,7878,28501,70.29%,27.64%,97.93%,RIGHT,56450
West Virginia,Raleigh,54081,24673,7982,33106,74.53%,24.11%,98.64%,RIGHT,73361
West Virginia,Randolph,54083,8673,3362,12200,71.09%,27.56%,98.65%,RIGHT,28695
West Virginia,Ritchie,54085,3649,586,4283,85.20%,13.68%,98.88%,RIGHT,9554
West Virginia,Roane,54087,4213,1455,5763,73.10%,25.25%,98.35%,RIGHT,13688
West Virginia,Summers,54089,4074,1448,5585,72.95%,25.93%,98.87%,RIGHT,12573
West Virginia,Taylor,54091,5477,1796,7383,74.18%,24.33%,98.51%,RIGHT,16695
West Virginia,Tucker,54093,2841,938,3844,73.91%,24.40%,98.31%,RIGHT,6839
West Virginia,Tyler,54095,3226,631,3922,82.25%,16.09%,98.34%,RIGHT,8591
West Virginia,Upshur,54097,7771,2256,10221,76.03%,22.07%,98.10%,RIGHT,24176
West Virginia,Wayne,54099,12585,4088,16947,74.26%,24.12%,98.38%,RIGHT,39402
West Virginia,Webster,54101,2759,610,3402,81.10%,17.93%,99.03%,RIGHT,8114
West Virginia,Wetzel,54103,4993,1539,6667,74.89%,23.08%,97.98%,RIGHT,15065
West Virginia,Wirt,54105,2134,466,2653,80.44%,17.57%,98.00%,RIGHT,5821
West Virginia,Wood,54107,27202,10926,38762,70.18%,28.19%,98.36%,RIGHT,83518
West Virginia,Wyoming,54109,7353,1157,8592,85.58%,13.47%,99.05%,RIGHT,20394
