State,FIPS,total facilities
West Virginia,54003,5
West Virginia,54005,2
West Virginia,54007,1
West Virginia,54011,3
West Virginia,54017,1
West Virginia,54019,4
West Virginia,54021,2
West Virginia,54025,2
West Virginia,54027,3
West Virginia,54029,1
West Virginia,54033,3
West Virginia,54037,1
West Virginia,54039,14
West Virginia,54043,1
West Virginia,54045,1
West Virginia,54047,3
West Virginia,54049,1
West Virginia,54051,3
West Virginia,54053,2
West Virginia,54055,2
West Virginia,54061,2
West Virginia,54063,1
West Virginia,54069,3
West Virginia,54073,2
West Virginia,54075,1
West Virginia,54077,5
West Virginia,54079,1
West Virginia,54081,4
West Virginia,54083,2
West Virginia,54089,1
West Virginia,54091,1
West Virginia,54093,1
West Virginia,54103,1
West Virginia,54107,3
