date,county,state,fips,cases,deaths
6/10/2021,Barbour,West Virginia,54001,1509,31
6/10/2021,Berkeley,West Virginia,54003,12768,129
6/10/2021,Boone,West Virginia,54005,2169,36
6/10/2021,Braxton,West Virginia,54007,998,3
6/10/2021,Brooke,West Virginia,54009,2241,60
6/10/2021,Cabell,West Virginia,54011,8841,177
6/10/2021,Calhoun,West Virginia,54013,374,1
6/10/2021,Clay,West Virginia,54015,542,10
6/10/2021,Doddridge,West Virginia,54017,631,6
6/10/2021,Fayette,West Virginia,54019,3535,79
6/10/2021,Gilmer,West Virginia,54021,875,6
6/10/2021,Grant,West Virginia,54023,1304,27
6/10/2021,Greenbrier,West Virginia,54025,2875,61
6/10/2021,Hampshire,West Virginia,54027,1914,36
6/10/2021,Hancock,West Virginia,54029,2837,89
6/10/2021,Hardy,West Virginia,54031,1562,24
6/10/2021,Harrison,West Virginia,54033,6106,80
6/10/2021,Jackson,West Virginia,54035,2223,61
6/10/2021,Jefferson,West Virginia,54037,4766,56
6/10/2021,Kanawha,West Virginia,54039,15410,352
6/10/2021,Lewis,West Virginia,54041,1274,21
6/10/2021,Lincoln,West Virginia,54043,1572,24
6/10/2021,Logan,West Virginia,54045,3262,95
6/10/2021,McDowell,West Virginia,54047,1609,26
6/10/2021,Marion,West Virginia,54049,4614,51
6/10/2021,Marshall,West Virginia,54051,3530,77
6/10/2021,Mason,West Virginia,54053,2042,37
6/10/2021,Mercer,West Virginia,54055,5096,121
6/10/2021,Mineral,West Virginia,54057,2969,91
6/10/2021,Mingo,West Virginia,54059,2713,42
6/10/2021,Monongalia,West Virginia,54061,9375,90
6/10/2021,Monroe,West Virginia,54063,1194,17
6/10/2021,Morgan,West Virginia,54065,1222,22
6/10/2021,Nicholas,West Virginia,54067,1882,21
6/10/2021,Ohio,West Virginia,54069,4300,87
6/10/2021,Pendleton,West Virginia,54071,723,11
6/10/2021,Pleasants,West Virginia,54073,959,12
6/10/2021,Pocahontas,West Virginia,54075,681,12
6/10/2021,Preston,West Virginia,54077,2951,46
6/10/2021,Putnam,West Virginia,54079,5303,94
6/10/2021,Raleigh,West Virginia,54081,7007,92
6/10/2021,Randolph,West Virginia,54083,2824,15
6/10/2021,Ritchie,West Virginia,54085,754,11
6/10/2021,Roane,West Virginia,54087,653,9
6/10/2021,Summers,West Virginia,54089,856,22
6/10/2021,Taylor,West Virginia,54091,1263,24
6/10/2021,Tucker,West Virginia,54093,545,10
6/10/2021,Tyler,West Virginia,54095,738,12
6/10/2021,Upshur,West Virginia,54097,1950,33
6/10/2021,Wayne,West Virginia,54099,3179,41
6/10/2021,Webster,West Virginia,54101,541,8
6/10/2021,Wetzel,West Virginia,54103,1381,31
6/10/2021,Wirt,West Virginia,54105,453,4
6/10/2021,Wood,West Virginia,54107,7917,176
6/10/2021,Wyoming,West Virginia,54109,2033,39
