state,county,fips,cases,deaths,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,,land area (sq/mi),pop/sqmi,POP tot,POP MALE,POP FEM,0-19 tot,0-19 tot f,0-19 tot m,20-64tot,20-64f,20-64m,65+ tot,65+ m,65+ f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Autauga,01001,3186,42,19838,7503,27770,71.44%,27.02%,98.46%,RIGHT,594.4,94.0,55869,27092,28777,14252,6921,7331,32693,16845,15848,8924,3913,5011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Baldwin,01003,10288,141,83544,24578,109679,76.17%,22.41%,98.58%,RIGHT,1589.8,140.4,223234,108247,114987,52268,25605,26663,124136,64279,59857,46830,21727,25103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Barbour,01005,1258,30,5622,4816,10518,53.45%,45.79%,99.24%,RIGHT,884.9,27.9,24686,13064,11622,5595,2748,2847,14230,6110,8120,4861,2097,2764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Bibb,01007,1359,40,7525,1986,9595,78.43%,20.70%,99.12%,RIGHT,622.6,36.0,22394,11929,10465,4992,2372,2620,13669,6027,7642,3733,1667,2066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Blount,01009,3600,47,24711,2640,27588,89.57%,9.57%,99.14%,RIGHT,644.8,89.7,57826,28472,29354,14522,7191,7331,32490,16252,16238,10814,4903,5911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Bullock,01011,722,20,1146,3446,4613,24.84%,74.70%,99.54%,LEFT,622.8,16.2,10101,5508,4593,2315,1125,1190,6075,2513,3562,1711,756,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Butler,01013,1287,42,5458,3965,9488,57.53%,41.79%,99.31%,RIGHT,776.8,25.0,19448,9024,10424,4692,2230,2462,10707,5774,4933,4049,1629,2420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Calhoun,01015,7534,129,35101,15216,50983,68.85%,29.85%,98.69%,RIGHT,605.9,187.5,113605,54481,59124,27548,13502,14046,65510,33836,31674,20547,8761,11786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Chambers,01017,1977,55,8753,6365,15284,57.27%,41.64%,98.91%,RIGHT,596.5,55.7,33254,15895,17359,7592,3704,3888,18947,9804,9143,6715,2864,3851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Cherokee,01019,1149,24,10583,1624,12301,86.03%,13.20%,99.24%,RIGHT,553.7,47.3,26196,12926,13270,5499,2734,2765,14533,7255,7278,6164,2883,3281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Chilton,01021,2507,47,16085,3073,19310,83.30%,15.91%,99.21%,RIGHT,692.9,64.1,44428,21800,22628,11572,5791,5781,25256,12695,12561,7600,3458,4142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Choctaw,01023,444,20,4296,3127,7464,57.56%,41.89%,99.45%,RIGHT,913.5,13.8,12589,5938,6651,2738,1325,1413,6882,3639,3243,2969,1282,1687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Clarke,01025,1755,23,7324,5755,13135,55.76%,43.81%,99.57%,RIGHT,1238.5,19.1,23622,11153,12469,5584,2772,2812,13195,6968,6227,4843,2114,2729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Clay,01027,991,27,5601,1267,6930,80.82%,18.28%,99.11%,RIGHT,604.0,21.9,13235,6447,6788,2956,1400,1556,7494,3842,3652,2785,1239,1546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Cleburne,01029,858,14,6484,675,7227,89.72%,9.34%,99.06%,RIGHT,560.1,26.6,14910,7340,7570,3672,1764,1908,8230,4139,4091,3008,1341,1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Coffee,01031,2821,25,16899,5076,22275,75.87%,22.79%,98.65%,RIGHT,679.0,77.1,52342,25742,26600,13572,6604,6968,29739,14906,14833,9031,3941,5090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Colbert,01033,3686,53,19203,8343,27886,68.86%,29.92%,98.78%,RIGHT,592.6,93.2,55241,26408,28833,12686,6331,6355,31490,16236,15254,11065,4799,6266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Conecuh,01035,770,15,3442,2966,6441,53.44%,46.05%,99.49%,RIGHT,850.2,14.2,12067,5758,6309,2728,1386,1342,6507,3393,3114,2832,1302,1530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Coosa,01037,423,4,3631,1796,5479,66.27%,32.78%,99.05%,RIGHT,650.9,16.4,10663,5335,5328,1922,927,995,6173,3049,3124,2568,1216,1352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Covington,01039,2465,38,14586,2721,17430,83.68%,15.61%,99.29%,RIGHT,1030.5,36.0,37049,17927,19122,8871,4317,4554,20258,10326,9932,7920,3441,4479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Crenshaw,01041,761,31,4864,1700,6617,73.51%,25.69%,99.20%,RIGHT,608.8,22.6,13772,6685,7087,3426,1629,1797,7675,3934,3741,2671,1147,1524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Cullman,01043,5474,57,36880,4478,41851,88.12%,10.70%,98.82%,RIGHT,734.8,114.0,83768,41408,42360,20604,10112,10492,47429,23571,23858,15735,7058,8677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Dale,01045,2675,59,14303,5170,19738,72.46%,26.19%,98.66%,RIGHT,561.2,87.6,49172,24214,24958,12321,5940,6381,28349,14324,14025,8502,3808,4694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Dallas,01047,2467,34,5524,12230,17864,30.92%,68.46%,99.38%,LEFT,978.7,38.0,37196,17178,20018,9693,4763,4930,20482,11184,9298,7021,2950,4071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
