possible correlation:,United States,Alabama,Alaska,Arizona,Arkansas,California,District of Columbia,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Jersey,New Hampshire,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Puerto Rico,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming,
"Population estimates, July 1, 2019,  (V2019)","325,904,892","4,903,185","731,545","7,278,717","3,017,804","39,512,223","705,749","5,758,736","3,565,287","973,764","21,477,737","10,617,423","1,415,872","1,787,065","12,671,821","6,732,219","3,155,070","2,913,314","4,467,673","4,648,794","1,344,212","6,045,680","6,892,503","9,986,857","5,639,632","2,976,149","6,137,428","1,068,778","1,934,408","3,080,156","8,882,190","1,359,711","2,096,829","19,453,561","10,488,084","762,062","11,689,100","3,956,971","4,217,737","3,193,694","12,801,989","1,059,361","5,148,714","884,659","6,829,174","28,995,881","3,205,958","623,989","106,405","8,535,519","7,614,893","1,792,147","5,822,434","578,759",
"Persons under 5 years, percent",5.91%,6.00%,7.00%,5.90%,6.20%,6.00%,6.40%,5.80%,5.10%,5.60%,5.30%,6.20%,6.00%,6.50%,5.90%,6.20%,6.20%,6.40%,6.10%,6.50%,4.70%,6.00%,5.20%,5.70%,6.20%,6.20%,6.00%,5.70%,6.80%,6.00%,5.80%,4.70%,5.80%,5.80%,5.80%,7.10%,5.90%,6.50%,5.40%,3.70%,5.50%,5.10%,5.70%,6.90%,6.00%,6.90%,7.70%,4.70%,7.00%,5.90%,6.00%,5.20%,5.70%,6.00%,
"Persons 19 and over, percent",77.93%,77.80%,75.40%,77.50%,76.80%,77.50%,81.80%,78.10%,79.60%,79.10%,80.30%,76.40%,78.80%,74.90%,77.80%,76.70%,77.00%,76.00%,77.60%,76.60%,81.50%,77.90%,80.40%,78.50%,76.90%,76.50%,77.70%,78.60%,75.40%,77.50%,78.20%,81.20%,77.30%,79.30%,78.10%,76.40%,77.90%,75.90%,79.50%,82.10%,79.40%,80.70%,78.40%,75.50%,77.90%,74.50%,71.00%,81.70%,74.60%,78.20%,78.20%,79.90%,78.20%,76.90%,
"Persons 65 years and over, percent",16.98%,17.30%,12.50%,18.00%,17.40%,14.80%,12.40%,14.60%,17.70%,19.40%,20.90%,14.30%,19.00%,16.30%,16.10%,16.10%,17.50%,16.30%,16.80%,15.90%,21.20%,15.90%,17.00%,17.70%,16.30%,16.40%,17.30%,19.30%,16.20%,16.10%,16.60%,18.70%,18.00%,16.90%,16.70%,15.70%,17.50%,16.10%,18.20%,21.30%,18.70%,17.70%,18.20%,17.20%,16.70%,12.90%,11.40%,20.00%,13.50%,15.90%,15.90%,20.50%,17.50%,17.10%,
"Male persons, percent",49.30%,48.30%,52.10%,49.70%,49.10%,49.70%,47.40%,50.40%,48.80%,48.30%,48.90%,48.60%,50.00%,50.10%,49.10%,49.30%,49.80%,49.80%,49.30%,48.80%,49.00%,48.40%,48.50%,49.30%,49.80%,48.50%,49.10%,50.30%,50.00%,50.20%,48.90%,49.60%,49.50%,48.60%,48.60%,51.20%,49.00%,49.50%,49.60%,47.50%,49.00%,48.70%,48.40%,50.50%,48.80%,49.70%,50.40%,49.40%,47.80%,49.20%,50.10%,49.50%,49.80%,50.90%,
"Female persons, percent",50.70%,51.70%,47.90%,50.30%,50.90%,50.30%,52.60%,49.60%,51.20%,51.70%,51.10%,51.40%,50.00%,49.90%,50.90%,50.70%,50.20%,50.20%,50.70%,51.20%,51.00%,51.60%,51.50%,50.70%,50.20%,51.50%,50.90%,49.70%,50.00%,49.80%,51.10%,50.40%,50.50%,51.40%,51.40%,48.80%,51.00%,50.50%,50.40%,52.50%,51.00%,51.30%,51.60%,49.50%,51.20%,50.30%,49.60%,50.60%,52.20%,50.80%,49.90%,50.50%,50.20%,49.10%,
"White alone, percent",77.06%,69.10%,65.30%,82.60%,79.00%,71.90%,46.00%,86.90%,79.70%,69.20%,77.30%,60.20%,25.50%,93.00%,76.80%,84.80%,90.60%,86.30%,87.50%,62.80%,94.40%,58.50%,80.60%,79.20%,83.80%,59.10%,82.90%,88.90%,88.10%,73.90%,71.90%,93.10%,81.90%,69.60%,70.60%,86.90%,81.70%,74.00%,86.70%,67.40%,81.60%,83.60%,68.60%,84.60%,78.40%,78.70%,90.60%,94.20%,15.60%,69.40%,78.50%,93.50%,87.00%,92.50%,
"Black or African American alone, percent",12.98%,26.80%,3.70%,5.20%,15.70%,6.50%,46.00%,4.60%,12.20%,23.20%,16.90%,32.60%,2.20%,0.90%,14.60%,9.90%,4.10%,6.10%,8.50%,32.80%,1.70%,31.10%,9.00%,14.10%,7.00%,37.80%,11.80%,0.60%,5.20%,10.30%,15.10%,1.80%,2.60%,17.60%,22.20%,3.40%,13.10%,7.80%,2.20%,10.80%,12.00%,8.50%,27.00%,2.30%,17.10%,12.90%,1.50%,1.40%,76.00%,19.90%,4.40%,3.60%,6.70%,1.30%,
Native american or native hawaiian / pacific islander / alaska native / other,2.22%,0.80%,17.00%,5.60%,1.40%,2.10%,0.70%,1.80%,0.70%,0.80%,0.60%,0.60%,10.50%,1.90%,0.70%,0.50%,0.70%,1.30%,0.40%,0.90%,0.70%,0.70%,0.60%,0.70%,1.50%,0.70%,0.80%,6.80%,1.60%,2.50%,0.70%,0.30%,11.20%,1.10%,1.70%,5.70%,0.40%,9.60%,2.30%,0.30%,0.50%,1.30%,0.60%,9.10%,0.60%,1.10%,2.70%,0.40%,8.00%,0.60%,2.70%,0.30%,1.30%,2.80%,
"Asian alone, percent",4.40%,1.50%,6.50%,3.70%,1.70%,15.50%,4.50%,3.50%,5.00%,4.10%,3.00%,4.40%,37.60%,1.60%,5.90%,2.60%,2.70%,3.20%,1.60%,1.80%,1.30%,6.70%,7.20%,3.40%,5.20%,1.10%,2.20%,0.90%,2.70%,8.70%,10.00%,3.00%,1.80%,9.00%,3.20%,1.70%,2.50%,2.40%,4.90%,0.20%,3.80%,3.70%,1.80%,1.50%,2.00%,5.20%,2.70%,1.90%,0.00%,6.90%,9.60%,0.80%,3.00%,1.10%,
