state name,county fips,county name,votes gop,votes dem,total votes,% GOP,% DEM,Majority,% Votes
Alabama,01001,Autauga County,19838,7503,27770,71.44%,27.02%,GOP,98.46%
Alabama,01003,Baldwin County,83544,24578,109679,76.17%,22.41%,GOP,98.58%
Alabama,01005,Barbour County,5622,4816,10518,53.45%,45.79%,GOP,99.24%
Alabama,01007,Bibb County,7525,1986,9595,78.43%,20.70%,GOP,99.12%
Alabama,01009,Blount County,24711,2640,27588,89.57%,9.57%,GOP,99.14%
Alabama,01011,Bullock County,1146,3446,4613,24.84%,74.70%,DEM,99.54%
Alabama,01013,Butler County,5458,3965,9488,57.53%,41.79%,GOP,99.31%
Alabama,01015,Calhoun County,35101,15216,50983,68.85%,29.85%,GOP,98.69%
Alabama,01017,Chambers County,8753,6365,15284,57.27%,41.64%,GOP,98.91%
Alabama,01019,Cherokee County,10583,1624,12301,86.03%,13.20%,GOP,99.24%
Alabama,01021,Chilton County,16085,3073,19310,83.30%,15.91%,GOP,99.21%
Alabama,01023,Choctaw County,4296,3127,7464,57.56%,41.89%,GOP,99.45%
Alabama,01025,Clarke County,7324,5755,13135,55.76%,43.81%,GOP,99.57%
Alabama,01027,Clay County,5601,1267,6930,80.82%,18.28%,GOP,99.11%
Alabama,01029,Cleburne County,6484,675,7227,89.72%,9.34%,GOP,99.06%
Alabama,01031,Coffee County,16899,5076,22275,75.87%,22.79%,GOP,98.65%
Alabama,01033,Colbert County,19203,8343,27886,68.86%,29.92%,GOP,98.78%
Alabama,01035,Conecuh County,3442,2966,6441,53.44%,46.05%,GOP,99.49%
Alabama,01037,Coosa County,3631,1796,5479,66.27%,32.78%,GOP,99.05%
Alabama,01039,Covington County,14586,2721,17430,83.68%,15.61%,GOP,99.29%
Alabama,01041,Crenshaw County,4864,1700,6617,73.51%,25.69%,GOP,99.20%
Alabama,01043,Cullman County,36880,4478,41851,88.12%,10.70%,GOP,98.82%
Alabama,01045,Dale County,14303,5170,19738,72.46%,26.19%,GOP,98.66%
Alabama,01047,Dallas County,5524,12230,17864,30.92%,68.46%,DEM,99.38%
Alabama,01049,DeKalb County,24767,4281,29356,84.37%,14.58%,GOP,98.95%
