Name,Near Location,State,FIPS,Type of Facility,Listed Capacity,Max Capacity
Autauga Metro Jail,Autauga County,Alabama,01001,Local,2081,2640
Baldwin County Jail,Baldwin County,Alabama,01003,Local,969,2248
Daphne City Jail,Baldwin County,Alabama,01003,Local,987,2215
Fairhope City Jail,Baldwin County,Alabama,01003,Local,526,1970
Loxley Community Work Center,Baldwin County,Alabama,01003,State,1188,1357
Orange Beach City Jail,Baldwin County,Alabama,01003,Local,1051,1177
Barbour County Jail,Barbour County,Alabama,01005,Local,1917,955
Easterling Correctional Facility,Barbour County,Alabama,01005,State,2521,973
Ventress Correctional Facility,Barbour County,Alabama,01005,State,2539,583
Bibb Correctional Facility,Bibb County,Alabama,01007,State,1341,497
Blount County Correctional Facility,Blount County,Alabama,01009,Local,2607,448
Bullock Correctional Facility,Bullock County,Alabama,01011,State,2163,1101
Bullock County Jail,Bullock County,Alabama,01011,Local,2506,1605
Bullock County Work Release Center,Bullock County,Alabama,01011,State,141,557
Butler County Jail,Butler County,Alabama,01013,Local,1792,612
Anniston City Jail,Calhoun County,Alabama,01015,Local,1889,1297
Calhoun County Jail,Calhoun County,Alabama,01015,Local,1403,1151
Oxford City Jail,Calhoun County,Alabama,01015,Local,613,874
Piedmont City Jail,Calhoun County,Alabama,01015,Local,877,1074
Chambers County Detention Facility,Chambers County,Alabama,01017,Local,1784,316
Cherokee County Detention Center,Cherokee County,Alabama,01019,Local,836,1328
Chilton County Jail,Chilton County,Alabama,01021,Local,1227,1405
Choctaw County Jail,Choctaw County,Alabama,01023,Local,1479,1073
Unlisted - Choctaw County,Choctaw County,Alabama,01023,Local,1865,617
Clarke County Jail,Clarke County,Alabama,01025,Local,1209,1663
Clay County Jail,Clay County,Alabama,01027,Local,310,555
Cleburne County Jail,Cleburne County,Alabama,01029,Local,1356,514
Elba Work Release Center,Coffee County,Alabama,01031,State,673,1229
Colbert County Jail,Colbert County,Alabama,01033,Local,913,123
Conecuh County jail,Conecuh County,Alabama,01035,Local,2137,673
Coosa County Jail,Coosa County,Alabama,01037,Local,2024,1387
Covington County Jail,Covington County,Alabama,01039,Local,1618,895
Cullman County Jail,Cullman County,Alabama,01043,Local,658,468
Hanceville City Jail,Cullman County,Alabama,01043,Local,1711,1624
Unlisted - Cullman County,Cullman County,Alabama,01043,Unlisted,1210,1401
Dale County Jail,Dale County,Alabama,01045,Local,2385,1160
Unlisted - Dale County,Dale County,Alabama,01045,Unlisted,1574,541
Dekalb County Detention Center,Fort Payne,Alabama,01049,Federal,1134,431
DeKalb County Jail,DeKalb County,Alabama,01049,Local,830,1268
Fort Payne City Jail,DeKalb County,Alabama,01049,Local,2070,818
Unlisted - DeKalb County,DeKalb County,Alabama,01049,Unlisted,1713,834
Draper / Staton / Elmore prisons,Elmore County,Alabama,01051,State,367,646
Draper Correctional Facility,Elmore County,Alabama,01051,State,1897,222
Elmore Correctional Facility,Elmore County,Alabama,01051,State,1691,344
Elmore County Jail,Elmore County,Alabama,01051,Local,451,264
Frank Lee Youth Center,Elmore County,Alabama,01051,State,31,275
Julia Tutwiler Prison for Women,Elmore County,Alabama,01051,State,1194,1014
Staton Correctional Facility,Elmore County,Alabama,01051,State,2165,91
Tutwiler Prison for Women,Elmore County,Alabama,01051,State,686,218
Escambia County Detention Center,Escambia County,Alabama,01053,Local,1766,1242
Fountain Correctional Facility,Escambia County,Alabama,01053,State,1798,341
G.K. Fountain Corr Facility/ J.O. Davis Corr F,Escambia County,Alabama,01053,State,2099,1117
Holman Correctional Facility,Escambia County,Alabama,01053,State,2085,762
Holman Prison,Escambia County,Alabama,01053,State,1691,321
Etowah County Detention Center,Etowah County,Alabama,01055,Local,2264,700
Etowah County Jail ,Gadsden,Alabama,01055,State,2307,807
Fayette County Jail,Fayette County,Alabama,01057,Local,275,1247
Unlisted,Fayette County,Alabama,01057,Unlisted,2642,818
Franklin County Jail,Franklin County,Alabama,01059,Local,726,805
Unlisted - Franklin County,Franklin County,Alabama,01059,Unlisted,2014,1105
Geneva County Jail,Geneva County,Alabama,01061,Local,1394,1315
Farquhar State Cattle Ranch,Hale County,Alabama,01065,State,1484,1090
Hale County Jail,Hale County,Alabama,01065,Local,595,682
Henry County Jail,Henry County,Alabama,01067,Local,819,90
Dothan City Jail,Houston County,Alabama,01069,Local,54,1171
Houston County Jail,Houston County,Alabama,01069,Local,1474,119
Jackson County Jail,Jackson County,Alabama,01071,Local,824,241
Scottsboro City Jail,Jackson County,Alabama,01071,Local,2076,1266
Adamsville City Jail,Jefferson County,Alabama,01073,Local,2482,239
Bessemer City Jail,Jefferson County,Alabama,01073,Local,317,268
Birmingham City Jail,Jefferson County,Alabama,01073,Local,1563,553
Birmingham Work Release Center,Jefferson County,Alabama,01073,State,2682,1181
Donaldson Correctional Facility,Jefferson County,Alabama,01073,State,2358,1244
Fairfield City Jail,Jefferson County,Alabama,01073,Local,523,138
Homewood City Jail,Jefferson County,Alabama,01073,Local,1398,1667
Hueytown City Jail,Jefferson County,Alabama,01073,Local,1291,650
Jefferson County Sheriff's Office,Jefferson County,Alabama,01073,Local,2439,881
Mountain Brook City Jail,Jefferson County,Alabama,01073,Local,1838,729
Pleasant Grove City Jail,Jefferson County,Alabama,01073,Local,2339,112
Trussville City Jail,Jefferson County,Alabama,01073,Local,2052,708
Unlisted - Jefferson County,Jefferson County,Alabama,01073,Unlisted,1193,1656
William E. Donaldson Correctional Facility,Jefferson County,Alabama,01073,State,548,1125
Lamar County Jail,Lamar County,Alabama,01075,Local,1511,410
