"Fact","Fact Note","Puerto Rico","Value Note for Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","3,193,694",""
"Population estimates base, April 1, 2010,  (V2019)","","3,726,157",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-14.3%",""
"Population, Census, April 1, 2010","","3,725,789",""
"Persons under 5 years, percent","","3.7%",""
"Persons under 18 years, percent","","17.9%",""
"Persons 65 years and over, percent","","21.3%",""
"Female persons, percent","","52.5%",""
"White alone, percent","","67.4%",""
"Black or African American alone, percent","(a)","10.8%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%",""
"Asian alone, percent","(a)","0.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","5.2%",""
"Hispanic or Latino, percent","(b)","98.9%",""
"White alone, not Hispanic or Latino, percent","","0.8%",""
"Veterans, 2014-2018","","80,428",""
"Foreign born persons, percent, 2014-2018","","2.7%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","68.1%",""
"Median value of owner-occupied housing units, 2014-2018","","$113,500",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$890",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$154",""
"Median gross rent, 2014-2018","","$474",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","1,205,075",""
"Persons per household, 2014-2018","","2.78",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","92.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","94.6%",""
"Households with a computer, percent, 2014-2018","","64.5%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","56.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","75.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","25.3%",""
"With a disability, under age 65 years, percent, 2014-2018","","15.1%",""
"Persons  without health insurance, under age 65 years, percent","","9.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","44.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","39.7%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","4,256,139",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","6,098,340",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","76,575,043",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","20,184,374",""
"Total retail sales, 2012 ($1,000)","(c)","24,957,584",""
"Total retail sales per capita, 2012","(c)","$6,806",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","29.2",""
"Median household income (in 2018 dollars), 2014-2018","","$20,166",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$12,451",""
"Persons in poverty, percent","","43.5%",""
"Total employer establishments, 2018","","43,329",""
"Total employment, 2018","","661,332",""
"Total annual payroll, 2018 ($1,000)","","17,946,374",""
"Total employment, percent change, 2017-2018","","-2.2%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","1,088.2",""
"Land area in square miles, 2010","","3,423.80",""
"FIPS Code","","""72""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
