Fact,Fact Note,Virginia,Vermont,Utah,Texas,Value Note for Texas
"Population estimates, July 1, 2019,  (V2019)",,"8,535,519","623,989","3,205,958","28,995,881",
"Population estimates base, April 1, 2010,  (V2019)",,"8,001,049","625,737","2,763,891","25,146,091",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,6.70%,-0.30%,16.00%,15.30%,
"Population, Census, April 1, 2010",,"8,001,024","625,741","2,763,885","25,145,561",
"Persons under 5 years, percent",,5.90%,4.70%,7.70%,6.90%,
"Persons under 18 years, percent",,21.80%,18.30%,29.00%,25.50%,
"Persons 65 years and over, percent",,15.90%,20.00%,11.40%,12.90%,
"Female persons, percent",,50.80%,50.60%,49.60%,50.30%,
"White alone, percent",,69.40%,94.20%,90.60%,78.70%,
"Black or African American alone, percent",(a),19.90%,1.40%,1.50%,12.90%,
"American Indian and Alaska Native alone, percent",(a),0.50%,0.40%,1.60%,1.00%,
"Asian alone, percent",(a),6.90%,1.90%,2.70%,5.20%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.10%,Z,1.10%,0.10%,
"Two or More Races, percent",,3.20%,2.00%,2.60%,2.10%,
"Hispanic or Latino, percent",(b),9.80%,2.00%,14.40%,39.70%,
"White alone, not Hispanic or Latino, percent",,61.20%,92.60%,77.80%,41.20%,
"Veterans, 2014-2018",,"684,480","38,625","123,339","1,474,232",
"Foreign born persons, percent, 2014-2018",,12.30%,4.60%,8.40%,17.00%,
"Housing units,  July 1, 2019,  (V2019)",,"3,562,143","339,439","1,133,521","11,283,353",
"Owner-occupied housing unit rate, 2014-2018",,66.20%,70.70%,69.90%,61.90%,
"Median value of owner-occupied housing units, 2014-2018",,"$264,900 ","$223,700 ","$256,700 ","$161,700 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$1,767 ","$1,594 ","$1,497 ","$1,549 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$470 ,$667 ,$418 ,$500 ,
"Median gross rent, 2014-2018",,"$1,202 ",$972 ,$988 ,$998 ,
"Building permits, 2019",,"32,418","1,801","28,779","209,895",
"Households, 2014-2018",,"3,128,415","259,589","957,619","9,553,046",
"Persons per household, 2014-2018",,2.61,2.31,3.13,2.86,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,84.50%,86.70%,82.90%,84.10%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,16.10%,5.70%,15.20%,35.50%,
"Households with a computer, percent, 2014-2018",,89.90%,88.90%,94.40%,89.20%,
"Households with a broadband Internet subscription, percent, 2014-2018",,82.00%,80.20%,85.70%,79.30%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,89.30%,92.60%,92.00%,83.20%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,38.20%,37.30%,33.30%,29.30%,
"With a disability, under age 65 years, percent, 2014-2018",,8.00%,10.50%,6.80%,7.90%,
"Persons  without health insurance, under age 65 years, percent",,9.30%,5.60%,10.80%,20.80%,
