Fact,Wyoming,Wisconsin,West Virginia,Washington
"Population estimates, July 1, 2019,  (V2019)","578,759","5,822,434","1,792,147","7,614,893"
"Population estimates base, April 1, 2010,  (V2019)","563,775","5,687,285","1,853,018","6,724,540"
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",2.70%,2.40%,-3.30%,13.20%
"Population, Census, April 1, 2010","563,626","5,686,986","1,852,994","6,724,540"
"Persons under 5 years, percent",6.00%,5.70%,5.20%,6.00%
"Persons under 18 years, percent",23.10%,21.80%,20.10%,21.80%
"Persons 65 years and over, percent",17.10%,17.50%,20.50%,15.90%
"Female persons, percent",49.10%,50.20%,50.50%,49.90%
"White alone, percent",92.50%,87.00%,93.50%,78.50%
"Black or African American alone, percent",1.30%,6.70%,3.60%,4.40%
"American Indian and Alaska Native alone, percent",2.70%,1.20%,0.30%,1.90%
"Asian alone, percent",1.10%,3.00%,0.80%,9.60%
"Native Hawaiian and Other Pacific Islander alone, percent",0.10%,0.10%,Z,0.80%
"Two or More Races, percent",2.20%,2.00%,1.80%,4.90%
"Hispanic or Latino, percent",10.10%,7.10%,1.70%,13.00%
"White alone, not Hispanic or Latino, percent",83.70%,80.90%,92.00%,67.50%
"Veterans, 2014-2018","45,389","342,796","134,508","537,713"
"Foreign born persons, percent, 2014-2018",3.50%,5.00%,1.60%,14.00%
"Housing units,  July 1, 2019,  (V2019)","280,291","2,725,296","894,956","3,195,004"
"Owner-occupied housing unit rate, 2014-2018",69.40%,66.90%,72.90%,62.70%
"Median value of owner-occupied housing units, 2014-2018","$213,300 ","$173,600 ","$115,000 ","$311,700 "
"Median selected monthly owner costs -with a mortgage, 2014-2018","$1,428 ","$1,418 ","$1,023 ","$1,826 "
"Median selected monthly owner costs -without a mortgage, 2014-2018",$415 ,$550 ,$319 ,$564 
"Median gross rent, 2014-2018",$843 ,$837 ,$711 ,"$1,194 "
"Building permits, 2019","1,708","17,480","3,010","48,424"
"Households, 2014-2018","230,630","2,343,129","734,676","2,800,423"
"Persons per household, 2014-2018",2.46,2.4,2.42,2.55
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",83.10%,85.80%,88.40%,82.20%
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",7.30%,8.70%,2.50%,19.40%
"Households with a computer, percent, 2014-2018",90.80%,88.00%,81.80%,92.70%
"Households with a broadband Internet subscription, percent, 2014-2018",81.10%,80.40%,72.90%,86.50%
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",92.90%,91.90%,86.50%,91.10%
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",26.90%,29.50%,20.30%,35.30%
"With a disability, under age 65 years, percent, 2014-2018",8.90%,8.20%,14.10%,8.80%
"Persons  without health insurance, under age 65 years, percent",14.80%,6.80%,8.30%,7.70%
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",66.40%,66.60%,53.10%,63.50%
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",61.20%,63.00%,48.90%,58.40%
"Total accommodation and food services sales, 2012 ($1,000)","1,644,844","10,303,256","4,036,333","14,297,278"
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","3,291,478","40,680,625","12,259,395","43,966,889"
"Total manufacturers shipments, 2012 ($1,000)","10,783,794","177,728,926","24,553,072","131,530,601"
"Total merchant wholesaler sales, 2012 ($1,000)","5,597,891","77,066,883","14,295,437","83,313,366"
"Total retail sales, 2012 ($1,000)","9,446,043","78,201,822","22,637,923","118,924,049"
"Total retail sales per capita, 2012","$16,388 ","$13,656 ","$12,201 ","$17,243 "
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",17.8,22,25.8,27.6
"Median household income (in 2018 dollars), 2014-2018","$62,268 ","$59,209 ","$44,921 ","$70,116 "
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","$32,295 ","$32,018 ","$25,479 ","$36,888 "
"Persons in poverty, percent",10.10%,10.40%,16.00%,9.80%
"Total employer establishments, 2018","21,336","141,666","35,963","193,817"
"Total employment, 2018","205,786","2,602,148","554,567","2,847,481"
"Total annual payroll, 2018 ($1,000)","9,982,639","127,405,654","23,198,172","183,300,334"
"Total employment, percent change, 2017-2018",1.90%,1.60%,0.90%,2.80%
"Total nonemployer establishments, 2018","53,042","355,166","88,150","491,908"
"All firms, 2012","62,427","432,980","114,435","541,522"
"Men-owned firms, 2012","30,039","236,252","63,112","262,650"
"Women-owned firms, 2012","19,344","133,859","39,065","187,677"
"Minority-owned firms, 2012","4,077","40,507","5,777","92,807"
"Nonminority-owned firms, 2012","55,397","379,934","104,785","426,697"
"Veteran-owned firms, 2012","6,470","39,830","12,912","49,331"
"Nonveteran-owned firms, 2012","51,353","370,755","94,960","461,401"
"Population per square mile, 2010",5.8,105,77.1,101.2
"Land area in square miles, 2010","97,093.14","54,157.80","24,038.21","66,455.52"
FIPS Code,"""56""","""55""","""54""","""53"""
,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,
,,,,
Value Notes,,,,
None,,,,
,,,,
Fact Notes,,,,
(a),,,,
(b),,,,
(c),,,,
,,,,
Value Flags,,,,
-,,,,
D,,,,
F,,,,
FN,,,,
N,,,,
NA,,,,
S,,,,
X,,,,
Z,,,,
