Fact,Fact Note,Florida,Georgia,Hawaii,Wyoming,Alabama,United States,Value Note for United States
"Population estimates, July 1, 2019,  (V2019)",,"21,477,737","10,617,423","1,415,872","578,759","4,903,185","328,239,523",
"Population estimates base, April 1, 2010,  (V2019)",,"18,804,564","9,688,729","1,360,307","563,775","4,780,125","308,758,105",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,14.20%,9.60%,4.10%,2.70%,2.60%,6.30%,
"Population, Census, April 1, 2010",,"18,801,310","9,687,653","1,360,301","563,626","4,779,736","308,745,538",
"Persons under 5 years, percent",,5.30%,6.20%,6.00%,6.00%,6.00%,6.00%,
"Persons under 18 years, percent",,19.70%,23.60%,21.20%,23.10%,22.20%,22.30%,
"Persons 65 years and over, percent",,20.90%,14.30%,19.00%,17.10%,17.30%,16.50%,
"Female persons, percent",,51.10%,51.40%,50.00%,49.10%,51.70%,50.80%,
"White alone, percent",,77.30%,60.20%,25.50%,92.50%,69.10%,76.30%,
"Black or African American alone, percent",(a),16.90%,32.60%,2.20%,1.30%,26.80%,13.40%,
"American Indian and Alaska Native alone, percent",(a),0.50%,0.50%,0.40%,2.70%,0.70%,1.30%,
"Asian alone, percent",(a),3.00%,4.40%,37.60%,1.10%,1.50%,5.90%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.10%,0.10%,10.10%,0.10%,0.10%,0.20%,
"Two or More Races, percent",,2.20%,2.20%,24.20%,2.20%,1.80%,2.80%,
"Hispanic or Latino, percent",(b),26.40%,9.90%,10.70%,10.10%,4.60%,18.50%,
"White alone, not Hispanic or Latino, percent",,53.20%,52.00%,21.70%,83.70%,65.30%,60.10%,
"Veterans, 2014-2018",,"1,452,967","636,725","105,563","45,389","335,599","18,611,432",
"Foreign born persons, percent, 2014-2018",,20.50%,10.10%,18.30%,3.50%,3.50%,13.50%,
"Housing units,  July 1, 2019,  (V2019)",,"9,673,682","4,378,391","550,273","280,291","2,284,847","139,684,244",
"Owner-occupied housing unit rate, 2014-2018",,65.00%,63.10%,58.30%,69.40%,68.60%,63.80%,
"Median value of owner-occupied housing units, 2014-2018",,"$196,800 ","$166,800 ","$587,700 ","$213,300 ","$137,200 ","$204,900 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$1,466 ","$1,383 ","$2,350 ","$1,428 ","$1,174 ","$1,558 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$492 ,$418 ,$519 ,$415 ,$358 ,$490 ,
"Median gross rent, 2014-2018",,"$1,128 ",$968 ,"$1,566 ",$843 ,$772 ,"$1,023 ",
"Building permits, 2019",,"154,302","53,823","4,093","1,708","17,748","1,386,048",
"Households, 2014-2018",,"7,621,760","3,709,488","456,782","230,630","1,860,269","119,730,128",
"Persons per household, 2014-2018",,2.65,2.71,3.02,2.46,2.55,2.63,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,84.30%,84.60%,86.30%,83.10%,86.10%,85.50%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,29.10%,13.90%,26.10%,7.30%,5.20%,21.50%,
"Households with a computer, percent, 2014-2018",,89.80%,88.60%,90.00%,90.80%,83.40%,88.80%,
"Households with a broadband Internet subscription, percent, 2014-2018",,80.80%,79.00%,83.30%,81.10%,73.30%,80.40%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,88.00%,86.70%,91.80%,92.90%,85.80%,87.70%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,29.20%,30.70%,32.50%,26.90%,24.90%,31.50%,
"With a disability, under age 65 years, percent, 2014-2018",,8.60%,8.70%,6.50%,8.90%,11.60%,8.60%,
"Persons  without health insurance, under age 65 years, percent",,16.30%,15.50%,5.00%,14.80%,11.70%,9.50%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,58.30%,62.40%,61.80%,66.40%,57.10%,62.90%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,54.10%,58.20%,59.50%,61.20%,52.30%,58.20%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"49,817,925","18,976,611","9,536,706","1,644,844","7,576,462","708,138,598",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"124,061,425","51,800,643","8,136,947","3,291,478","26,039,632","2,040,441,203",
"Total manufacturers shipments, 2012 ($1,000)",(c),"96,924,106","155,836,792",D,"10,783,794","124,809,759","5,696,729,632",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"252,626,608","143,645,290","9,607,982","5,597,891","57,746,565","5,208,023,478",
"Total retail sales, 2012 ($1,000)",(c),"273,867,145","119,801,495","18,901,745","9,446,043","58,564,965","4,219,821,871",
"Total retail sales per capita, 2012",(c),"$14,177 ","$12,077 ","$13,576 ","$16,388 ","$12,145 ","$13,443 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,27.4,28.4,27.4,17.8,24.7,26.6,
"Median household income (in 2018 dollars), 2014-2018",,"$53,267 ","$55,679 ","$78,084 ","$62,268 ","$48,486 ","$60,293 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$30,197 ","$29,523 ","$34,035 ","$32,295 ","$26,846 ","$32,621 ",
"Persons in poverty, percent",,12.70%,13.30%,9.30%,10.10%,15.50%,10.50%,
"Total employer establishments, 2018",,"566,894","235,847","32,952","21,336","100,267","7,912,405",
"Total employment, 2018",,"8,669,611","3,975,657","551,681","205,786","1,730,817","130,881,471",
"Total annual payroll, 2018 ($1,000)",,"404,483,243","204,050,872","25,119,473","9,982,639","76,223,039","7,097,310,272",
"Total employment, percent change, 2017-2018",,3.40%,2.20%,1.40%,1.90%,2.40%,1.80%,
"Total nonemployer establishments, 2018",,"2,388,050","955,621","112,589","53,042","336,445","26,485,532",
"All firms, 2012",,"2,100,187","929,864","118,454","62,427","374,153","27,626,360",
"Men-owned firms, 2012",,"1,084,885","480,578","60,409","30,039","203,604","14,844,597",
