Fact,Fact Note,California,Arkansas,Arizona,Alaska,Alabama,United States,Value Note for United States
"Population estimates, July 1, 2019,  (V2019)",,"39,512,223","3,017,804","7,278,717","731,545","4,903,185","328,239,523",
"Population estimates base, April 1, 2010,  (V2019)",,"37,254,519","2,916,031","6,392,288","710,249","4,780,125","308,758,105",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,6.10%,3.50%,13.90%,3.00%,2.60%,6.30%,
"Population, Census, April 1, 2010",,"37,253,956","2,915,918","6,392,017","710,231","4,779,736","308,745,538",
"Persons under 5 years, percent",,6.00%,6.20%,5.90%,7.00%,6.00%,6.00%,
"Persons under 18 years, percent",,22.50%,23.20%,22.50%,24.60%,22.20%,22.30%,
"Persons 65 years and over, percent",,14.80%,17.40%,18.00%,12.50%,17.30%,16.50%,
"Female persons, percent",,50.30%,50.90%,50.30%,47.90%,51.70%,50.80%,
"White alone, percent",,71.90%,79.00%,82.60%,65.30%,69.10%,76.30%,
"Black or African American alone, percent",(a),6.50%,15.70%,5.20%,3.70%,26.80%,13.40%,
"American Indian and Alaska Native alone, percent",(a),1.60%,1.00%,5.30%,15.60%,0.70%,1.30%,
"Asian alone, percent",(a),15.50%,1.70%,3.70%,6.50%,1.50%,5.90%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.50%,0.40%,0.30%,1.40%,0.10%,0.20%,
"Two or More Races, percent",,4.00%,2.20%,2.90%,7.50%,1.80%,2.80%,
"Hispanic or Latino, percent",(b),39.40%,7.80%,31.70%,7.30%,4.60%,18.50%,
"White alone, not Hispanic or Latino, percent",,36.50%,72.00%,54.10%,60.20%,65.30%,60.10%,
"Veterans, 2014-2018",,"1,618,861","202,572","487,684","67,452","335,599","18,611,432",
"Foreign born persons, percent, 2014-2018",,26.90%,4.80%,13.40%,7.80%,3.50%,13.50%,
"Housing units,  July 1, 2019,  (V2019)",,"14,366,336","1,389,129","3,075,981","319,854","2,284,847","139,684,244",
"Owner-occupied housing unit rate, 2014-2018",,54.60%,65.70%,63.60%,64.00%,68.60%,63.80%,
"Median value of owner-occupied housing units, 2014-2018",,"$475,900 ","$123,300 ","$209,600 ","$265,200 ","$137,200 ","$204,900 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$2,282 ","$1,071 ","$1,394 ","$1,907 ","$1,174 ","$1,558 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$569 ,$347 ,$406 ,$573 ,$358 ,$490 ,
"Median gross rent, 2014-2018",,"$1,429 ",$729 ,"$1,009 ","$1,231 ",$772 ,"$1,023 ",
"Building permits, 2019",,"110,197","12,723","46,580","1,680","17,748","1,386,048",
"Households, 2014-2018",,"12,965,435","1,152,175","2,524,300","253,462","1,860,269","119,730,128",
"Persons per household, 2014-2018",,2.96,2.52,2.69,2.81,2.55,2.63,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,86.70%,84.40%,82.20%,81.70%,86.10%,85.50%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,44.10%,7.40%,27.20%,16.20%,5.20%,21.50%,
"Households with a computer, percent, 2014-2018",,91.70%,84.10%,89.90%,93.30%,83.40%,88.80%,
"Households with a broadband Internet subscription, percent, 2014-2018",,84.70%,69.80%,81.80%,84.30%,73.30%,80.40%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,82.90%,86.20%,86.80%,92.70%,85.80%,87.70%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,33.30%,22.60%,28.90%,29.20%,24.90%,31.50%,
"With a disability, under age 65 years, percent, 2014-2018",,6.80%,12.50%,8.60%,8.80%,11.60%,8.60%,
"Persons  without health insurance, under age 65 years, percent",,8.90%,10.90%,13.60%,13.90%,11.70%,9.50%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,63.10%,57.90%,59.20%,66.40%,57.10%,62.90%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,57.20%,53.30%,54.50%,63.90%,52.30%,58.20%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"90,830,372","4,307,264","13,996,635","2,221,335","7,576,462","708,138,598",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"248,953,592","15,792,628","37,055,881","6,375,483","26,039,632","2,040,441,203",
"Total manufacturers shipments, 2012 ($1,000)",(c),"512,303,164","62,712,925","51,243,473",D,"124,809,759","5,696,729,632",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"666,652,186","31,256,110","69,437,272","5,216,303","57,746,565","5,208,023,478",
"Total retail sales, 2012 ($1,000)",(c),"481,800,461","36,815,256","84,716,542","10,474,275","58,564,965","4,219,821,871",
"Total retail sales per capita, 2012",(c),"$12,665 ","$12,483 ","$12,927 ","$14,320 ","$12,145 ","$13,443 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,29.3,21.7,25.3,18.8,24.7,26.6,
"Median household income (in 2018 dollars), 2014-2018",,"$71,228 ","$45,726 ","$56,213 ","$76,715 ","$48,486 ","$60,293 ",
