Fact,Fact Note,Illinois,Idaho,Hawaii,Georgia,Florida,United States,Value Note for United States
"Population estimates, July 1, 2019,  (V2019)",,"12,671,821","1,787,065","1,415,872","10,617,423","21,477,737","328,239,523",
"Population estimates base, April 1, 2010,  (V2019)",,"12,831,572","1,567,657","1,360,307","9,688,729","18,804,564","308,758,105",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,-1.20%,14.00%,4.10%,9.60%,14.20%,6.30%,
"Population, Census, April 1, 2010",,"12,830,632","1,567,582","1,360,301","9,687,653","18,801,310","308,745,538",
"Persons under 5 years, percent",,5.90%,6.50%,6.00%,6.20%,5.30%,6.00%,
"Persons under 18 years, percent",,22.20%,25.10%,21.20%,23.60%,19.70%,22.30%,
"Persons 65 years and over, percent",,16.10%,16.30%,19.00%,14.30%,20.90%,16.50%,
"Female persons, percent",,50.90%,49.90%,50.00%,51.40%,51.10%,50.80%,
"White alone, percent",,76.80%,93.00%,25.50%,60.20%,77.30%,76.30%,
"Black or African American alone, percent",(a),14.60%,0.90%,2.20%,32.60%,16.90%,13.40%,
"American Indian and Alaska Native alone, percent",(a),0.60%,1.70%,0.40%,0.50%,0.50%,1.30%,
"Asian alone, percent",(a),5.90%,1.60%,37.60%,4.40%,3.00%,5.90%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.10%,0.20%,10.10%,0.10%,0.10%,0.20%,
"Two or More Races, percent",,2.10%,2.60%,24.20%,2.20%,2.20%,2.80%,
"Hispanic or Latino, percent",(b),17.50%,12.80%,10.70%,9.90%,26.40%,18.50%,
"White alone, not Hispanic or Latino, percent",,60.80%,81.60%,21.70%,52.00%,53.20%,60.10%,
"Veterans, 2014-2018",,"595,185","115,045","105,563","636,725","1,452,967","18,611,432",
"Foreign born persons, percent, 2014-2018",,14.00%,6.00%,18.30%,10.10%,20.50%,13.50%,
"Housing units,  July 1, 2019,  (V2019)",,"5,388,066","751,105","550,273","4,378,391","9,673,682","139,684,244",
"Owner-occupied housing unit rate, 2014-2018",,66.00%,69.30%,58.30%,63.10%,65.00%,63.80%,
"Median value of owner-occupied housing units, 2014-2018",,"$187,200 ","$192,300 ","$587,700 ","$166,800 ","$196,800 ","$204,900 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$1,668 ","$1,228 ","$2,350 ","$1,383 ","$1,466 ","$1,558 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$626 ,$368 ,$519 ,$418 ,$492 ,$490 ,
"Median gross rent, 2014-2018",,$984 ,$825 ,"$1,566 ",$968 ,"$1,128 ","$1,023 ",
"Building permits, 2019",,"20,524","17,716","4,093","53,823","154,302","1,386,048",
"Households, 2014-2018",,"4,830,038","618,331","456,782","3,709,488","7,621,760","119,730,128",
"Persons per household, 2014-2018",,2.59,2.68,3.02,2.71,2.65,2.63,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,87.10%,82.60%,86.30%,84.60%,84.30%,85.50%,
