Fact,Fact Note,Louisiana,Kentucky,Kansas,Iowa,Indiana,United States,Value Note for United States
"Population estimates, July 1, 2019,  (V2019)",,"4,648,794","4,467,673","2,913,314","3,155,070","6,732,219","328,239,523",
"Population estimates base, April 1, 2010,  (V2019)",,"4,533,487","4,339,333","2,853,123","3,046,871","6,484,051","308,758,105",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,2.50%,3.00%,2.10%,3.60%,3.80%,6.30%,
"Population, Census, April 1, 2010",,"4,533,372","4,339,367","2,853,118","3,046,355","6,483,802","308,745,538",
"Persons under 5 years, percent",,6.50%,6.10%,6.40%,6.20%,6.20%,6.00%,
"Persons under 18 years, percent",,23.40%,22.40%,24.00%,23.00%,23.30%,22.30%,
"Persons 65 years and over, percent",,15.90%,16.80%,16.30%,17.50%,16.10%,16.50%,
"Female persons, percent",,51.20%,50.70%,50.20%,50.20%,50.70%,50.80%,
"White alone, percent",,62.80%,87.50%,86.30%,90.60%,84.80%,76.30%,
"Black or African American alone, percent",(a),32.80%,8.50%,6.10%,4.10%,9.90%,13.40%,
"American Indian and Alaska Native alone, percent",(a),0.80%,0.30%,1.20%,0.50%,0.40%,1.30%,
"Asian alone, percent",(a),1.80%,1.60%,3.20%,2.70%,2.60%,5.90%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.10%,0.10%,0.10%,0.20%,0.10%,0.20%,
"Two or More Races, percent",,1.80%,2.00%,3.10%,2.00%,2.20%,2.80%,
"Hispanic or Latino, percent",(b),5.30%,3.90%,12.20%,6.30%,7.30%,18.50%,
"White alone, not Hispanic or Latino, percent",,58.40%,84.10%,75.40%,85.00%,78.40%,60.10%,
"Veterans, 2014-2018",,"250,497","273,675","181,453","188,867","390,220","18,611,432",
"Foreign born persons, percent, 2014-2018",,4.10%,3.80%,7.10%,5.20%,5.20%,13.50%,
"Housing units,  July 1, 2019,  (V2019)",,"2,089,777","2,006,358","1,288,401","1,418,626","2,921,032","139,684,244",
"Owner-occupied housing unit rate, 2014-2018",,65.30%,67.00%,66.30%,71.10%,68.90%,63.80%,
