Fact,Fact Note,Michigan,Louisiana,Massachusetts,Maryland,Maine,United States,Value Note for United States
"Population estimates, July 1, 2019,  (V2019)",,"9,986,857","4,648,794","6,892,503","6,045,680","1,344,212","328,239,523",
"Population estimates base, April 1, 2010,  (V2019)",,"9,884,116","4,533,487","6,547,785","5,773,794","1,328,358","308,758,105",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,1.00%,2.50%,5.30%,4.70%,1.20%,6.30%,
"Population, Census, April 1, 2010",,"9,883,640","4,533,372","6,547,629","5,773,552","1,328,361","308,745,538",
"Persons under 5 years, percent",,5.70%,6.50%,5.20%,6.00%,4.70%,6.00%,
"Persons under 18 years, percent",,21.50%,23.40%,19.60%,22.10%,18.50%,22.30%,
"Persons 65 years and over, percent",,17.70%,15.90%,17.00%,15.90%,21.20%,16.50%,
"Female persons, percent",,50.70%,51.20%,51.50%,51.60%,51.00%,50.80%,
"White alone, percent",,79.20%,62.80%,80.60%,58.50%,94.40%,76.30%,
"Black or African American alone, percent",(a),14.10%,32.80%,9.00%,31.10%,1.70%,13.40%,
"American Indian and Alaska Native alone, percent",(a),0.70%,0.80%,0.50%,0.60%,0.70%,1.30%,
"Asian alone, percent",(a),3.40%,1.80%,7.20%,6.70%,1.30%,5.90%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),Z,0.10%,0.10%,0.10%,Z,0.20%,
"Two or More Races, percent",,2.50%,1.80%,2.60%,2.90%,1.80%,2.80%,
"Hispanic or Latino, percent",(b),5.30%,5.30%,12.40%,10.60%,1.80%,18.50%,
"White alone, not Hispanic or Latino, percent",,74.70%,58.40%,71.10%,50.00%,93.00%,60.10%,
"Veterans, 2014-2018",,"564,783","250,497","315,859","372,462","107,091","18,611,432",
"Foreign born persons, percent, 2014-2018",,6.70%,4.10%,16.50%,15.10%,3.60%,13.50%,
"Housing units,  July 1, 2019,  (V2019)",,"4,629,611","2,089,777","2,928,732","2,470,316","750,939","139,684,244",
"Owner-occupied housing unit rate, 2014-2018",,71.00%,65.30%,62.30%,66.80%,72.20%,63.80%,
"Median value of owner-occupied housing units, 2014-2018",,"$146,200 ","$157,800 ","$366,800 ","$305,500 ","$184,500 ","$204,900 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$1,279 ","$1,267 ","$2,165 ","$1,987 ","$1,381 ","$1,558 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$484 ,$338 ,$786 ,$617 ,$493 ,$490 ,
"Median gross rent, 2014-2018",,$850 ,$850 ,"$1,225 ","$1,357 ",$831 ,"$1,023 ",
"Building permits, 2019",,"20,600","15,793","17,365","18,491","4,760","1,386,048",
"Households, 2014-2018",,"3,909,509","1,736,021","2,601,914","2,192,518","556,955","119,730,128",
"Persons per household, 2014-2018",,2.49,2.61,2.53,2.67,2.33,2.63,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,85.80%,87.00%,87.10%,86.20%,86.50%,85.50%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,9.60%,8.10%,23.60%,18.40%,6.30%,21.50%,
"Households with a computer, percent, 2014-2018",,88.00%,83.50%,90.10%,91.30%,88.40%,88.80%,
"Households with a broadband Internet subscription, percent, 2014-2018",,79.00%,72.80%,84.70%,84.60%,80.00%,80.40%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,90.50%,84.80%,90.40%,90.00%,92.30%,87.70%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,28.60%,23.70%,42.90%,39.60%,30.90%,31.50%,
"With a disability, under age 65 years, percent, 2014-2018",,10.30%,11.00%,7.90%,7.50%,11.80%,8.60%,
"Persons  without health insurance, under age 65 years, percent",,6.90%,10.50%,3.50%,6.90%,10.10%,9.50%,
