Fact,Fact Note,Nebraska,Montana,Missouri,Mississippi,Minnesota,United States,Value Note for United States
"Population estimates, July 1, 2019,  (V2019)",,"1,934,408","1,068,778","6,137,428","2,976,149","5,639,632","328,239,523",
"Population estimates base, April 1, 2010,  (V2019)",,"1,826,305","989,407","5,988,950","2,968,130","5,303,927","308,758,105",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,5.90%,8.00%,2.50%,0.30%,6.30%,6.30%,
"Population, Census, April 1, 2010",,"1,826,341","989,415","5,988,927","2,967,297","5,303,925","308,745,538",
"Persons under 5 years, percent",,6.80%,5.70%,6.00%,6.20%,6.20%,6.00%,
"Persons under 18 years, percent",,24.60%,21.40%,22.30%,23.50%,23.10%,22.30%,
"Persons 65 years and over, percent",,16.20%,19.30%,17.30%,16.40%,16.30%,16.50%,
"Female persons, percent",,50.00%,49.70%,50.90%,51.50%,50.20%,50.80%,
"White alone, percent",,88.10%,88.90%,82.90%,59.10%,83.80%,76.30%,
"Black or African American alone, percent",(a),5.20%,0.60%,11.80%,37.80%,7.00%,13.40%,
"American Indian and Alaska Native alone, percent",(a),1.50%,6.70%,0.60%,0.60%,1.40%,1.30%,
"Asian alone, percent",(a),2.70%,0.90%,2.20%,1.10%,5.20%,5.90%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.10%,0.10%,0.20%,0.10%,0.10%,0.20%,
"Two or More Races, percent",,2.30%,2.80%,2.40%,1.30%,2.60%,2.80%,
"Hispanic or Latino, percent",(b),11.40%,4.10%,4.40%,3.40%,5.60%,18.50%,
"White alone, not Hispanic or Latino, percent",,78.20%,85.90%,79.10%,56.40%,79.10%,60.10%,
"Veterans, 2014-2018",,"120,290","85,480","413,189","168,996","310,097","18,611,432",
"Foreign born persons, percent, 2014-2018",,7.00%,2.20%,4.10%,2.30%,8.40%,13.50%,
"Housing units,  July 1, 2019,  (V2019)",,"851,227","519,935","2,819,383","1,339,021","2,477,753","139,684,244",
"Owner-occupied housing unit rate, 2014-2018",,66.10%,67.70%,66.80%,68.20%,71.60%,63.80%,
"Median value of owner-occupied housing units, 2014-2018",,"$147,800 ","$219,600 ","$151,600 ","$114,500 ","$211,800 ","$204,900 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$1,352 ","$1,386 ","$1,254 ","$1,134 ","$1,547 ","$1,558 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$510 ,$421 ,$438 ,$357 ,$520 ,$490 ,
"Median gross rent, 2014-2018",,$805 ,$783 ,$809 ,$762 ,$944 ,"$1,023 ",
"Building permits, 2019",,"8,025","4,776","17,460","6,952","28,586","1,386,048",
"Households, 2014-2018",,"754,063","423,240","2,396,271","1,105,576","2,167,801","119,730,128",
"Persons per household, 2014-2018",,2.46,2.39,2.47,2.62,2.49,2.63,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,83.80%,84.20%,84.50%,86.60%,85.70%,85.50%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,11.20%,4.10%,6.10%,3.90%,11.70%,21.50%,
"Households with a computer, percent, 2014-2018",,88.50%,87.30%,87.30%,81.50%,90.30%,88.80%,
"Households with a broadband Internet subscription, percent, 2014-2018",,81.00%,78.10%,77.60%,68.00%,82.90%,80.40%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,91.10%,93.20%,89.60%,83.90%,93.00%,87.70%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,31.30%,31.20%,28.60%,21.80%,35.40%,31.50%,
"With a disability, under age 65 years, percent, 2014-2018",,7.70%,9.20%,10.40%,11.80%,7.30%,8.60%,
"Persons  without health insurance, under age 65 years, percent",,9.80%,10.20%,12.00%,15.40%,5.80%,9.50%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,69.50%,63.10%,62.60%,57.00%,69.70%,62.90%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,64.90%,59.40%,58.70%,53.40%,66.00%,58.20%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"3,094,498","2,420,455","12,430,310","6,999,175","11,722,627","708,138,598",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"12,869,418","6,469,475","40,089,316","16,630,587","40,403,572","2,040,441,203",
"Total manufacturers shipments, 2012 ($1,000)",(c),"57,499,177","11,535,236","111,535,362","66,441,608","123,076,309","5,696,729,632",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"42,618,995","12,645,824","91,916,351","28,302,952","104,485,117","5,208,023,478",
"Total retail sales, 2012 ($1,000)",(c),"30,470,717","15,623,573","90,546,581","37,053,190","78,898,182","4,219,821,871",
"Total retail sales per capita, 2012",(c),"$16,422 ","$15,544 ","$15,036 ","$12,413 ","$14,667 ","$13,443 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,18.6,18,23.6,24.6,23.5,26.6,
"Median household income (in 2018 dollars), 2014-2018",,"$59,116 ","$52,559 ","$53,560 ","$43,567 ","$68,411 ","$60,293 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$31,101 ","$29,765 ","$29,537 ","$23,434 ","$36,245 ","$32,621 ",
"Persons in poverty, percent",,9.90%,12.60%,12.90%,19.60%,9.00%,10.50%,
"Total employer establishments, 2018",,"54,875","38,720","153,710","59,271","151,595","7,912,405",
"Total employment, 2018",,"845,616","371,239","2,533,694","944,890","2,729,492","130,881,471",
"Total annual payroll, 2018 ($1,000)",,"37,831,602","15,192,070","120,602,935","36,775,694","149,373,963","7,097,310,272",
"Total employment, percent change, 2017-2018",,1.50%,-1.40%,0.70%,0.60%,1.70%,1.80%,
"Total nonemployer establishments, 2018",,"138,728","93,753","426,915","222,159","416,487","26,485,532",
"All firms, 2012",,"164,089","112,419","491,606","235,454","489,494","27,626,360",
"Men-owned firms, 2012",,"83,696","55,913","257,948","125,079","268,710","14,844,597",
"Women-owned firms, 2012",,"51,936","35,449","162,616","89,159","157,821","9,878,397",
"Minority-owned firms, 2012",,"14,571","5,578","61,035","74,824","47,302","7,952,386",
"Nonminority-owned firms, 2012",,"144,122","102,746","415,972","155,094","428,716","18,987,918",
"Veteran-owned firms, 2012",,"16,693","11,486","49,217","26,789","45,582","2,521,682",
"Nonveteran-owned firms, 2012",,"137,254","93,393","415,542","198,566","419,628","24,070,685",
"Population per square mile, 2010",,23.8,6.8,87.1,63.2,66.6,87.4,
"Land area in square miles, 2010",,"76,824.17","145,545.80","68,741.52","46,923.27","79,626.74","3,531,905.43",
FIPS Code,,"""31""","""30""","""29""","""28""","""27""","""1""",
,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,
,,,,,,,,
Value Notes,,,,,,,,
None,,,,,,,,
,,,,,,,,
Fact Notes,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,
,,,,,,,,
Value Flags,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,
F,Fewer than 25 firms,,,,,,,
FN,Footnote on this item in place of data,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,
NA,Not available,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,
X,Not applicable,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,
