Fact,Fact Note,New York,New Mexico,New Jersey,New Hampshire,Nevada,United States,Value Note for United States
"Population estimates, July 1, 2019,  (V2019)",,"19,453,561","2,096,829","8,882,190","1,359,711","3,080,156","328,239,523",
"Population estimates base, April 1, 2010,  (V2019)",,"19,378,144","2,059,199","8,791,978","1,316,462","2,700,677","308,758,105",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,0.40%,1.80%,1.00%,3.30%,14.10%,6.30%,
"Population, Census, April 1, 2010",,"19,378,102","2,059,179","8,791,894","1,316,470","2,700,551","308,745,538",
"Persons under 5 years, percent",,5.80%,5.80%,5.80%,4.70%,6.00%,6.00%,
"Persons under 18 years, percent",,20.70%,22.70%,21.80%,18.80%,22.50%,22.30%,
"Persons 65 years and over, percent",,16.90%,18.00%,16.60%,18.70%,16.10%,16.50%,
"Female persons, percent",,51.40%,50.50%,51.10%,50.40%,49.80%,50.80%,
"White alone, percent",,69.60%,81.90%,71.90%,93.10%,73.90%,76.30%,
"Black or African American alone, percent",(a),17.60%,2.60%,15.10%,1.80%,10.30%,13.40%,
"American Indian and Alaska Native alone, percent",(a),1.00%,11.00%,0.60%,0.30%,1.70%,1.30%,
"Asian alone, percent",(a),9.00%,1.80%,10.00%,3.00%,8.70%,5.90%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.10%,0.20%,0.10%,Z,0.80%,0.20%,
"Two or More Races, percent",,2.70%,2.60%,2.30%,1.80%,4.60%,2.80%,
"Hispanic or Latino, percent",(b),19.30%,49.30%,20.90%,4.00%,29.20%,18.50%,
"White alone, not Hispanic or Latino, percent",,55.30%,36.80%,54.60%,89.80%,48.20%,60.10%,
"Veterans, 2014-2018",,"730,557","148,264","333,835","97,644","208,731","18,611,432",
"Foreign born persons, percent, 2014-2018",,22.60%,9.60%,22.20%,6.00%,19.40%,13.50%,
"Housing units,  July 1, 2019,  (V2019)",,"8,404,381","948,473","3,641,812","642,315","1,285,684","139,684,244",
"Owner-occupied housing unit rate, 2014-2018",,53.90%,67.60%,63.90%,71.00%,55.80%,63.80%,
"Median value of owner-occupied housing units, 2014-2018",,"$302,200 ","$166,800 ","$327,900 ","$252,800 ","$242,400 ","$204,900 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$2,114 ","$1,262 ","$2,439 ","$1,917 ","$1,469 ","$1,558 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$755 ,$350 ,"$1,031 ",$792 ,$419 ,$490 ,
"Median gross rent, 2014-2018",,"$1,240 ",$828 ,"$1,295 ","$1,077 ","$1,060 ","$1,023 ",
"Building permits, 2019",,"45,219","5,020","36,505","4,743","20,143","1,386,048",
"Households, 2014-2018",,"7,316,537","775,651","3,213,362","528,078","1,075,930","119,730,128",
"Persons per household, 2014-2018",,2.6,2.64,2.71,2.46,2.68,2.63,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,89.50%,86.40%,89.90%,86.00%,81.60%,85.50%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,30.50%,34.80%,31.00%,7.90%,30.40%,21.50%,
"Households with a computer, percent, 2014-2018",,88.20%,83.80%,90.10%,92.20%,91.20%,88.80%,
"Households with a broadband Internet subscription, percent, 2014-2018",,80.90%,72.30%,84.10%,86.20%,81.30%,80.40%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,86.50%,85.30%,89.50%,92.90%,86.30%,87.70%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,35.90%,27.10%,38.90%,36.50%,24.20%,31.50%,
"With a disability, under age 65 years, percent, 2014-2018",,7.60%,10.30%,6.60%,8.80%,8.90%,8.60%,
"Persons  without health insurance, under age 65 years, percent",,6.10%,12.00%,9.20%,7.60%,13.40%,9.50%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,63.00%,57.40%,65.50%,67.70%,63.40%,62.90%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,58.50%,53.80%,60.10%,63.60%,58.70%,58.20%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"49,285,508","4,349,672","19,673,558","2,942,278","27,481,505","708,138,598",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"155,666,053","11,236,630","60,375,232","9,616,460","13,928,514","2,040,441,203",
"Total manufacturers shipments, 2012 ($1,000)",(c),"148,879,931","29,102,352","108,854,971","18,895,624","14,719,141","5,696,729,632",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"341,734,970","10,720,363","288,467,844","18,029,179","19,841,701","5,208,023,478",
"Total retail sales, 2012 ($1,000)",(c),"251,167,736","25,179,274","133,665,728","26,018,201","38,234,170","4,219,821,871",
"Total retail sales per capita, 2012",(c),"$12,834 ","$12,073 ","$15,079 ","$19,700 ","$13,858 ","$13,443 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,33.3,22.1,31.7,27.3,24.3,26.6,
"Median household income (in 2018 dollars), 2014-2018",,"$65,323 ","$48,059 ","$79,363 ","$74,057 ","$57,598 ","$60,293 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$37,470 ","$26,085 ","$40,895 ","$38,548 ","$29,961 ","$32,621 ",
"Persons in poverty, percent",,13.00%,18.20%,9.20%,7.30%,12.50%,10.50%,
"Total employer establishments, 2018",,"547,194","43,830","233,806","38,375","67,845","7,912,405",
"Total employment, 2018",,"8,410,206","631,393","3,739,076","612,420","1,221,809","130,881,471",
"Total annual payroll, 2018 ($1,000)",,"572,408,254","26,933,964","230,637,460","31,633,130","55,017,016","7,097,310,272",
"Total employment, percent change, 2017-2018",,1.80%,0.80%,1.60%,1.40%,2.50%,1.80%,
"Total nonemployer establishments, 2018",,"1,804,188","125,925","745,483","108,327","245,381","26,485,532",
"All firms, 2012",,"2,008,988","151,363","792,088","131,638","227,156","27,626,360",
"Men-owned firms, 2012",,"1,139,910","71,132","464,592","76,716","114,057","14,844,597",
"Women-owned firms, 2012",,"725,709","59,044","252,944","38,525","82,508","9,878,397",
"Minority-owned firms, 2012",,"709,021","60,622","237,242","6,111","71,864","7,952,386",
"Nonminority-owned firms, 2012",,"1,248,304","83,857","533,808","121,297","144,944","18,987,918",
"Veteran-owned firms, 2012",,"137,532","14,096","57,996","16,119","23,049","2,521,682",
"Nonveteran-owned firms, 2012",,"1,811,544","128,693","707,975","108,817","191,293","24,070,685",
"Population per square mile, 2010",,411.2,17,"1,195.50",147,24.6,87.4,
"Land area in square miles, 2010",,"47,126.40","121,298.15","7,354.22","8,952.65","109,781.18","3,531,905.43",
FIPS Code,,"""36""","""35""","""34""","""33""","""32""","""1""",
,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,
,,,,,,,,
Value Notes,,,,,,,,
1,Includes data not distributed by county.,,,,,,,
,,,,,,,,
Fact Notes,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,
,,,,,,,,
Value Flags,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,
F,Fewer than 25 firms,,,,,,,
FN,Footnote on this item in place of data,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,
NA,Not available,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,
X,Not applicable,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,
