stat,ccps,cdps,vgop,vdem,tvps,laps,ppss,tpop,mpop,fpop,popk,popm,popo,ppos,ppws,ppbs,ppns,ppas,ppms,ppls,ppvs,pphs,ppes,ppbd,ppds,pphi,ppcl,ppps,vaps,mvps,tcfs
1,547135,11252,1441170,849624,2323282,50645.33,92.39857341,4903185,2369517,2533668,1216438,2836910,849837,0.7780,0.6910,0.2680,0.0080,0.0150,0.0180,0.0460,0.0684,2.55,0.8580,0.2490,0.1160,0.1170,0.5710,0.1550,3686747,1363465,143
2,70004,352,157618,118391,287010,570641,6.976199102,731545,388400,343145,114740,506192,110613,0.7540,0.6530,0.0370,0.1700,0.0650,0.0750,0.0730,0.0922,2.81,0.9270,0.2920,0.0880,0.1390,0.6640,0.1010,616805,329795,35
4,885412,17742,1661686,1672143,3385845,113997,58.81778636,7278717,3617297,3661420,1838598,4131486,1308633,0.7750,0.8260,0.0520,0.0560,0.0370,0.0290,0.3170,0.0670,2.69,0.8680,0.2890,0.0860,0.1360,0.5920,0.1350,5440119,2054274,87
5,343216,5856,760613,423916,1219014,53179.05,54.3614166,3017804,1481616,1536188,778928,1714994,523882,0.7680,0.7900,0.1570,0.0140,0.0170,0.0220,0.0780,0.0671,2.52,0.8620,0.2260,0.1250,0.1090,0.5790,0.1620,2238876,1019862,96
6,3800049,63647,5962975,11055577,17395590,152659,726.5476584,38367049,19079447,19287602,9629531,23074886,5662632,0.7750,0.7190,0.0650,0.0210,0.1550,0.0400,0.3940,0.0410,2.96,0.8290,0.3330,0.0680,0.0890,0.6310,0.1180,29586826,12191236,264
8,552118,6806,1364467,1804184,3256633,104095.97,173.2661596,5758736,2901348,2857388,1407971,3508353,842412,0.7810,0.8690,0.0460,0.0180,0.0350,0.0310,0.2180,0.0652,2.56,0.9140,0.4010,0.0730,0.0930,0.6760,0.0930,4350765,1094132,124
9,348319,8260,715291,1080680,1824317,4846,719.8338791,3565287,1739417,1825870,829582,2105461,630244,0.7960,0.7970,0.1220,0.0070,0.0500,0.0250,0.1690,0.0488,2.54,0.9050,0.3890,0.0730,0.0700,0.6620,0.1000,2735705,911388,33
10,109258,1679,200603,296268,504010,2490,517.6339161,973764,470793,502971,228912,555946,188906,0.7910,0.6920,0.2320,0.0080,0.0410,0.0270,0.0960,0.0684,2.58,0.8980,0.3140,0.0850,0.0810,0.6230,0.1130,744852,240842,10
11,49151,1137,18586,317323,344356,61.05,11560.18018,705749,334711,371038,149337,469069,87343,0.8180,0.4600,0.4600,0.0070,0.0450,0.0290,0.1130,0.0382,2.29,0.9060,0.5760,0.0860,0.0390,0.6950,0.1350,556412,212056,3
12,2329859,36972,5668731,5297045,11067456,53999,379.3546961,21477737,10497056,10980681,4714575,12265825,4497337,0.8030,0.7730,0.1690,0.0060,0.0300,0.0220,0.2640,0.0676,2.65,0.8800,0.2920,0.0860,0.1630,0.5830,0.1270,16763162,5695706,279
