101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132
1,547135,11252,1441170,849624,2323282,50645.33,92.39857341,4903185,2369517,2533668,1216438,2836910,849837,0.78,0.69,0.27,0.01,0.02,0.02,0.05,0.07,2.55,0.86,0.25,0.12,0.12,0.57,0.16,3686747,1363465,143
2,70004,352,157618,118391,287010,570641,6.976199102,731545,388400,343145,114740,506192,110613,0.75,0.65,0.04,0.17,0.07,0.08,0.07,0.09,2.81,0.93,0.29,0.09,0.14,0.66,0.10,616805,329795,35
4,885412,17742,1661686,1672143,3385845,113997,58.81778636,7278717,3617297,3661420,1838598,4131486,1308633,0.78,0.83,0.05,0.06,0.04,0.03,0.32,0.07,2.69,0.87,0.29,0.09,0.14,0.59,0.14,5440119,2054274,87
5,343216,5856,760613,423916,1219014,53179.05,54.3614166,3017804,1481616,1536188,778928,1714994,523882,0.77,0.79,0.16,0.01,0.02,0.02,0.08,0.07,2.52,0.86,0.23,0.13,0.11,0.58,0.16,2238876,1019862,96
6,3800049,63647,5962975,11055577,17395590,152659,726.5476584,38367049,19079447,19287602,9629531,23074886,5662632,0.78,0.72,0.07,0.02,0.16,0.04,0.39,0.04,2.96,0.83,0.33,0.07,0.09,0.63,0.12,29586826,12191236,264
8,552118,6806,1364467,1804184,3256633,104095.97,173.2661596,5758736,2901348,2857388,1407971,3508353,842412,0.78,0.87,0.05,0.02,0.04,0.03,0.22,0.07,2.56,0.91,0.40,0.07,0.09,0.68,0.09,4350765,1094132,124
9,348319,8260,715291,1080680,1824317,4846,719.8338791,3565287,1739417,1825870,829582,2105461,630244,0.80,0.80,0.12,0.01,0.05,0.03,0.17,0.05,2.54,0.91,0.39,0.07,0.07,0.66,0.10,2735705,911388,33
10,109258,1679,200603,296268,504010,2490,517.6339161,973764,470793,502971,228912,555946,188906,0.79,0.69,0.23,0.01,0.04,0.03,0.10,0.07,2.58,0.90,0.31,0.09,0.08,0.62,0.11,744852,240842,10
11,49151,1137,18586,317323,344356,61.05,11560.18018,705749,334711,371038,149337,469069,87343,0.82,0.46,0.46,0.01,0.05,0.03,0.11,0.04,2.29,0.91,0.58,0.09,0.04,0.70,0.14,556412,212056,3
12,2329859,36972,5668731,5297045,11067456,53999,379.3546961,21477737,10497056,10980681,4714575,12265825,4497337,0.80,0.77,0.17,0.01,0.03,0.02,0.26,0.07,2.65,0.88,0.29,0.09,0.16,0.58,0.13,16763162,5695706,279
