state,state code,cases (as of 06/21),deaths,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,Lean,land area (sq/mi),pop/sqmi,POP tot,POP MALE,POP FEM,0-19 tot,0-19 tot f,0-19 tot m,20-64tot,20-64f,20-64m,65+ tot,65+ m,65+ f,"Persons 19 and over, percent","White alone, percent","Black or African American alone, percent",Native american or native hawaiian / pacific islander / alaska native / other,"Asian alone, percent","Two or More Races, percent","Hispanic or Latino, percent","Vetran, percent",Persons per household,"High school graduate or higher, percent of persons age 25 years+ ","Bachelor's degree or higher, percent of persons age 25 years+ ","With a disability, under age 65 years, percent ",Persons  without health insurance,"In civilian labor force, total, percent of population age 16 years+, 2014-2018","Persons in poverty, percent",voting age,total votes,missing voters,land area (sq/mi),pop/sqmi,total facilities
California,6,3800049,63647,5962975,11055577,17395590,34.28%,63.55%,97.83%,LEFT,152659,726.5476584,38367049,19079447,19287602,9629531,4707294,4922237,23074886,11441150,11633736,5662632,2523474,3139158,77.50%,71.90%,6.50%,2.10%,15.50%,4.00%,39.40%,4.10%,2.96,82.90%,33.30%,6.80%,8.90%,63.10%,11.80%,29586826,17395590,12191236,156147,253.05,264
New York,36,2106056,52927,2987266,4076327,7170577,41.66%,56.85%,98.51%,LEFT,54341.54,2137.440746,19453561,9447846,10005715,4520996,2211837,2309159,11636419,5920703,5715716,3296146,1422971,1873175,79.30%,69.60%,17.60%,1.10%,9.00%,2.70%,19.30%,3.76%,2.6,86.50%,35.90%,7.60%,6.10%,63.00%,13.00%,14932565,7170577,7761988,54341.6,357.99,174
Texas,48,2969114,52019,5891792,5261061,11323985,52.03%,46.46%,98.49%,RIGHT,261962,119.6739278,28995881,14402702,14593179,8210585,4020641,4189944,17051067,8507476,8543591,3734229,1669167,2065062,74.50%,78.70%,12.90%,1.10%,5.20%,2.10%,39.70%,5.08%,2.86,83.20%,29.30%,7.90%,20.80%,64.20%,13.60%,20785296,11323985,9461311,261962,110.69,551
Florida,12,2329859,36972,5668731,5297045,11067456,51.22%,47.86%,99.08%,RIGHT,53999,379.3546961,21477737,10497056,10980681,4714575,2306134,2408441,12265825,6206281,6059544,4497337,2029071,2468266,80.30%,77.30%,16.90%,0.60%,3.00%,2.20%,26.40%,6.76%,2.65,88.00%,29.20%,8.60%,16.30%,58.30%,12.70%,16763162,11067456,5695706,53999,397.74,279
Pennsylvania,42,1212155,27493,3377674,3458229,6921699,48.80%,49.96%,98.76%,LEFT,45289,459.3644323,12801989,6274361,6527628,2977542,1456387,1521155,7431085,3729782,3701303,2393362,1051903,1341459,79.40%,81.60%,12.00%,0.50%,3.80%,2.10%,7.80%,6.11%,2.46,90.20%,30.80%,9.80%,7.00%,62.60%,12.00%,9824447,6921699,2902748,45289,282.67,154
New Jersey,34,1018833,26322,1882454,2607331,4565757,41.23%,57.11%,98.34%,LEFT,7418,2253.465447,8882190,4340587,4541603,2151487,1051821,1099666,5255168,2652389,2602779,1475535,638142,837393,78.20%,71.90%,15.10%,0.70%,10.00%,2.30%,20.90%,3.76%,2.71,89.50%,38.90%,6.60%,9.20%,65.50%,9.20%,6730703,4565757,2164946,7418,1197.38,58
Illinois,17,1390705,25430,2439446,3461060,6019642,40.52%,57.50%,98.02%,LEFT,55593,199.1670647,12671821,6226558,6445263,3145309,1538808,1606501,7483280,3758319,3724961,2043232,895096,1148136,77.80%,76.80%,14.60%,0.70%,5.90%,2.10%,17.50%,4.70%,2.59,88.90%,34.10%,7.10%,8.60%,65.10%,11.50%,9526512,6019642,3506870,55593,227.94,161
Michigan,26,994668,20698,2649852,2804040,5544102,47.80%,50.58%,98.37%,LEFT,96716,162.6698881,9986857,4918528,5068329,2407690,1176541,1231149,5813766,2917797,2895969,1765401,791410,973991,78.50%,79.20%,14.10%,0.70%,3.40%,2.50%,5.30%,5.66%,2.49,90.50%,28.60%,10.30%,6.90%,61.30%,13.00%,7579167,5544102,2035065,96716,103.26,169
Georgia,13,1103192,20421,2461837,2474507,4998566,49.25%,49.50%,98.76%,LEFT,57915,210.9688768,10617423,5160424,5456999,2801689,1375698,1425991,6298780,3225998,3072782,1516954,661651,855303,76.40%,60.20%,32.60%,0.60%,4.40%,2.20%,9.90%,6.00%,2.71,86.70%,30.70%,8.70%,15.50%,62.40%,13.30%,7815734,4998566,2817168,57915,183.33,288
Ohio,39,1106064,20021,3153336,2678501,5929361,53.18%,45.17%,98.36%,RIGHT,40956.51,293.4570256,11689100,5730562,5958538,2886873,1410980,1475893,6755907,3403313,3352594,2046320,902075,1144245,77.90%,81.70%,13.10%,0.40%,2.50%,2.40%,4.00%,6.24%,2.43,90.10%,27.80%,10.10%,7.80%,63.10%,13.10%,8802227,5929361,2872866,40957.5,285.4,174
