ccps,cdps,vgop,vdem,tvps,laps,ppss,tpop,mpop,fpop,popk,popm,popo,ppos,ppws,ppbs,ppns,ppas,ppms,ppls,ppvs,pphs,ppes,ppbd,ppds,pphi,ppcl,ppps,vaps,mvps,tcfs
33430105,598785,74255654,80374961,157949282,3605398.5,557.2044081,330394362,162665433,167728929,81936655,193858627,54595806,0.778792453,0.766886792,0.130622642,0.024698113,0.043867925,0.031339623,0.139792453,0.061369811,2.578679245,0.885867925,0.308415094,0.094771698,0.104718868,0.633426415,0.133666038,255107022,94610914,5711
547135,11252,1441170,849624,2323282,50645.33,92.39857341,4903185,2369517,2533668,1216438,2836910,849837,0.778,0.691,0.268,0.008,0.015,0.018,0.046,0.0684,2.55,0.858,0.249,0.116,0.117,0.571,0.155,3686747,1363465,143
70004,352,157618,118391,287010,570641,6.976199102,731545,388400,343145,114740,506192,110613,0.754,0.653,0.037,0.17,0.065,0.075,0.073,0.0922,2.81,0.927,0.292,0.088,0.139,0.664,0.101,616805,329795,35
885412,17742,1661686,1672143,3385845,113997,58.81778636,7278717,3617297,3661420,1838598,4131486,1308633,0.775,0.826,0.052,0.056,0.037,0.029,0.317,0.067,2.69,0.868,0.289,0.086,0.136,0.592,0.135,5440119,2054274,87
343216,5856,760613,423916,1219014,53179.05,54.3614166,3017804,1481616,1536188,778928,1714994,523882,0.768,0.79,0.157,0.014,0.017,0.022,0.078,0.0671,2.52,0.862,0.226,0.125,0.109,0.579,0.162,2238876,1019862,96
3800049,63647,5962975,11055577,17395590,152659,726.5476584,38367049,19079447,19287602,9629531,23074886,5662632,0.775,0.719,0.065,0.021,0.155,0.04,0.394,0.041,2.96,0.829,0.333,0.068,0.089,0.631,0.118,29586826,12191236,264
552118,6806,1364467,1804184,3256633,104095.97,173.2661596,5758736,2901348,2857388,1407971,3508353,842412,0.781,0.869,0.046,0.018,0.035,0.031,0.218,0.0652,2.56,0.914,0.401,0.073,0.093,0.676,0.093,4350765,1094132,124
348319,8260,715291,1080680,1824317,4846,719.8338791,3565287,1739417,1825870,829582,2105461,630244,0.796,0.797,0.122,0.007,0.05,0.025,0.169,0.0488,2.54,0.905,0.389,0.073,0.07,0.662,0.1,2735705,911388,33
109258,1679,200603,296268,504010,2490,517.6339161,973764,470793,502971,228912,555946,188906,0.791,0.692,0.232,0.008,0.041,0.027,0.096,0.0684,2.58,0.898,0.314,0.085,0.081,0.623,0.113,744852,240842,10
49151,1137,18586,317323,344356,61.05,11560.18018,705749,334711,371038,149337,469069,87343,0.818,0.46,0.46,0.007,0.045,0.029,0.113,0.0382,2.29,0.906,0.576,0.086,0.039,0.695,0.135,556412,212056,3
2329859,36972,5668731,5297045,11067456,53999,379.3546961,21477737,10497056,10980681,4714575,12265825,4497337,0.803,0.773,0.169,0.006,0.03,0.022,0.264,0.0676,2.65,0.88,0.292,0.086,0.163,0.583,0.127,16763162,5695706,279
1103192,20421,2461837,2474507,4998566,57915,210.9688768,10617423,5160424,5456999,2801689,6298780,1516954,0.764,0.602,0.326,0.006,0.044,0.022,0.099,0.06,2.71,0.867,0.307,0.087,0.155,0.624,0.133,7815734,2817168,288
35522,502,185282,344905,540972,6372.2,486.8693093,1415786,707999,707787,330092,817285,268409,0.788,0.255,0.022,0.105,0.376,0.242,0.107,0.0746,3.02,0.918,0.325,0.065,0.05,0.618,0.093,1085694,511225,13
193475,2119,554118,287021,868105,82809,40.05241149,1787065,895928,891137,496173,1000222,290670,0.749,0.93,0.009,0.019,0.016,0.026,0.128,0.0644,2.68,0.906,0.269,0.093,0.128,0.621,0.112,1290892,422787,61
1390705,25430,2439446,3461060,6019642,55593,199.1670647,12671821,6226558,6445263,3145309,7483280,2043232,0.778,0.768,0.146,0.007,0.059,0.021,0.175,0.047,2.59,0.889,0.341,0.071,0.086,0.651,0.115,9526512,3506870,161
751596,13710,1729446,1241774,3035088,35828,184.4395319,6732219,3320360,3411859,1755070,3891406,1085743,0.767,0.848,0.099,0.005,0.026,0.022,0.073,0.058,2.53,0.886,0.259,0.098,0.103,0.638,0.119,4977149,1942061,140
372333,6095,897467,758881,1688310,55861,55.11871112,3155070,1571075,1583995,816335,1785781,552954,0.77,0.906,0.041,0.007,0.027,0.02,0.063,0.0599,2.41,0.92,0.282,0.078,0.06,0.674,0.112,2338735,650425,122
317165,5139,752903,551144,1333804,81823,50.78033844,2913314,1451697,1461617,782091,1655736,475487,0.76,0.863,0.061,0.013,0.032,0.031,0.122,0.0623,2.52,0.907,0.329,0.09,0.109,0.657,0.114,2131223,797419,105
462901,7182,1326646,772474,2136768,39733,120.3280504,4467673,2201029,2266644,1118934,2598175,750564,0.776,0.875,0.085,0.004,0.016,0.02,0.039,0.0613,2.49,0.857,0.236,0.131,0.077,0.589,0.163,3348739,1211971,136
475126,10638,1255776,856034,2148062,51335,122.4485127,4648794,2267050,2381744,1203265,2704507,741022,0.766,0.628,0.328,0.009,0.018,0.018,0.053,0.0539,2.61,0.848,0.237,0.11,0.105,0.593,0.19,3445529,1297467,149
68449,843,360446,431277,816428,35383,70.3609013,1344212,658112,686100,281158,777789,285265,0.815,0.944,0.017,0.007,0.013,0.018,0.018,0.0797,2.33,0.923,0.309,0.118,0.101,0.629,0.109,1063054,246626,28
461201,9667,976414,1985023,3016608,11811,522.4027293,6045680,2928865,3116815,1489721,3596563,959396,0.779,0.585,0.311,0.007,0.067,0.029,0.106,0.0616,2.67,0.9,0.396,0.075,0.069,0.672,0.09,4555959,1539351,76
708579,17929,1167202,2382202,3631473,7838,1696.904472,6892503,3345568,3546935,1558231,4164940,1169332,0.804,0.806,0.09,0.006,0.072,0.026,0.124,0.0458,2.53,0.904,0.429,0.079,0.035,0.671,0.094,5334272,1702799,60
994668,20698,2649852,2804040,5544102,96716,162.6698881,9986857,4918528,5068329,2407690,5813766,1765401,0.785,0.792,0.141,0.007,0.034,0.025,0.053,0.0566,2.49,0.905,0.286,0.103,0.069,0.613,0.13,7579167,2035065,169
603398,7577,1484065,1717077,3277170,79610.09,138.9958581,5639632,2809811,2829821,1445346,3273904,920382,0.769,0.838,0.07,0.015,0.052,0.026,0.056,0.055,2.49,0.93,0.354,0.073,0.058,0.697,0.09,4194286,917116,128
318879,7348,756731,539494,1315240,46915,62.51881511,2976149,1442292,1533857,780487,1708969,486693,0.765,0.591,0.378,0.007,0.011,0.013,0.034,0.0568,2.62,0.839,0.218,0.118,0.154,0.57,0.196,2195662,880422,124
620295,9789,1717912,1253561,3029586,68846.9,131.8384355,6137428,3012662,3124766,1527291,3548100,1062037,0.777,0.829,0.118,0.008,0.022,0.024,0.044,0.0673,2.47,0.896,0.286,0.104,0.12,0.626,0.129,4610137,1580551,149
112798,1638,343602,244786,605750,145312,7.904565842,1068778,538066,530712,254416,607925,206437,0.786,0.889,0.006,0.068,0.009,0.028,0.041,0.08,2.39,0.932,0.312,0.092,0.102,0.631,0.126,814362,208612,70
223749,2516,556846,374583,952271,76121,45.24403612,1934408,966449,967959,529821,1092129,312458,0.754,0.881,0.052,0.016,0.027,0.023,0.114,0.0622,2.46,0.911,0.313,0.077,0.098,0.695,0.099,1404587,452316,73
326878,5621,669890,703486,1405376,109818,149.0885418,3080156,1544827,1535329,760272,1823912,495972,0.775,0.739,0.103,0.025,0.087,0.046,0.292,0.0678,2.68,0.863,0.242,0.089,0.134,0.634,0.125,2319884,914508,43
99040,1360,365654,424921,804430,8969,190.0894604,1359711,673793,685918,291038,814809,253864,0.812,0.931,0.018,0.003,0.03,0.018,0.04,0.0718,2.46,0.929,0.365,0.088,0.076,0.677,0.073,1068673,264243,17
1018833,26322,1882454,2607331,4565757,7418,2253.465447,8882190,4340587,4541603,2151487,5255168,1475535,0.782,0.719,0.151,0.007,0.1,0.023,0.209,0.0376,2.71,0.895,0.389,0.066,0.092,0.655,0.092,6730703,2164946,58
203919,4297,401894,501614,923965,121341,36.72377209,2096829,1037432,1059397,531712,1187511,377606,0.773,0.819,0.026,0.112,0.018,0.026,0.493,0.0707,2.64,0.853,0.271,0.103,0.12,0.574,0.182,1565117,641152,61
2106056,52927,2987266,4076327,7170577,54341.54,2137.440746,19453561,9447846,10005715,4520996,11636419,3296146,0.793,0.696,0.176,0.011,0.09,0.027,0.193,0.0376,2.6,0.865,0.359,0.076,0.061,0.63,0.13,14932565,7761988,174
1008036,13268,2758775,2684302,5524813,53664,201.2915368,10488084,5100264,5387820,2592437,6144553,1751094,0.781,0.706,0.222,0.017,0.032,0.023,0.098,0.0637,2.52,0.874,0.305,0.095,0.134,0.613,0.136,7895647,2370834,175
110382,1548,235595,114902,361819,68994,9.38429165,762062,390032,372030,200777,441440,119845,0.764,0.869,0.034,0.057,0.017,0.023,0.041,0.0611,2.31,0.925,0.295,0.071,0.081,0.692,0.106,561285,199466,32
1106064,20021,3153336,2678501,5929361,40956.51,293.4570256,11689100,5730562,5958538,2886873,6755907,2046320,0.779,0.817,0.131,0.004,0.025,0.024,0.04,0.0624,2.43,0.901,0.278,0.101,0.078,0.631,0.131,8802227,2872866,174
454216,7325,1020280,503890,1560699,68678,72.75148689,3956971,1960658,1996313,1058495,2263344,635132,0.759,0.74,0.078,0.096,0.024,0.063,0.111,0.0692,2.58,0.878,0.252,0.115,0.168,0.607,0.152,2898476,1337777,145
204317,2751,966627,1346141,2385605,95804,121.9570004,4217737,2090727,2127010,965480,2486177,766080,0.795,0.867,0.022,0.023,0.049,0.04,0.134,0.0684,2.51,0.904,0.329,0.101,0.086,0.621,0.114,3252257,866652,61
1212155,27493,3377674,3458229,6921699,45289,459.3644323,12801989,6274361,6527628,2977542,7431085,2393362,0.794,0.816,0.12,0.005,0.038,0.021,0.078,0.0611,2.46,0.902,0.308,0.098,0.07,0.626,0.12,9824447,2902748,154
181646,2625,406830,389896,1243712,3424.84,1076.455238,3193694,1515721,1677973,659523,1854515,679656,0.821,0.674,0.108,0.003,0.002,0.052,0.989,0.0252,2.78,0.755,0.253,0.151,0.096,0.443,0.435,2534171,1290459,17
