date,state,state code,cases,deaths
6/10/2021,Alabama,1,547135,11252
6/10/2021,Alaska,2,70004,352
6/10/2021,Arizona,4,885412,17742
6/10/2021,Arkansas,5,343216,5856
6/10/2021,California,6,3800049,63647
6/10/2021,Colorado,8,552118,6806
6/10/2021,Connecticut,9,348319,8260
6/10/2021,Delaware,10,109258,1679
6/10/2021,District of Columbia,11,49151,1137
6/10/2021,Florida,12,2329859,36972
6/10/2021,Georgia,13,1103192,20421
6/10/2021,Guam,66,9199,140
6/10/2021,Hawaii,15,35522,502
6/10/2021,Idaho,16,193475,2119
6/10/2021,Illinois,17,1390705,25430
6/10/2021,Indiana,18,751596,13710
6/10/2021,Iowa,19,372333,6095
6/10/2021,Kansas,20,317165,5139
6/10/2021,Kentucky,21,462901,7182
6/10/2021,Louisiana,22,475126,10638
6/10/2021,Maine,23,68449,843
6/10/2021,Maryland,24,461201,9667
6/10/2021,Massachusetts,25,708579,17929
6/10/2021,Michigan,26,994668,20698
6/10/2021,Minnesota,27,603398,7577
6/10/2021,Mississippi,28,318879,7348
6/10/2021,Missouri,29,620295,9789
6/10/2021,Montana,30,112798,1638
6/10/2021,Nebraska,31,223749,2516
6/10/2021,Nevada,32,326878,5621
6/10/2021,New Hampshire,33,99040,1360
6/10/2021,New Jersey,34,1018833,26322
6/10/2021,New Mexico,35,203919,4297
6/10/2021,New York,36,2106056,52927
6/10/2021,North Carolina,37,1008036,13268
6/10/2021,North Dakota,38,110382,1548
6/10/2021,Northern Mariana Islands,69,183,2
6/10/2021,Ohio,39,1106064,20021
6/10/2021,Oklahoma,40,454216,7325
6/10/2021,Oregon,41,204317,2751
6/10/2021,Pennsylvania,42,1212155,27493
6/10/2021,Puerto Rico,72,172805,2525
6/10/2021,Rhode Island,44,152187,2722
6/10/2021,South Carolina,45,594659,9761
6/10/2021,South Dakota,46,124335,2026
6/10/2021,Tennessee,47,850276,12396
6/10/2021,Texas,48,2969114,52019
6/10/2021,Utah,49,408812,2319
6/10/2021,Vermont,50,24314,256
6/10/2021,Virgin Islands,78,3652,28
6/10/2021,Virginia,51,677425,11270
6/10/2021,Washington,53,444852,5846
6/10/2021,West Virginia,54,162845,2848
6/10/2021,Wisconsin,55,676178,8007
6/10/2021,Wyoming,56,61012,725
