ccps,vgop,vdem,tvps,laps,ppss,tpop,pphs,ppes,ppbd,ppds,pphi,ppcl,ppps,vaps,mvps,tcfs
33430105,74255654,80374961,157949282,3605398.5,557.2044081,330394362,2.578679245,0.885867925,0.308415094,0.094771698,0.104718868,0.633426415,0.133666038,255107022,94610914,5711
547135,1441170,849624,2323282,50645.33,92.39857341,4903185,2.55,0.858,0.249,0.116,0.117,0.571,0.155,3686747,1363465,143
70004,157618,118391,287010,570641,6.976199102,731545,2.81,0.927,0.292,0.088,0.139,0.664,0.101,616805,329795,35
885412,1661686,1672143,3385845,113997,58.81778636,7278717,2.69,0.868,0.289,0.086,0.136,0.592,0.135,5440119,2054274,87
343216,760613,423916,1219014,53179.05,54.3614166,3017804,2.52,0.862,0.226,0.125,0.109,0.579,0.162,2238876,1019862,96
3800049,5962975,11055577,17395590,152659,726.5476584,38367049,2.96,0.829,0.333,0.068,0.089,0.631,0.118,29586826,12191236,264
552118,1364467,1804184,3256633,104095.97,173.2661596,5758736,2.56,0.914,0.401,0.073,0.093,0.676,0.093,4350765,1094132,124
348319,715291,1080680,1824317,4846,719.8338791,3565287,2.54,0.905,0.389,0.073,0.07,0.662,0.1,2735705,911388,33
109258,200603,296268,504010,2490,517.6339161,973764,2.58,0.898,0.314,0.085,0.081,0.623,0.113,744852,240842,10
49151,18586,317323,344356,61.05,11560.18018,705749,2.29,0.906,0.576,0.086,0.039,0.695,0.135,556412,212056,3
2329859,5668731,5297045,11067456,53999,379.3546961,21477737,2.65,0.88,0.292,0.086,0.163,0.583,0.127,16763162,5695706,279
1103192,2461837,2474507,4998566,57915,210.9688768,10617423,2.71,0.867,0.307,0.087,0.155,0.624,0.133,7815734,2817168,288
35522,185282,344905,540972,6372.2,486.8693093,1415786,3.02,0.918,0.325,0.065,0.05,0.618,0.093,1085694,511225,13
193475,554118,287021,868105,82809,40.05241149,1787065,2.68,0.906,0.269,0.093,0.128,0.621,0.112,1290892,422787,61
1390705,2439446,3461060,6019642,55593,199.1670647,12671821,2.59,0.889,0.341,0.071,0.086,0.651,0.115,9526512,3506870,161
751596,1729446,1241774,3035088,35828,184.4395319,6732219,2.53,0.886,0.259,0.098,0.103,0.638,0.119,4977149,1942061,140
372333,897467,758881,1688310,55861,55.11871112,3155070,2.41,0.92,0.282,0.078,0.06,0.674,0.112,2338735,650425,122
317165,752903,551144,1333804,81823,50.78033844,2913314,2.52,0.907,0.329,0.09,0.109,0.657,0.114,2131223,797419,105
462901,1326646,772474,2136768,39733,120.3280504,4467673,2.49,0.857,0.236,0.131,0.077,0.589,0.163,3348739,1211971,136
475126,1255776,856034,2148062,51335,122.4485127,4648794,2.61,0.848,0.237,0.11,0.105,0.593,0.19,3445529,1297467,149
68449,360446,431277,816428,35383,70.3609013,1344212,2.33,0.923,0.309,0.118,0.101,0.629,0.109,1063054,246626,28
461201,976414,1985023,3016608,11811,522.4027293,6045680,2.67,0.9,0.396,0.075,0.069,0.672,0.09,4555959,1539351,76
708579,1167202,2382202,3631473,7838,1696.904472,6892503,2.53,0.904,0.429,0.079,0.035,0.671,0.094,5334272,1702799,60
994668,2649852,2804040,5544102,96716,162.6698881,9986857,2.49,0.905,0.286,0.103,0.069,0.613,0.13,7579167,2035065,169
603398,1484065,1717077,3277170,79610.09,138.9958581,5639632,2.49,0.93,0.354,0.073,0.058,0.697,0.09,4194286,917116,128
318879,756731,539494,1315240,46915,62.51881511,2976149,2.62,0.839,0.218,0.118,0.154,0.57,0.196,2195662,880422,124
620295,1717912,1253561,3029586,68846.9,131.8384355,6137428,2.47,0.896,0.286,0.104,0.12,0.626,0.129,4610137,1580551,149
112798,343602,244786,605750,145312,7.904565842,1068778,2.39,0.932,0.312,0.092,0.102,0.631,0.126,814362,208612,70
223749,556846,374583,952271,76121,45.24403612,1934408,2.46,0.911,0.313,0.077,0.098,0.695,0.099,1404587,452316,73
326878,669890,703486,1405376,109818,149.0885418,3080156,2.68,0.863,0.242,0.089,0.134,0.634,0.125,2319884,914508,43
99040,365654,424921,804430,8969,190.0894604,1359711,2.46,0.929,0.365,0.088,0.076,0.677,0.073,1068673,264243,17
1018833,1882454,2607331,4565757,7418,2253.465447,8882190,2.71,0.895,0.389,0.066,0.092,0.655,0.092,6730703,2164946,58
