SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,UNDER 19 ALL,UNDER 19 F,UNDER 19 M,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,TOT 20-64 POP,F 20-64 POP ,M 20-64 POP ,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,1,1001,Alabama,Autauga County,2019,55869,27092,28777,3277,1713,1564,6499,3360,3139,3189,1597,1592,4465,2295,2170,44495,21226,23269,42904,20422,22482,21434,10517,10917,14597,7029,7568,14918,7185,7733,8924,3913,5011,3277,1713,1564,3465,1787,1678,3851,1977,1874,3659,1854,1805,14252,6921,7331,3178,1634,1544,3799,1858,1941,3533,1730,1803,3661,1762,1899,3604,1679,1925,3877,1874,2003,3775,1853,1922,3896,1895,2001,3370,1563,1807,32693,16845,15848,2683,1296,1387,2330,1017,1313,1796,743,1053,1179,498,681,936,359,577,39.3,37.9,40.7
50,1,1003,Alabama,Baldwin County,2019,223234,108247,114987,12039,6249,5790,24256,12374,11882,11259,5663,5596,15805,7978,7827,181220,86711,94509,175680,83961,91719,76014,37464,38550,51839,25284,26555,61206,28972,32234,46830,21727,25103,12039,6249,5790,13066,6728,6338,14079,7107,6972,13084,6579,6505,52268,25605,26663,11091,5601,5490,12618,6241,6377,12551,6131,6420,13446,6551,6895,13224,6361,6863,14472,6957,7515,14319,6888,7431,16267,7724,8543,16148,7403,8745,124136,64279,59857,14881,6916,7965,13163,6285,6878,9043,4219,4824,5297,2470,2827,4446,1837,2609,43.6,42.3,44.9
50,1,1005,Alabama,Barbour County,2019,24686,13064,11622,1309,684,625,2589,1275,1314,1184,611,573,2000,1166,834,20219,10807,9412,19604,10494,9110,9301,5554,3747,6412,3926,2486,6331,3305,3026,4861,2097,2764,1309,684,625,1408,684,724,1476,740,736,1402,739,663,5595,2748,2847,1487,889,598,1785,1141,644,1669,1010,659,1545,911,634,1413,864,549,1578,898,680,1504,804,700,1709,846,863,1540,757,783,14230,6110,8120,1501,691,810,1365,610,755,939,410,529,587,234,353,469,152,317,40.9,38.7,44.8
50,1,1007,Alabama,Bibb County,2019,22394,11929,10465,1246,622,624,2223,1160,1063,1088,581,507,1768,1031,737,18396,9852,8544,17837,9566,8271,8890,5145,3745,6278,3671,2607,6058,3197,2861,3733,1667,2066,1246,622,624,1198,631,567,1269,667,602,1279,700,579,4992,2372,2620,1333,774,559,1726,1015,711,1609,952,657,1532,914,618,1411,790,621,1622,911,711,1530,809,721,1516,797,719,1390,680,710,13669,6027,7642,1156,573,583,1030,487,543,712,312,400,446,172,274,389,123,266,40,38.2,42.6
50,1,1009,Alabama,Blount County,2019,57826,28472,29354,3438,1702,1736,6713,3405,3308,3104,1541,1563,4460,2335,2125,46112,22616,23496,44571,21824,22747,20721,10458,10263,13941,6945,6996,15356,7641,7715,10814,4903,5911,3438,1702,1736,3639,1857,1782,3858,1911,1947,3587,1861,1726,14522,7191,7331,3193,1652,1541,3590,1817,1773,3359,1675,1684,3524,1727,1797,3468,1726,1742,3868,1939,1929,3842,1902,1940,3986,2008,1978,3660,1792,1868,32490,16252,16238,3311,1606,1705,3038,1398,1640,2049,901,1148,1316,602,714,1100,396,704,41,40.1,42
50,1,1011,Alabama,Bullock County,2019,10101,5508,4593,565,269,296,1115,589,526,426,225,201,811,459,352,8211,4532,3679,7995,4425,3570,3991,2391,1600,2868,1768,1100,2605,1442,1163,1711,756,955,565,269,296,613,305,308,616,345,271,521,271,250,2315,1125,1190,602,352,250,761,489,272,713,443,270,732,446,286,662,390,272,617,391,226,578,325,253,715,368,347,695,358,337,6075,2513,3562,566,288,278,431,179,252,292,130,162,231,97,134,191,62,129,39.5,38,41.8
50,1,1013,Alabama,Butler County,2019,19448,9024,10424,1100,562,538,2196,1149,1047,978,529,449,1515,771,744,15666,7050,8616,15174,6784,8390,6833,3278,3555,4587,2104,2483,5023,2280,2743,4049,1629,2420,1100,562,538,1180,612,568,1263,663,600,1149,625,524,4692,2230,2462,1097,549,548,1136,580,556,1083,464,619,1244,584,660,1124,476,648,1169,532,637,1092,476,616,1341,582,759,1421,690,731,10707,5774,4933,1263,546,717,982,452,530,714,307,407,529,197,332,561,127,434,42.1,38.8,44.6
50,1,1015,Alabama,Calhoun County,2019,113605,54481,59124,6568,3321,3247,12136,6203,5933,5769,2962,2807,10255,5108,5147,92039,43440,48599,89132,41995,47137,43224,21229,21995,28614,13897,14717,29716,14229,15487,20547,8761,11786,6568,3321,3247,6432,3226,3206,7118,3715,3403,7430,3784,3646,27548,13502,14046,7180,3548,3632,7923,3904,4019,7046,3388,3658,6885,3320,3565,6760,3285,3475,6784,3301,3483,7124,3438,3686,7937,3806,4131,7871,3684,4187,65510,33836,31674,6796,3089,3707,5504,2472,3032,3788,1655,2133,2334,906,1428,2125,639,1486,40.2,38.5,41.7
50,1,1017,Alabama,Chambers County,2019,33254,15895,17359,1882,964,918,3517,1763,1754,1514,794,720,2562,1327,1235,27117,12795,14322,26341,12374,13967,11575,5722,5853,7874,3787,4087,9190,4396,4794,6715,2864,3851,1882,964,918,1935,953,982,1957,996,961,1818,975,843,7592,3704,3888,1883,960,923,2371,1171,1200,1857,888,969,1791,849,942,1855,879,976,2149,1014,1135,2196,1067,1129,2458,1193,1265,2387,1122,1265,18947,9804,9143,2119,984,1135,1792,808,984,1293,551,742,743,309,434,768,212,556,43.1,41.1,44.8
50,1,1019,Alabama,Cherokee County,2019,26196,12926,13270,1213,583,630,2519,1318,1201,1215,573,642,1851,949,902,21843,10732,11111,21249,10452,10797,8278,4137,4141,5506,2759,2747,7728,3861,3867,6164,2883,3281,1213,583,630,1324,701,623,1489,761,728,1473,720,753,5499,2734,2765,1299,658,641,1521,802,719,1289,628,661,1278,617,661,1418,712,706,1726,868,858,1826,940,886,1984,978,1006,2192,1075,1117,14533,7255,7278,1844,914,930,1763,859,904,1221,554,667,759,347,412,577,209,368,47.4,46.8,48
50,1,1021,Alabama,Chilton County,2019,44428,21800,22628,2711,1378,1333,5440,2667,2773,2440,1217,1223,3483,1802,1681,35088,17153,17935,33837,16538,17299,16407,8196,8211,11064,5479,5585,11690,5799,5891,7600,3458,4142,2711,1378,1333,2984,1472,1512,3036,1497,1539,2841,1434,1407,11572,5791,5781,2502,1283,1219,2989,1506,1483,2633,1311,1322,2652,1316,1336,2790,1346,1444,2857,1458,1399,2888,1449,1439,3033,1505,1528,2912,1387,1525,25256,12695,12561,2497,1183,1314,2054,931,1123,1401,658,743,835,361,474,813,325,488,39.8,38.9,40.6
50,1,1023,Alabama,Choctaw County,2019,12589,5938,6651,662,338,324,1188,599,589,630,346,284,908,430,478,10427,4824,5603,10109,4655,5454,4034,1949,2085,2656,1258,1398,3576,1685,1891,2969,1282,1687,662,338,324,630,305,325,718,379,339,728,391,337,2738,1325,1413,650,300,350,729,370,359,580,271,309,659,298,361,688,319,369,755,348,407,853,404,449,998,481,517,970,452,518,6882,3639,3243,855,370,485,796,349,447,593,278,315,376,149,227,349,136,213,46.8,45,48.2
