SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,2,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,0-19 tot,0-19 tot f,0-19 tot m,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,20-64tot,20-64f,20-64m,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,2,13,Alaska,Aleutians East Borough,12,3337,2253,1084,68,39,29,131,61,70,54,29,25,297,234,63,3108,2135,973,3084,2124,960,1501,1111,390,1167,858,309,1269,829,440,351,203,148,68,39,29,80,35,45,68,36,32,68,45,23,284,129,155,266,208,58,294,229,65,216,160,56,290,209,81,367,260,107,397,277,120,361,242,119,301,187,114,210,123,87,,,,109,60,49,119,66,53,64,40,24,26,15,11,33,22,11,44.4,43,46.4
50,2,16,Alaska,Aleutians West Census Area,12,5634,3716,1918,188,96,92,323,168,155,130,61,69,450,291,159,5056,3420,1636,4993,3391,1602,2584,1776,808,2045,1444,601,2079,1399,680,419,257,162,188,96,92,182,98,84,182,90,92,180,97,83,732,351,381,359,235,124,555,406,149,460,305,155,477,333,144,553,400,153,554,381,173,603,410,193,497,324,173,425,284,141,,,,239,150,89,116,70,46,31,18,13,16,9,7,17,10,7,42,42.4,41.2
50,2,20,Alaska,Anchorage Municipality,12,288000,146468,141532,19958,10157,9801,34569,17862,16707,14671,7425,7246,27859,15541,12318,226066,114764,111302,218802,111024,107778,127371,66474,60897,88605,45380,43225,68581,34225,34356,33757,15878,17879,19958,10157,9801,19579,10003,9576,18754,9731,9023,17489,9172,8317,75780,36717,39063,21277,11922,9355,25696,13464,12232,24246,12445,11801,21530,10901,10629,17133,8570,8563,16871,8525,8346,16680,8328,8352,18447,9298,9149,16583,8074,8509,,,,12834,6370,6464,9173,4486,4687,5505,2573,2932,3128,1298,1830,3117,1151,1966,34.4,33.5,35.3
50,2,50,Alaska,Bethel Census Area,12,18386,9485,8901,1976,1020,956,3239,1626,1613,1323,673,650,1905,971,934,12513,6515,5998,11848,6166,5682,7728,3991,3737,4841,2506,2335,3654,1986,1668,1448,703,745,1976,1020,956,1926,971,955,1654,814,840,1557,807,750,7113,3501,3612,1330,678,652,1492,751,741,1356,722,634,1101,563,538,892,470,422,859,444,415,910,518,392,1039,571,468,846,453,393,,,,632,336,296,360,183,177,271,118,153,114,50,64,71,16,55,27.6,28.1,27.1
50,2,60,Alaska,Bristol Bay Borough,12,836,438,398,58,23,35,69,35,34,22,11,11,73,40,33,695,373,322,687,369,318,311,165,146,223,117,106,255,138,117,136,74,62,58,23,35,46,23,23,30,15,15,34,19,15,168,88,80,54,29,25,61,35,26,68,29,39,56,29,27,38,24,14,53,27,26,50,31,19,86,44,42,66,36,30,,,,55,28,27,32,21,11,19,11,8,23,11,12,7,3,4,42.2,43.8,38.8
50,2,68,Alaska,Denali Borough,12,2097,1173,924,96,51,45,226,127,99,77,44,33,148,94,54,1741,974,767,1698,951,747,872,484,388,658,353,305,654,366,288,238,138,100,96,51,45,126,68,58,111,66,45,103,52,51,436,199,237,111,79,32,174,107,67,170,86,84,159,86,73,155,74,81,177,98,79,160,82,78,181,97,84,136,89,47,,,,132,78,54,52,34,18,38,21,17,12,3,9,4,2,2,40,39.3,40.3
50,2,70,Alaska,Dillingham Census Area,12,4916,2493,2423,475,223,252,787,390,397,283,143,140,479,255,224,3507,1807,1700,3371,1737,1634,1981,1018,963,1301,659,642,1097,570,527,494,253,241,475,223,252,476,221,255,393,208,185,333,176,157,1677,849,828,347,183,164,424,217,207,351,177,174,301,155,146,225,110,115,200,102,98,295,148,147,309,166,143,293,154,139,,,,212,114,98,119,60,59,77,36,41,51,29,22,35,14,21,30.1,30.6,29.8
50,2,90,Alaska,Fairbanks North Star Borough,12,96849,52095,44754,7179,3709,3470,11446,5893,5553,4379,2195,2184,12453,7833,4620,75994,41361,34633,73845,40298,33547,46028,26071,19957,30291,16585,13706,20273,10345,9928,10828,5535,5293,7179,3709,3470,6618,3402,3216,5923,3033,2890,5633,2979,2654,25353,12230,13123,10104,6507,3597,9685,5518,4167,8186,4440,3746,7074,3818,3256,5346,2809,2537,4897,2566,2331,4820,2486,2334,5443,2749,2694,5113,2544,2569,,,,4418,2332,2086,3088,1649,1439,1726,858,868,876,411,465,720,285,435,31.9,31,33.2
50,2,100,Alaska,Haines Borough,12,2530,1261,1269,113,59,54,203,95,108,140,66,74,154,87,67,2150,1076,1074,2074,1041,1033,817,418,399,556,282,274,816,406,410,548,266,282,113,59,54,110,47,63,126,65,61,149,72,77,498,255,243,112,64,48,115,64,51,133,60,73,164,79,85,144,79,65,141,75,66,174,72,102,233,124,109,268,135,133,,,,203,104,99,178,90,88,76,34,42,39,21,18,52,17,35,48.9,48.3,49.5
50,2,105,Alaska,Hoonah-Angoon Census Area,12,2148,1143,1005,98,45,53,196,105,91,89,35,54,126,64,62,1808,975,833,1765,958,807,609,303,306,420,214,206,703,388,315,516,292,224,98,45,53,111,58,53,111,57,54,98,42,56,418,216,202,91,47,44,107,64,43,104,59,45,102,48,54,107,43,64,132,81,51,155,88,67,214,111,103,202,108,94,,,,199,88,111,140,93,47,96,58,38,47,27,20,34,26,8,50.3,51,48.5
