SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,19,19001,Iowa,Adair County,12,7152,3562,3590,404,224,180,834,432,402,321,151,170,454,239,215,5767,2837,2930,5593,2755,2838,2315,1177,1138,1601,820,781,1890,967,923,1648,729,919,404,224,180,444,244,200,451,221,230,398,189,209,316,168,148,408,217,191,437,217,220,394,205,189,362,181,181,353,178,175,420,209,211,560,282,278,557,298,259,495,250,245,349,164,185,263,112,151,232,95,137,309,108,201,44.4,42.2,46.4
50,19,19003,Iowa,Adams County,12,3602,1799,1803,191,103,88,406,200,206,157,75,82,221,120,101,2928,1461,1467,2848,1421,1427,1099,568,531,759,386,373,1016,511,505,852,404,448,191,103,88,210,111,99,234,102,132,179,101,78,161,81,80,193,101,92,196,105,91,197,101,96,173,79,94,186,104,82,196,83,113,325,165,160,309,159,150,232,126,106,228,115,113,171,84,87,112,50,62,109,29,80,47,46,48.5
50,19,19005,Iowa,Allamakee County,12,13687,6986,6701,959,517,442,1564,810,754,688,352,336,908,497,411,10816,5478,5338,10476,5307,5169,4209,2203,2006,2785,1440,1345,3571,1817,1754,3212,1553,1659,959,517,442,846,425,421,890,471,419,770,396,374,654,367,287,711,368,343,681,362,319,722,370,352,671,340,331,666,347,319,806,395,411,1035,529,506,1064,546,518,1008,515,493,792,392,400,577,290,287,431,200,231,404,156,248,44.6,43.3,46.3
50,19,19007,Iowa,Appanoose County,12,12426,6152,6274,702,366,336,1449,769,680,654,337,317,838,436,402,9945,4852,5093,9621,4680,4941,3935,1967,1968,2605,1268,1337,3335,1691,1644,2843,1285,1558,702,366,336,771,406,365,840,437,403,733,390,343,597,309,288,653,315,338,619,292,327,699,346,353,634,315,319,708,351,357,736,383,353,922,463,459,969,494,475,827,412,415,720,317,403,528,252,276,355,152,203,413,152,261,44.7,43.2,46
50,19,19009,Iowa,Audubon County,12,5496,2674,2822,334,171,163,571,293,278,257,131,126,355,169,186,4468,2146,2322,4334,2079,2255,1671,841,830,1118,570,548,1503,749,754,1358,591,767,334,171,163,306,169,137,324,153,171,285,145,140,268,126,142,315,157,158,243,118,125,289,146,143,271,149,122,256,114,142,327,167,160,479,241,238,441,227,214,377,185,192,302,137,165,248,117,131,185,84,101,246,68,178,47.4,45.2,49
50,19,19011,Iowa,Benton County,12,25645,12812,12833,1595,848,747,2927,1468,1459,1425,685,740,1790,944,846,20376,10127,10249,19698,9811,9887,8613,4382,4231,5759,2931,2828,7264,3645,3619,4885,2291,2594,1595,848,747,1563,774,789,1725,872,853,1595,782,813,1259,669,590,1368,716,652,1348,699,649,1547,781,766,1496,735,761,1520,761,759,1803,888,915,2055,1012,1043,1886,984,902,1457,751,706,1176,550,626,901,426,475,595,269,326,756,295,461,42.8,42,43.6
50,19,19013,Iowa,Black Hawk County,12,131228,64624,66604,8245,4271,3974,14215,7274,6941,6051,3058,2993,18901,9031,9870,105722,51515,54207,102717,50021,52696,55720,27950,27770,32290,16650,15640,29283,14352,14931,22243,9988,12255,8245,4271,3974,7966,4081,3885,7771,3982,3789,8841,4183,4658,14589,7117,7472,9389,4954,4435,7843,4096,3747,7951,3996,3955,7107,3604,3503,6671,3334,3337,6866,3438,3428,7651,3719,3932,8095,3861,4234,7396,3579,3817,5449,2582,2867,3737,1742,1995,2657,1033,1624,3004,1052,1952,35.6,34.6,36.6
50,19,19015,Iowa,Boone County,12,26234,13289,12945,1385,693,692,2748,1438,1310,1403,839,564,1910,1009,901,21439,10765,10674,20698,10319,10379,9549,5030,4519,6565,3369,3196,7236,3636,3600,4987,2305,2682,1385,693,692,1443,738,705,1634,887,747,1587,930,657,1397,731,666,1610,827,783,1588,807,781,1760,913,847,1607,822,785,1558,801,757,1640,854,786,2000,967,1033,2038,1014,1024,1739,879,860,1194,584,610,805,369,436,573,249,324,676,224,452,42.1,40.7,43.8
50,19,19017,Iowa,Bremer County,12,25062,12400,12662,1461,760,701,2848,1492,1356,1314,668,646,2937,1467,1470,20079,9804,10275,19439,9480,9959,9508,4774,4734,5598,2818,2780,5927,2958,2969,4977,2237,2740,1461,760,701,1497,786,711,1692,885,807,1985,994,991,1925,962,963,1233,633,600,1321,644,677,1587,797,790,1457,744,713,1373,686,687,1409,713,696,1600,796,804,1545,763,782,1407,691,716,1208,565,643,944,423,521,646,294,352,772,264,508,39.5,38.5,40.6
50,19,19019,Iowa,Buchanan County,12,21175,10507,10668,1377,694,683,2789,1373,1416,1325,693,632,1470,792,678,16352,8099,8253,15684,7747,7937,7462,3871,3591,4977,2532,2445,5370,2638,2732,3867,1785,2082,1377,694,683,1461,715,746,1638,804,834,1488,812,676,997,527,470,1130,559,571,1228,624,604,1378,706,672,1241,643,598,1144,595,549,1255,605,650,1543,764,779,1428,674,754,1201,616,585,989,448,541,697,322,375,472,219,253,508,180,328,39.6,38.7,40.6
