v,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,27,27001,Minnesota,Aitkin County,12,15886,8030,7856,582,312,270,1363,711,652,673,355,318,821,407,414,13586,6820,6766,13268,6652,6616,3851,1941,1910,2531,1272,1259,4543,2293,2250,5373,2680,2693,582,312,270,703,373,330,834,431,403,716,378,338,604,291,313,624,309,315,569,284,285,707,358,349,631,321,310,744,378,366,882,438,444,1358,680,678,1559,797,762,1588,795,793,1432,731,701,1103,558,545,711,367,344,539,229,310,56.4,56.2,56.6
50,27,27003,Minnesota,Anoka County,12,356921,178572,178349,22302,11285,11017,42601,21767,20834,19856,10060,9796,27489,14201,13288,282080,140513,141567,272162,135460,136702,137632,70459,67173,95194,48658,46536,97698,48975,48723,51781,23626,28155,22302,11285,11017,23196,11843,11353,24312,12384,11928,22561,11623,10938,19877,10178,9699,22848,11814,11034,24449,12473,11976,25300,12812,12488,22597,11559,11038,23091,11691,11400,24367,12122,12245,27214,13666,13548,23026,11496,11530,17810,8582,9228,13645,6353,7292,9326,4323,5003,5615,2296,3319,5385,2072,3313,38.7,38,39.5
50,27,27005,Minnesota,Becker County,12,34423,17168,17255,2120,1105,1015,4232,2088,2144,1961,985,976,2508,1257,1251,27060,13483,13577,26110,12990,13120,11395,5752,5643,7456,3769,3687,8872,4483,4389,7274,3481,3793,2120,1105,1015,2334,1109,1225,2428,1238,1190,2140,1097,1043,1799,886,913,1760,891,869,1814,898,916,2011,1004,1007,1871,976,895,1732,877,855,2004,1011,993,2481,1267,1214,2655,1328,1327,2445,1212,1233,1875,935,940,1258,627,631,877,387,490,819,320,499,42,41.7,42.4
50,27,27007,Minnesota,Beltrami County,12,47188,23563,23625,3276,1743,1533,6143,3161,2982,2427,1243,1184,6134,3131,3003,36518,18035,18483,35342,17416,17926,19069,9715,9354,11135,5646,5489,10300,5002,5298,7773,3637,4136,3276,1743,1533,3531,1771,1760,3239,1695,1544,3536,1838,1698,4398,2231,2167,3093,1568,1525,2825,1471,1354,2824,1424,1400,2393,1183,1210,2212,1088,1124,2318,1117,1201,2851,1377,1474,2919,1420,1499,2523,1232,1291,1956,965,991,1302,611,691,949,428,521,1043,401,642,34.5,33.2,35.8
50,27,27009,Minnesota,Benton County,12,40889,20435,20454,2893,1538,1355,5258,2653,2605,2245,1095,1150,3245,1602,1643,31589,15672,15917,30493,15149,15344,16494,8354,8140,11596,5934,5662,9794,5011,4783,5858,2602,3256,2893,1538,1355,2958,1482,1476,2892,1448,1444,2517,1261,1256,2381,1159,1222,2932,1474,1458,3006,1532,1474,3170,1656,1514,2488,1272,1216,2394,1242,1152,2495,1286,1209,2696,1335,1361,2209,1148,1061,1845,900,945,1351,642,709,947,428,519,701,285,416,1014,347,667,36.4,36,36.9
50,27,27011,Minnesota,Big Stone County,12,4991,2494,2497,299,168,131,535,275,260,244,126,118,315,170,145,4036,1993,2043,3913,1925,1988,1434,747,687,934,477,457,1325,676,649,1339,602,737,299,168,131,301,166,135,293,135,158,266,141,125,234,129,105,239,113,126,237,129,108,260,141,119,198,94,104,231,115,116,255,115,140,429,238,191,410,208,202,358,183,175,271,135,136,250,100,150,195,84,111,265,100,165,48.6,46.6,50.9
50,27,27013,Minnesota,Blue Earth County,12,67653,34014,33639,3650,1871,1779,6923,3637,3286,2903,1517,1386,14281,7030,7251,55653,27754,27899,54177,26989,27188,33259,17106,16153,16795,8921,7874,13474,6685,6789,9627,4353,5274,3650,1871,1779,3819,2045,1774,3824,1954,1870,5836,2857,2979,10628,5328,5300,4951,2715,2236,4229,2227,2002,4155,2198,1957,3460,1781,1679,3050,1527,1523,3225,1666,1559,3548,1725,1823,3651,1767,1884,3138,1562,1576,2214,1070,1144,1619,739,880,1203,492,711,1453,490,963,31.3,30.5,32.2
50,27,27015,Minnesota,Brown County,12,25008,12474,12534,1400,730,670,2822,1505,1317,1230,649,581,2466,1259,1207,20165,9913,10252,19556,9590,9966,8768,4481,4287,5365,2731,2634,6390,3150,3240,5335,2450,2885,1400,730,670,1509,787,722,1606,876,730,1687,865,822,1716,885,831,1270,628,642,1319,682,637,1524,786,738,1252,635,617,1241,616,625,1423,701,722,1854,925,929,1872,908,964,1552,789,763,1186,577,609,914,428,486,692,310,382,991,346,645,41.7,40,43.7
50,27,27017,Minnesota,Carlton County,12,35871,18739,17132,1886,965,921,4181,2158,2023,1921,995,926,2678,1541,1137,28835,15107,13728,27883,14621,13262,13118,7252,5866,8994,4972,4022,9948,5224,4724,6263,2884,3379,1886,965,921,2187,1128,1059,2469,1286,1183,2215,1183,1032,1909,1097,812,2086,1173,913,2239,1237,1002,2417,1328,1089,2252,1234,1018,2286,1250,1036,2402,1269,1133,2651,1386,1265,2609,1319,1290,2041,1013,1028,1495,756,739,1102,510,592,800,347,453,825,258,567,41.1,39.9,42.7
50,27,27019,Minnesota,Carver County,12,105089,52197,52892,6627,3341,3286,14364,7362,7002,6711,3407,3304,8483,4274,4209,80720,39776,40944,77387,38087,39300,39845,19895,19950,26319,13066,13253,29335,14717,14618,13250,6030,7220,6627,3341,3286,7837,4064,3773,8195,4150,4045,7709,3925,3784,5817,2904,2913,4915,2451,2464,6202,3048,3154,7817,3888,3929,7385,3679,3706,7316,3700,3616,7719,3793,3926,7838,3953,3885,6462,3271,3191,4662,2271,2391,3308,1585,1723,2203,1002,1201,1440,626,814,1637,546,1091,38.4,37.9,38.9
