SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,34,34001,New Jersey,Atlantic County,12,263670,127591,136079,14120,7152,6968,28271,14450,13821,13146,6732,6414,23475,11814,11661,214720,102639,112081,208133,99257,108876,94223,47043,47180,60923,30184,30739,74708,35475,39233,49027,21784,27243,14120,7152,6968,15532,7968,7564,16060,8169,7891,16503,8464,8039,16797,8395,8402,16665,8526,8139,15161,7579,7582,14693,7198,7495,14404,6881,7523,16619,7825,8794,18118,8586,9532,20430,9827,10603,19541,9237,10304,15468,7300,8168,12713,5897,6816,9062,3990,5072,5788,2488,3300,5996,2109,3887,42.2,40.3,44
50,34,34003,New Jersey,Bergen County,12,932202,452666,479536,49076,24949,24127,99136,50772,48364,48097,24538,23559,75073,38046,37027,759899,364709,395190,735893,352407,383486,341868,170740,171128,230541,114126,116415,265611,128640,136971,164668,71595,93073,49076,24949,24127,53536,27393,26143,57443,29349,28094,57383,29391,27992,53944,27223,26721,52322,26349,25973,54887,27519,27368,61555,30211,31344,61777,30047,31730,64861,31696,33165,67886,32810,35076,69832,34022,35810,63032,30112,32920,49532,23303,26229,40302,18425,21877,29000,12542,16458,20797,8532,12265,25037,8793,16244,42.1,40.7,43.5
50,34,34005,New Jersey,Burlington County,12,445349,219202,226147,22732,11676,11056,46664,23708,22956,22763,11501,11262,36638,19957,16681,364539,178056,186483,353190,172317,180873,165327,85397,79930,111636,56852,54784,127551,62010,65541,77365,33498,43867,22732,11676,11056,24970,12685,12285,27404,13936,13468,26497,13672,12825,27194,14873,12321,28723,15172,13551,27601,14022,13579,28193,14072,14121,27119,13586,13533,29324,14503,14821,32156,15538,16618,35045,16926,18119,31026,15043,15983,24044,11195,12849,19594,8826,10768,13923,5969,7954,9564,3891,5673,10240,3617,6623,41.7,39.8,43.6
50,34,34007,New Jersey,Camden County,12,506471,244430,262041,30362,15495,14867,57672,29437,28235,26189,13487,12702,41080,20902,20178,405306,192764,212542,392248,186011,206237,196338,97698,98640,135638,66674,68964,134000,63744,70256,81530,34691,46839,30362,15495,14867,31823,16268,15555,32418,16534,15884,30837,15988,14849,29863,15036,14827,35756,17784,17972,35193,17493,17700,33788,16489,17299,30901,14908,15993,32314,15507,16807,33498,15911,17587,35390,16793,18597,32798,15533,17265,26142,11980,14162,20711,9220,11491,14322,6194,8128,9451,3734,5717,10904,3563,7341,39,37.3,40.6
50,34,34009,New Jersey,Cape May County,12,92039,44868,47171,4023,2052,1971,8229,4105,4124,3698,1879,1819,6652,3627,3025,77983,37815,40168,76089,36832,39257,27776,14442,13334,18298,9367,8931,25973,12420,13553,25166,11418,13748,4023,2052,1971,4521,2258,2263,4580,2278,2302,4607,2453,2154,4871,2622,2249,5079,2725,2354,4626,2389,2237,4455,2243,2212,4138,2010,2128,4677,2339,2338,5851,2901,2950,7380,3445,3935,8065,3735,4330,7765,3680,4085,6712,3181,3531,4696,2104,2592,3076,1368,1708,2917,1085,1832,50.4,48.2,52.5
50,34,34011,New Jersey,Cumberland County,12,149527,76161,73366,9195,4738,4457,18591,9291,9300,7694,3871,3823,12067,6304,5763,117839,60212,57627,114047,58261,55786,58572,32083,26489,40767,22863,17904,37821,18847,18974,23392,10247,13145,9195,4738,4457,10254,5045,5209,10293,5201,5092,9166,4702,4464,8639,4518,4121,10723,5985,4738,10569,6194,4375,10085,5542,4543,9390,5142,4248,9686,5046,4640,9434,4625,4809,9635,4762,4873,9066,4414,4652,7285,3381,3904,6075,2789,3286,4165,1813,2352,2832,1154,1678,3035,1110,1925,38,36.6,39.7
50,34,34013,New Jersey,Essex County,12,798975,384574,414401,52484,26823,25661,95673,48865,46808,41240,21027,20213,69291,34914,34377,630121,298289,331832,609578,287859,321719,321432,158554,162878,221195,107855,113340,207990,99631,108359,111102,45459,65643,52484,26823,25661,53375,27340,26035,52592,26767,25825,50103,25726,24377,50134,24973,25161,55583,27471,28112,54775,26907,27868,55964,26948,29016,54873,26529,28344,55698,27033,28665,54130,26137,27993,52161,25185,26976,46001,21276,24725,35780,15852,19928,27622,11953,15669,19146,7786,11360,12850,4898,7952,15704,4970,10734,37.8,36.2,39.2
50,34,34015,New Jersey,Gloucester County,12,291636,141846,149790,15225,7741,7484,32289,16439,15850,15585,7942,7643,25436,13082,12354,236301,113665,122636,228537,109724,118813,110078,55004,55074,72866,35959,36907,82663,39831,42832,47572,20852,26720,15225,7741,7484,17136,8746,8390,18962,9672,9290,18806,9679,9127,18406,9366,9040,18468,9459,9009,17882,8999,8883,18336,8802,9534,18180,8699,9481,19663,9405,10258,20884,10075,10809,22054,10788,11266,20062,9563,10499,15949,7464,8485,12519,5676,6843,8400,3717,4683,5128,2117,3011,5576,1878,3698,40.7,39.2,42.2
50,34,34017,New Jersey,Hudson County,12,672391,334987,337404,46359,23710,22649,64928,32999,31929,25428,12893,12535,52200,27261,24939,548334,271863,276471,535676,265385,270291,320646,166172,154474,249385,129220,120165,152184,74682,77502,81907,34222,47685,46359,23710,22649,37956,19412,18544,33339,16789,16550,31755,16458,15297,39506,20494,19012,69064,35174,33890,72723,37771,34952,60761,31989,28772,46837,24286,22551,41258,20838,20420,39043,19193,19850,38309,18759,19550,33574,15892,17682,26365,12000,14365,20384,8783,11601,14336,5896,8440,10199,3988,6211,10623,3555,7068,35.4,34.7,36.3
50,34,34019,New Jersey,Hunterdon County,12,124371,61339,63032,5287,2633,2654,11693,6063,5630,6732,3376,3356,10586,5650,4936,104114,51004,53110,100659,49267,51392,40770,20733,20037,25069,12500,12569,40918,19888,21030,24086,11229,12857,5287,2633,2654,6008,3096,2912,7302,3760,3542,8087,4180,3907,7614,4053,3561,5820,3066,2754,5744,2836,2908,6614,3266,3348,6891,3332,3559,8449,4048,4401,10466,4966,5500,11563,5668,5895,10440,5206,5234,8036,4067,3969,6131,2987,3144,4310,2038,2272,2519,1110,1409,3090,1027,2063,47,45.7,48
