sc,p19,pw,pb,pn,pa,pm,ph,pv,pph,hse,bde,pd,nhi,clf,pip,pt,la,psm,vap,cf,tmp,tfp,a019,a019f,a019m,a2064,a2064f,a2064m,a65,a65m,a65f,ccc,ccd,tv,nv
48,20785296,22819758,3740468,318954,1507785,608913,11511364,866194,2.86,14186487,4156640,1347034,6039668,18615355,3943439,28995881,261962,110.69,20785296,551,14402702,14593179,8210585,4020641,4189944,17051067,8507476,8543591,3734229,1669167,2065062,2969114,52019,11323985,9461311
13,7815734,6391688,3461279,63704,467166,233583,1051124,377926,2.71,5461042,1676539,547993,1648849,6625271,1412117,10617423,57915,183.33,7815734,288,5160424,5456999,2801689,1375698,1425991,6298780,3225998,3072782,1516954,661651,855303,1103192,20421,4998566,2817168
12,16763162,16602290,3629737,128866,644332,472510,5670122,829169,2.65,10793926,3151826,1054860,3507003,12521520,2727672,21477737,53999,397.74,16763162,279,10497056,10980681,4714575,2306134,2408441,12265825,6206281,6059544,4497337,2029071,2468266,2329859,36972,11067456,5695706
6,29586826,28409288,2568294,829756,6124394,1580488,15567815,946070,2.96,19129080,6369983,1569092,3528124,24932212,4662442,39512223,156147,253.05,29586826,264,19079447,19287602,9629531,4707294,4922237,23074886,11441150,11633736,5662632,2523474,3139158,3800049,63647,17395590,12191236
37,7895647,7404587,2328354,178297,335618,241225,1027832,391408,2.52,5370339,1637953,583732,1408475,6429195,1426379,10488084,53664,195.44,7895647,175,5100264,5387820,2592437,1271077,1321360,6144553,3132385,3012168,1751094,766736,984358,1008036,13268,5524813,2370834
36,14932565,13539678,3423826,213989,1750820,525246,3754537,437529,2.6,10065502,3613515,884367,1192485,12255743,2528962,19453561,54341.6,357.99,14932565,174,9447846,10005715,4520996,2211837,2309159,11636419,5920703,5715716,3296146,1422971,1873175,2106056,52927,7170577,7761988
39,8802227,9549994,1531272,46756,292227,280538,467564,421568,2.43,6087072,1692206,682346,915126,7375822,1531272,11689100,40957.5,285.4,8802227,174,5730562,5958538,2886873,1410980,1475893,6755907,3403313,3352594,2046320,902075,1144245,1106064,20021,5929361,2872866
26,7579167,7909590,1408146,69907,339553,249671,529303,329059,2.49,5261458,1504776,598817,691999,6121943,1298291,9986857,96716,103.26,7579167,169,4918528,5068329,2407690,1176541,1231149,5813766,2917797,2895969,1765401,791410,973991,994668,20698,5544102,2035065
51,6448093,5923650,1698568,51213,588950,273136,836480,408152,2.61,4544643,1736053,407134,796347,5479803,845016,8535519,39369.1,216.81,6448093,166,4200257,4335262,2087426,1021703,1065723,5089187,2557578,2531609,1358906,602925,755981,677425,11270,4460524,1987569
17,9526512,9731958,1850085,88702,747637,266108,2217568,351714,2.59,6652635,2268548,531312,1093517,8249355,1457259,12671821,55593,227.94,9526512,161,6226558,6445263,3145309,1538808,1606501,7483280,3758319,3724961,2043232,895096,1148136,1390705,25430,6019642,3506870
