sc,p19,pv,hse,bde,pd,nhi,clf,pip,pt,vap,cf,ccc,ccd,tv,nv
48,20785296,866194,14186487,4156640,1347034,6039668,18615355,3943439,28995881,20785296,551,2969114,52019,11323985,9461311
13,7815734,377926,5461042,1676539,547993,1648849,6625271,1412117,10617423,7815734,288,1103192,20421,4998566,2817168
12,16763162,829169,10793926,3151826,1054860,3507003,12521520,2727672,21477737,16763162,279,2329859,36972,11067456,5695706
6,29586826,946070,19129080,6369983,1569092,3528124,24932212,4662442,39512223,29586826,264,3800049,63647,17395590,12191236
37,7895647,391408,5370339,1637953,583732,1408475,6429195,1426379,10488084,7895647,175,1008036,13268,5524813,2370834
36,14932565,437529,10065502,3613515,884367,1192485,12255743,2528962,19453561,14932565,174,2106056,52927,7170577,7761988
39,8802227,421568,6087072,1692206,682346,915126,7375822,1531272,11689100,8802227,174,1106064,20021,5929361,2872866
26,7579167,329059,5261458,1504776,598817,691999,6121943,1298291,9986857,7579167,169,994668,20698,5544102,2035065
51,6448093,408152,4544643,1736053,407134,796347,5479803,845016,8535519,6448093,166,677425,11270,4460524,1987569
17,9526512,351714,6652635,2268548,531312,1093517,8249355,1457259,12671821,9526512,161,1390705,25430,6019642,3506870
