,percent_of_population_age_19up,percent_of_population_anglosaxon_decent,percent_of_population_african_decent,percent_of_population_native_hawaiian_islander_other_decent,percent_of_population_asian_decent,percent_of_population_mixed_decent,percent_of_population_hispanic_latino_decent,percent_of_population_vetrans,percent_of_population_with_HS_education,percent_of_population_with_bachelors_degree_or_higher,percent_of_population_with_disability_age_19to64,percent_of_population_with_without_health_insurance,percent_of_population_age_16up_in_civilian_labor_force,percent_of_population_in_poverty,percent_of_total_overall_population,percent_of_land_area,,voting_age_population,percent_of_overall_correctional_facilities,,,total_male_population,,total_female_population,,age_0to19_total,,age_0to19_female,,age_0to19_male,,age_20to64_total,,age_20to64_female,,age_20to64_male,,age_65up_total,,age_65up_male,,age_65up_female,,confirmed_covid_cases_062021,,confirmed_covid_deaths_062021,,total_votes_counted,,legal_age_to_vote_and_didnt
Alabama,0.7780,0.6910,0.2680,0.0080,0.0150,0.0180,0.0460,0.0684,0.8580,0.2490,0.1160,0.1170,0.5710,0.1550,0.014789141,0.014033598,,3686747,0.025039398,,,2369517,,2533668,,1216438,,597492,,618946,,2836910,,1457490,,1379420,,849837,,371151,,478686,,547135,,11252,,2323282,,1363465
Alaska,0.7540,0.6530,0.0370,0.1700,0.0650,0.0750,0.0730,0.0922,0.9270,0.2920,0.0880,0.1390,0.6640,0.1010,0.002206509,0.158120957,,616805,0.006128524,,,388400,,343145,,114740,,54997,,59743,,506192,,236579,,269613,,110613,,59044,,51569,,70004,,352,,287010,,329795
Arizona,0.7750,0.8260,0.0520,0.0560,0.0370,0.0290,0.3170,0.0670,0.8680,0.2890,0.0860,0.1360,0.5920,0.1350,0.021954295,0.031587836,,5440119,0.015233759,,,3617297,,3661420,,1838598,,900189,,938409,,4131486,,2054959,,2076527,,1308633,,602361,,706272,,885412,,17742,,3385845,,2054274
Arkansas,0.7680,0.7900,0.1570,0.0140,0.0170,0.0220,0.0780,0.0671,0.8620,0.2260,0.1250,0.1090,0.5790,0.1620,0.009102395,0.014735698,,2238876,0.016809666,,,1481616,,1536188,,778928,,379913,,399015,,1714994,,865931,,849063,,523882,,233538,,290344,,343216,,5856,,1219014,,1019862
California,0.7750,0.7190,0.0650,0.0210,0.1550,0.0400,0.3940,0.0410,0.8290,0.3330,0.0680,0.0890,0.6310,0.1180,0.119178012,0.043267331,,29586826,0.04622658,,,19079447,,19287602,,9629531,,4707294,,4922237,,23074886,,11441150,,11633736,,5662632,,2523474,,3139158,,3800049,,63647,,17395590,,12191236
Colorado,0.7810,0.8690,0.0460,0.0180,0.0350,0.0310,0.2180,0.0652,0.9140,0.4010,0.0730,0.0930,0.6760,0.0930,0.017369681,0.028844416,,4350765,0.021712485,,,2901348,,2857388,,1407971,,687142,,720829,,3508353,,1714609,,1793744,,842412,,386775,,455637,,552118,,6806,,3256633,,1094132
Connecticut,0.7960,0.7970,0.1220,0.0070,0.0500,0.0250,0.1690,0.0488,0.9050,0.3890,0.0730,0.0700,0.6620,0.1000,0.010753731,0.001342795,,2735705,0.005778323,,,1739417,,1825870,,829582,,406661,,422921,,2105461,,1064967,,1040494,,630244,,276002,,354242,,348319,,8260,,1824317,,911388
Delaware,0.7910,0.6920,0.2320,0.0080,0.0410,0.0270,0.0960,0.0684,0.8980,0.3140,0.0850,0.0810,0.6230,0.1130,0.002937097,0.000689963,,744852,0.001751007,,,470793,,502971,,228912,,113219,,115693,,555946,,285397,,270549,,188906,,84551,,104355,,109258,,1679,,504010,,240842
District of Columbia,0.8180,0.4600,0.4600,0.0070,0.0450,0.0290,0.1130,0.0382,0.9060,0.5760,0.0860,0.0390,0.6950,0.1350,0.002128702,0.000016931,,556412,0.000525302,,,334711,,371038,,149337,,74724,,74613,,469069,,244709,,224360,,87343,,35738,,51605,,49151,,1137,,344356,,212056
Florida,0.8030,0.7730,0.1690,0.0060,0.0300,0.0220,0.2640,0.0676,0.8800,0.2920,0.0860,0.1630,0.5830,0.1270,0.064781827,0.014962776,,16763162,0.048853091,,,10497056,,10980681,,4714575,,2306134,,2408441,,12265825,,6206281,,6059544,,4497337,,2029071,,2468266,,2329859,,36972,,11067456,,5695706
