ccps,cdps,vgop,vdem,tvps,tpop
33430105,598785,74255654,80374961,157949282,330394362
547135,11252,1441170,849624,2323282,4903185
70004,352,157618,118391,287010,731545
885412,17742,1661686,1672143,3385845,7278717
343216,5856,760613,423916,1219014,3017804
3800049,63647,5962975,11055577,17395590,38367049
552118,6806,1364467,1804184,3256633,5758736
348319,8260,715291,1080680,1824317,3565287
109258,1679,200603,296268,504010,973764
49151,1137,18586,317323,344356,705749
2329859,36972,5668731,5297045,11067456,21477737
1103192,20421,2461837,2474507,4998566,10617423
35522,502,185282,344905,540972,1415786
193475,2119,554118,287021,868105,1787065
1390705,25430,2439446,3461060,6019642,12671821
751596,13710,1729446,1241774,3035088,6732219
372333,6095,897467,758881,1688310,3155070
317165,5139,752903,551144,1333804,2913314
462901,7182,1326646,772474,2136768,4467673
475126,10638,1255776,856034,2148062,4648794
68449,843,360446,431277,816428,1344212
461201,9667,976414,1985023,3016608,6045680
708579,17929,1167202,2382202,3631473,6892503
994668,20698,2649852,2804040,5544102,9986857
603398,7577,1484065,1717077,3277170,5639632
318879,7348,756731,539494,1315240,2976149
620295,9789,1717912,1253561,3029586,6137428
112798,1638,343602,244786,605750,1068778
223749,2516,556846,374583,952271,1934408
326878,5621,669890,703486,1405376,3080156
99040,1360,365654,424921,804430,1359711
1018833,26322,1882454,2607331,4565757,8882190
203919,4297,401894,501614,923965,2096829
2106056,52927,2987266,4076327,7170577,19453561
1008036,13268,2758775,2684302,5524813,10488084
110382,1548,235595,114902,361819,762062
1106064,20021,3153336,2678501,5929361,11689100
454216,7325,1020280,503890,1560699,3956971
204317,2751,966627,1346141,2385605,4217737
1212155,27493,3377674,3458229,6921699,12801989
181646,2625,406830,389896,1243712,3193694
152187,2722,199837,306210,513627,1059361
594659,9761,1385103,1091541,2513329,5148714
124335,2026,261043,150471,422609,884659
850276,12396,1849820,1139376,3049514,6829174
2969114,52019,5891792,5261061,11323985,28995881
408812,2319,865140,560282,1488289,3205958
24314,256,112704,242820,367428,623989
4002,88,1962430,2413568,4460524,8535519
677425,11270,99,15470,17561,106405
444852,5846,1584588,2369437,4060294,7614893
162845,2848,545382,235984,794652,1792147
676178,8007,1610151,1630716,3297434,5822434
61012,725,193559,73491,276765,578759
