SUMLEV,MUNICIPIO,72001,NAME,NAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,1,72001,Puerto Rico,Adjuntas Municipio,12,17363,8471,8892,639,320,319,1816,908,908,836,425,411,1537,776,761,14486,7032,7454,14072,6818,7254,6354,3138,3216,4204,2051,2153,4786,2319,2467,3545,1672,1873,639,320,319,934,468,466,1105,554,551,1074,551,523,1076,536,540,1127,587,540,977,475,502,1051,499,552,1049,490,559,1026,500,526,1222,588,634,1321,645,676,1217,586,631,1073,524,549,944,472,472,658,314,344,444,202,242,426,160,266,43.3,42.5,44
50,3,72003,Puerto Rico,Aguada Municipio,12,36694,17946,18748,1233,640,593,3247,1616,1631,1634,828,806,3296,1684,1612,31388,15275,16113,30580,14862,15718,13580,6843,6737,9069,4553,4516,10787,5137,5650,7428,3488,3940,1233,640,593,1695,846,849,1971,992,979,2141,1089,1052,2370,1201,1169,2419,1244,1175,2164,1079,1085,2169,1081,1088,2317,1149,1168,2267,1123,1144,2738,1275,1463,2924,1395,1529,2858,1344,1514,2426,1169,1257,1952,940,1012,1422,676,746,858,414,444,770,289,481,44.7,43.4,46
50,5,72005,Puerto Rico,Aguadilla Municipio,12,50265,24278,25987,1819,920,899,4795,2477,2318,2544,1390,1154,4727,2523,2204,42414,20210,22204,41107,19491,21616,18696,9430,9266,12064,5861,6203,13031,5952,7079,11285,5155,6130,1819,920,899,2473,1301,1172,2961,1520,1441,3316,1790,1526,3316,1779,1537,3208,1642,1566,2813,1355,1458,2966,1420,1546,3077,1444,1633,3149,1503,1646,3212,1427,1785,3299,1517,1782,3371,1505,1866,3163,1466,1697,3095,1431,1664,2295,1064,1231,1445,651,794,1287,543,744,43.7,41.5,45.7
50,7,72007,Puerto Rico,Aguas Buenas Municipio,12,24814,11985,12829,824,415,409,2334,1179,1155,1282,661,621,2353,1235,1118,21005,10056,10949,20374,9730,10644,9551,4812,4739,6270,3097,3173,6581,3067,3514,5170,2331,2839,824,415,409,1171,582,589,1517,778,739,1618,834,784,1663,881,782,1649,831,818,1433,692,741,1508,732,776,1680,842,838,1525,685,840,1646,774,872,1792,834,958,1618,774,844,1488,684,804,1362,639,723,974,418,556,683,327,356,663,263,400,43,41.5,44.6
50,9,72009,Puerto Rico,Aibonito Municipio,12,22108,10595,11513,863,452,411,2052,1031,1021,1027,530,497,1853,956,897,18666,8835,9831,18166,8582,9584,7820,3875,3945,5211,2533,2678,6261,2974,3287,4841,2119,2722,863,452,411,1084,554,530,1239,621,618,1284,664,620,1325,678,647,1435,699,736,1334,667,667,1215,587,628,1227,580,647,1287,633,654,1487,719,768,1782,808,974,1705,814,891,1465,655,810,1281,586,695,921,410,511,561,234,327,613,234,379,45.2,43.2,47.2
50,11,72011,Puerto Rico,Añasco Municipio,12,26161,12636,13525,814,414,400,2423,1240,1183,1169,621,548,2422,1277,1145,22337,10659,11678,21755,10361,11394,9731,4913,4818,6448,3187,3261,7308,3410,3898,5577,2487,3090,814,414,400,1251,615,636,1480,797,683,1536,817,719,1747,909,838,1766,901,865,1451,728,723,1527,740,787,1704,818,886,1764,846,918,1957,905,1052,1835,856,979,1752,803,949,1567,736,831,1541,706,835,1093,472,621,775,358,417,601,215,386,44.4,42.4,46.4
50,13,72013,Puerto Rico,Arecibo Municipio,12,81966,39021,42945,3024,1565,1459,7426,3777,3649,3879,2021,1858,7711,4031,3680,69669,32748,36921,67637,31658,35979,30447,15200,15247,19786,9616,10170,21783,10136,11647,18357,7875,10482,3024,1565,1459,3956,2005,1951,4399,2240,2159,5150,2732,2418,5511,2852,2659,5660,2924,2736,4550,2243,2307,4490,2100,2390,5086,2349,2737,5363,2512,2851,5695,2682,3013,5629,2612,3017,5096,2330,2766,4773,2127,2646,4873,2112,2761,3628,1584,2044,2614,1085,1529,2469,967,1502,44.2,42,46.2
50,15,72015,Puerto Rico,Arroyo Municipio,12,17238,7946,9292,644,343,301,1907,930,977,928,467,461,1527,736,791,14225,6442,7783,13759,6206,7553,6605,3062,3543,4375,1973,2402,4349,1929,2420,3508,1568,1940,644,343,301,956,457,499,1176,587,589,1162,587,575,1068,502,566,1162,541,621,971,443,528,1096,477,619,1146,512,634,1155,506,649,1054,474,580,1069,465,604,1071,484,587,1068,487,581,972,434,538,714,319,395,416,198,218,338,130,208,41.8,40.5,42.7
50,17,72017,Puerto Rico,Barceloneta Municipio,12,23727,11216,12511,917,467,450,2300,1172,1128,1183,596,587,2268,1117,1151,19932,9283,10649,19327,8981,10346,9572,4533,5039,6416,2976,3440,5871,2749,3122,4772,2139,2633,917,467,450,1260,647,613,1335,681,654,1546,781,765,1610,776,834,1815,856,959,1394,644,750,1486,702,784,1721,774,947,1649,769,880,1553,724,829,1378,636,742,1291,620,671,1228,560,668,1334,607,727,966,449,517,614,271,343,630,252,378,41.4,40.3,42.3
50,19,72019,Puerto Rico,Barranquitas Municipio,12,27725,13658,14067,1322,674,648,3087,1586,1501,1450,740,710,2862,1520,1342,22570,11015,11555,21866,10658,11208,11063,5626,5437,7140,3563,3577,7210,3479,3731,4654,2096,2558,1322,674,648,1682,873,809,1794,910,884,1843,953,890,2080,1110,970,2032,1023,1009,1829,922,907,1692,862,830,1587,756,831,1521,732,789,1882,878,1004,2011,985,1026,1796,884,912,1448,697,751,1227,588,639,826,359,467,606,265,341,547,187,360,38.8,37.1,40.5
